,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,,,
1,27,anti_first_fail,indomain_min,obj,949946.0,949946.0,949946.0,949946.0,953338.0,2247090.0,1.0035707292835592
1,27,anti_first_fail,indomain_min,time,60.0,130.0,60.0,110.0,0.0001976520288735628,,3.294200481226047e-06
1,28,anti_first_fail,indomain_min,obj,1473956.0,1473956.0,1473956.0,1473956.0,1473956.0,2975336.0,1.0
1,28,anti_first_fail,indomain_min,time,60.0,110.0,60.0,90.0,0.00020477292127907276,,3.4128820213178795e-06
1,29,anti_first_fail,indomain_min,obj,1386080.0,1386080.0,1386080.0,1386080.0,1386080.0,1531880.0,1.0
1,29,anti_first_fail,indomain_min,time,60.0,110.0,60.0,100.0,0.0001879129558801651,,3.131882598002752e-06
1,30,anti_first_fail,indomain_min,obj,1649780.0,1649780.0,1649780.0,1649780.0,1703080.0,1593480.0,1.03230733794809
1,30,anti_first_fail,indomain_min,time,70.0,130.0,60.0,120.0,0.00020929891616106033,,3.4883152693510057e-06
1,31,anti_first_fail,indomain_min,obj,1020750.0,1020750.0,1020750.0,1020750.0,1068450.0,5233250.0,1.046730345334313
1,31,anti_first_fail,indomain_min,time,60.0,140.0,60.0,100.0,0.00021534692496061325,,3.589115416010221e-06
1,32,anti_first_fail,indomain_min,obj,884054.0,884054.0,884054.0,884054.0,884054.0,994754.0,1.0
1,32,anti_first_fail,indomain_min,time,60.0,110.0,60.0,90.0,0.00018028286285698414,,3.0047143809497356e-06
1,33,anti_first_fail,indomain_min,obj,393840.0,393840.0,393840.0,393840.0,393840.0,436740.0,1.0
1,33,anti_first_fail,indomain_min,time,60.0,90.0,60.0,60.0,0.00016900617629289627,,2.8167696048816043e-06
1,34,anti_first_fail,indomain_min,obj,789600.0,789600.0,789600.0,789600.0,789600.0,1478100.0,1.0
1,34,anti_first_fail,indomain_min,time,60.0,100.0,50.0,70.0,0.00018404005095362663,,3.6808010190725327e-06
1,35,anti_first_fail,indomain_min,obj,870312.0,870312.0,870312.0,870312.0,870972.0,1025260.0,1.0007583487301106
1,35,anti_first_fail,indomain_min,time,60.0,120.0,60.0,90.0,0.0002004310954362154,,3.3405182572702565e-06
1,36,anti_first_fail,indomain_min,obj,1330356.0,1330356.0,1330356.0,1330356.0,1330356.0,2666656.0,1.0
1,36,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00017565698362886906,,2.9276163938144842e-06
1,37,anti_first_fail,indomain_min,obj,794278.0,794278.0,794278.0,794278.0,794278.0,856178.0,1.0
1,37,anti_first_fail,indomain_min,time,70.0,100.0,60.0,90.0,0.0003307489678263664,,5.512482797106107e-06
1,38,anti_first_fail,indomain_min,obj,1195670.0,1195670.0,1195670.0,1195670.0,1195670.0,1215970.0,1.0
1,38,anti_first_fail,indomain_min,time,70.0,90.0,50.0,70.0,0.0001753619872033596,,3.507239744067192e-06
1,39,anti_first_fail,indomain_min,obj,354925.0,276225.0,354925.0,354925.0,417525.0,739525.0,1.1763752905543425
1,39,anti_first_fail,indomain_min,time,60.0,120.0,60.0,100.0,0.00019897217862308025,,3.3162029770513376e-06
1,40,anti_first_fail,indomain_min,obj,1359661.0,1359661.0,1359661.0,1359661.0,1359661.0,6503161.0,1.0
1,40,anti_first_fail,indomain_min,time,70.0,110.0,60.0,70.0,0.00017208419740200043,,2.868069956700007e-06
1,41,anti_first_fail,indomain_min,obj,1393670.0,1393670.0,1393670.0,1393670.0,1393670.0,2056470.0,1.0
1,41,anti_first_fail,indomain_min,time,60.0,100.0,60.0,70.0,0.00017440412193536758,,2.90673536558946e-06
1,42,anti_first_fail,indomain_min,obj,516578.0,516578.0,516578.0,516578.0,516578.0,516578.0,1.0
1,42,anti_first_fail,indomain_min,time,60.0,110.0,50.0,80.0,0.00017935410141944885,,3.587082028388977e-06
1,43,anti_first_fail,indomain_min,obj,932950.0,932950.0,932950.0,932950.0,932950.0,1537150.0,1.0
1,43,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00018669222481548786,,3.111537080258131e-06
1,44,anti_first_fail,indomain_min,obj,1466770.0,1466770.0,1466770.0,1466770.0,1466770.0,1719970.0,1.0
1,44,anti_first_fail,indomain_min,time,70.0,100.0,60.0,70.0,0.00019966298714280128,,3.3277164523800212e-06
1,45,anti_first_fail,indomain_min,obj,197816.0,197816.0,197816.0,197816.0,197816.0,222836.0,1.0
1,45,anti_first_fail,indomain_min,time,60.0,100.0,60.0,70.0,0.00017646211199462414,,2.9410351999104022e-06
1,46,anti_first_fail,indomain_min,obj,1051100.0,895995.0,1051100.0,1051100.0,1095760.0,478745.0,1.0424888212348968
1,46,anti_first_fail,indomain_min,time,70.0,390.0,60.0,160.0,0.00016909115947782993,,2.8181859912971655e-06
1,47,anti_first_fail,indomain_min,obj,267264.0,267264.0,267264.0,267264.0,267264.0,317984.0,1.0
1,47,anti_first_fail,indomain_min,time,70.0,110.0,60.0,90.0,0.00019706482999026775,,3.2844138331711294e-06
1,48,anti_first_fail,indomain_min,obj,1497500.0,1497500.0,1497500.0,1497500.0,1723600.0,1812800.0,1.1509849749582637
1,48,anti_first_fail,indomain_min,time,60.0,110.0,60.0,100.0,0.00017961906269192696,,2.9936510448654492e-06
1,49,anti_first_fail,indomain_min,obj,5379840.0,5379840.0,5379840.0,5379840.0,5379840.0,6717205.0,1.0
1,49,anti_first_fail,indomain_min,time,70.0,120.0,70.0,100.0,0.00017326697707176208,,2.4752425295966013e-06
1,50,anti_first_fail,indomain_min,obj,1699000.0,1699000.0,1699000.0,1699000.0,1699000.0,1649900.0,1.0
1,50,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.0001755128614604473,,2.925214357674122e-06
1,51,anti_first_fail,indomain_min,obj,646466.0,646466.0,646466.0,646466.0,646466.0,810026.0,1.0
1,51,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00037468993104994297,,6.244832184165716e-06
1,52,anti_first_fail,indomain_min,obj,700725.0,700725.0,700725.0,700725.0,700725.0,791200.0,1.0
1,52,anti_first_fail,indomain_min,time,60.0,110.0,60.0,90.0,0.0002126388717442751,,3.543981195737918e-06
1,53,anti_first_fail,indomain_min,obj,2791234.0,2791234.0,2791234.0,2791234.0,2791234.0,3807034.0,1.0
1,53,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.00016989698633551598,,3.3979397267103197e-06
1,54,anti_first_fail,indomain_min,obj,739615.0,739615.0,739615.0,739615.0,746635.0,712415.0,1.0094914245925244
1,54,anti_first_fail,indomain_min,time,70.0,100.0,60.0,80.0,0.00017200387082993984,,2.8667311804989973e-06
1,55,anti_first_fail,indomain_min,obj,1744562.0,1741102.0,1744562.0,1744562.0,1744562.0,1570322.0,1.0
1,55,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.0001842339988797903,,3.070566647996505e-06
1,56,anti_first_fail,indomain_min,obj,3355704.0,3355704.0,3355704.0,3355704.0,3355704.0,11200804.0,1.0
1,56,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.00017927098087966442,,3.5854196175932885e-06
1,57,anti_first_fail,indomain_min,obj,1182570.0,1182570.0,1182570.0,1182570.0,1182570.0,1424970.0,1.0
1,57,anti_first_fail,indomain_min,time,60.0,90.0,50.0,60.0,0.00016909698024392128,,3.3819396048784255e-06
1,58,anti_first_fail,indomain_min,obj,193117.0,193117.0,193117.0,193117.0,193117.0,261097.0,1.0
1,58,anti_first_fail,indomain_min,time,60.0,90.0,50.0,70.0,0.0001710471697151661,,3.420943394303322e-06
1,59,anti_first_fail,indomain_min,obj,1506006.0,1506006.0,1506006.0,1506006.0,1506006.0,1841406.0,1.0
1,59,anti_first_fail,indomain_min,time,60.0,90.0,60.0,70.0,0.00016772514209151268,,2.7954190348585447e-06
1,60,anti_first_fail,indomain_min,obj,213815.0,213815.0,213815.0,213815.0,217055.0,213925.0,1.0151532867198279
1,60,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.00018087518401443958,,3.6175036802887915e-06
1,61,anti_first_fail,indomain_min,obj,1192276.0,1192276.0,1192276.0,1192276.0,1192276.0,1226476.0,1.0
1,61,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.0001769110094755888,,3.538220189511776e-06
1,62,anti_first_fail,indomain_min,obj,523728.0,523728.0,523728.0,523728.0,523728.0,1793628.0,1.0
1,62,anti_first_fail,indomain_min,time,60.0,110.0,60.0,80.0,0.00021594413556158543,,3.5990689260264237e-06
1,63,anti_first_fail,indomain_min,obj,64980.0,64980.0,64980.0,64980.0,64980.0,65830.0,1.0
1,63,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00020264415070414543,,3.3774025117357573e-06
1,64,anti_first_fail,indomain_min,obj,724264.0,724264.0,724264.0,724264.0,724264.0,747964.0,1.0
1,64,anti_first_fail,indomain_min,time,60.0,100.0,60.0,70.0,0.00020063621923327446,,3.343936987221241e-06
1,65,anti_first_fail,indomain_min,obj,2659360.0,2659360.0,2659360.0,2659360.0,2659360.0,3452460.0,1.0
1,65,anti_first_fail,indomain_min,time,60.0,140.0,50.0,100.0,0.00019403407350182533,,3.880681470036507e-06
1,66,anti_first_fail,indomain_min,obj,3532950.0,3532950.0,3532950.0,3532950.0,3532950.0,14923500.0,1.0
1,66,anti_first_fail,indomain_min,time,60.0,110.0,60.0,90.0,0.0001998359803110361,,3.330599671850602e-06
1,67,anti_first_fail,indomain_min,obj,1710235.0,1710235.0,1710235.0,1710235.0,1710235.0,2041885.0,1.0
1,67,anti_first_fail,indomain_min,time,60.0,100.0,50.0,70.0,0.0001921430230140686,,3.842860460281372e-06
