,,,,,Gecode,Gurobi,Gecode,Gurobi,Preferred,OGSA
,,,,,Initial,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,,
1,1,input_order,indomain_min,obj,503180.0,503180.0,581880.0,581880.0,605480.0,581880.0
1,1,input_order,indomain_min,time,100.0,210.0,110.0,160.0,,0.0002038670008914778
1,2,input_order,indomain_min,obj,1352755.0,1352755.0,1352755.0,1352755.0,1407955.0,1352755.0
1,2,input_order,indomain_min,time,110.0,190.0,90.0,180.0,,0.00024219199985964224
1,3,input_order,indomain_min,obj,713380.0,713380.0,975450.0,975450.0,820500.0,975450.0
1,3,input_order,indomain_min,time,130.0,310.0,130.0,290.0,,0.0005149520002305508
1,4,input_order,indomain_min,obj,3193930.0,3193930.0,3225350.0,3225350.0,7146100.0,3225350.0
1,4,input_order,indomain_min,time,120.0,210.0,100.0,160.0,,0.00021189200015214738
1,5,input_order,indomain_min,obj,2011324.0,1820362.0,2030698.0,2030698.0,2519764.0,2030698.0
1,5,input_order,indomain_min,time,110.0,200.0,100.0,140.0,,0.0002455810008541448
2,1,input_order,indomain_min,obj,416510.0,416510.0,528210.0,528210.0,373010.0,528210.0
2,1,input_order,indomain_min,time,100.0,200.0,90.0,150.0,,0.00027783000041381456
2,2,input_order,indomain_min,obj,1294080.0,1294080.0,1294080.0,1294080.0,1415980.0,1294080.0
2,2,input_order,indomain_min,time,110.0,210.0,90.0,160.0,,0.0002460140003677225
2,3,input_order,indomain_min,obj,608195.0,608195.0,975205.0,975205.0,417645.0,975205.0
2,3,input_order,indomain_min,time,110.0,250.0,90.0,170.0,,0.0003789689999393886
2,4,input_order,indomain_min,obj,2994220.0,2994220.0,3019390.0,3019390.0,4582680.0,3019390.0
2,4,input_order,indomain_min,time,110.0,190.0,90.0,140.0,,0.00030312799935927615
2,5,input_order,indomain_min,obj,1745749.0,1570384.0,1784275.0,1784275.0,2267743.0,1784275.0
2,5,input_order,indomain_min,time,110.0,220.0,90.0,150.0,,0.0002747369999269722
3,1,input_order,indomain_min,obj,411850.0,411850.0,496650.0,496650.0,333650.0,496650.0
3,1,input_order,indomain_min,time,110.0,200.0,100.0,150.0,,0.00023005600087344646
3,2,input_order,indomain_min,obj,1245540.0,1245540.0,1245540.0,1245540.0,1250540.0,1245540.0
3,2,input_order,indomain_min,time,120.0,200.0,90.0,150.0,,0.0002999889984494075
3,3,input_order,indomain_min,obj,539915.0,539915.0,947095.0,947095.0,280115.0,947095.0
3,3,input_order,indomain_min,time,110.0,260.0,90.0,170.0,,0.0002842069989128504
3,4,input_order,indomain_min,obj,2692660.0,2692660.0,2763480.0,2763480.0,2682460.0,2763480.0
3,4,input_order,indomain_min,time,110.0,200.0,90.0,150.0,,0.0002883279994421173
3,5,input_order,indomain_min,obj,1762027.0,1598272.0,1808272.0,1808272.0,2011807.0,1808272.0
3,5,input_order,indomain_min,time,100.0,210.0,90.0,140.0,,0.00026231599986203946
4,1,input_order,indomain_min,obj,416850.0,416850.0,491750.0,491750.0,348750.0,491750.0
4,1,input_order,indomain_min,time,100.0,210.0,90.0,150.0,,0.00022854800045024604
4,2,input_order,indomain_min,obj,1160510.0,1160510.0,1160510.0,1160510.0,1275410.0,1160510.0
4,2,input_order,indomain_min,time,110.0,190.0,100.0,190.0,,0.0002996499988512369
4,3,input_order,indomain_min,obj,559435.0,559435.0,954805.0,954805.0,284985.0,954805.0
4,3,input_order,indomain_min,time,120.0,260.0,90.0,160.0,,0.0002943169984064298
4,4,input_order,indomain_min,obj,2690050.0,2690050.0,2690050.0,2690050.0,2915920.0,2690050.0
4,4,input_order,indomain_min,time,130.0,190.0,100.0,160.0,,0.00027025199960917234
4,5,input_order,indomain_min,obj,1672456.0,1500598.0,1712470.0,1712470.0,1985206.0,1712470.0
4,5,input_order,indomain_min,time,100.0,210.0,80.0,140.0,,0.0002751379997789627
