Month,House,Limit,OGSA,Optimised,Preferred
1,1,10000,5100,3600,2000
2,1,10000,5100,3900,2000
3,1,10000,5175,3900,2000
4,1,10000,5175,3900,2000
5,1,10000,5175,3900,2000
6,1,10000,5100,3900,2000
7,1,10000,5100,3900,2000
8,1,10000,5175,3900,2000
9,1,10000,5175,3600,2000
10,1,10000,5100,3600,2000
11,1,10000,5100,3900,2000
12,1,10000,5100,3900,2000
1,2,5000,1900,2600,1400
2,2,5000,2350,2600,1400
3,2,5000,2350,2600,1400
4,2,5000,2650,2600,1400
5,2,5000,2650,2600,1400
6,2,5000,1750,2600,1400
7,2,5000,2650,2600,1400
8,2,5000,2650,2600,1400
9,2,5000,2650,2600,1400
10,2,5000,2650,2600,1400
11,2,5000,2300,2600,1400
12,2,5000,2650,2600,1400
1,3,17500,3500,4500,3500
2,3,17500,6860,4550,3500
3,3,17500,4510,4500,3500
4,3,17500,6860,4550,3500
5,3,17500,6860,4550,3500
6,3,17500,6860,3500,3500
7,3,17500,6810,4500,3500
8,3,17500,6860,4550,3500
9,3,17500,6860,3500,3500
10,3,17500,6860,3500,3500
11,3,17500,6810,4500,3500
12,3,17500,6860,4500,3500
1,4,12000,3603,2401,2400
2,4,12000,4801,4801,2400
3,4,12000,3602,4801,2400
4,4,12000,4803,4801,2400
5,4,12000,4801,4801,2400
6,4,12000,4801,4801,2400
7,4,12000,3603,4801,2400
8,4,12000,4803,4801,2400
9,4,12000,4801,4801,2400
10,4,12000,4803,4801,2400
11,4,12000,4802,4801,2400
12,4,12000,4801,4801,2400
1,5,1500,634,600,300
2,5,1500,684,654,300
3,5,1500,654,654,300
4,5,1500,684,654,300
5,5,1500,654,654,300
6,5,1500,654,654,300
7,5,1500,654,654,300
8,5,1500,654,654,300
9,5,1500,684,654,300
10,5,1500,684,654,300
11,5,1500,654,654,300
12,5,1500,654,654,300
1,6,20000,9100,6400,4700
2,6,20000,9100,8100,4700
3,6,20000,9100,8100,4700
4,6,20000,9100,8100,4700
5,6,20000,9100,8100,4700
6,6,20000,9100,8100,4700
7,6,20000,9100,8100,4700
8,6,20000,9100,8100,4700
9,6,20000,9100,5100,4700
10,6,20000,9100,8100,4700
11,6,20000,9100,8100,4700
12,6,20000,9100,8100,4700
1,7,8500,2877,2872,2700
2,7,8500,2877,2877,2700
3,7,8500,2877,2877,2700
4,7,8500,2877,2877,2700
5,7,8500,2877,2877,2700
6,7,8500,2877,2877,2700
7,7,8500,2877,2877,2700
8,7,8500,2877,2877,2700
9,7,8500,2877,2877,2700
10,7,8500,2877,2877,2700
11,7,8500,2877,2877,2700
12,7,8500,2877,2877,2700
1,8,6000,1540,1435,1200
2,8,6000,1555,1435,1200
3,8,6000,1540,1435,1200
4,8,6000,1555,1435,1200
5,8,6000,1555,1435,1200
6,8,6000,1555,1435,1200
7,8,6000,1555,1435,1200
8,8,6000,1555,1435,1200
9,8,6000,1555,1435,1200
10,8,6000,1555,1435,1200
11,8,6000,1555,1435,1200
12,8,6000,1555,1435,1200
1,9,25000,6000,5100,5100
2,9,25000,9700,7200,5100
3,9,25000,7300,5100,5100
4,9,25000,9700,7200,5100
5,9,25000,7300,7200,5100
6,9,25000,7400,7200,5100
7,9,25000,7300,5100,5100
8,9,25000,9700,7200,5100
9,9,25000,9600,7200,5100
10,9,25000,9600,7200,5100
11,9,25000,5100,5100,5100
12,9,25000,6000,5100,5100
1,10,12000,2456,2461,2400
2,10,12000,4561,2461,2400
3,10,12000,4461,2461,2400
4,10,12000,4561,2561,2400
5,10,12000,4561,2461,2400
6,10,12000,4561,2561,2400
7,10,12000,2556,2461,2400
8,10,12000,4561,2561,2400
9,10,12000,4561,2561,2400
10,10,12000,4561,2561,2400
11,10,12000,4561,2461,2400
12,10,12000,2461,2461,2400
1,11,4500,1203,1203,900
2,11,4500,1308,1203,900
3,11,4500,1110,1203,900
4,11,4500,1210,1203,900
5,11,4500,1210,1203,900
6,11,4500,1303,1203,900
7,11,4500,1110,1203,900
8,11,4500,1303,1203,900
9,11,4500,1098,1203,900
10,11,4500,1215,1203,900
11,11,4500,1110,1203,900
12,11,4500,1303,1203,900
1,12,6000,1348,2348,1200
2,12,6000,2348,2348,1200
3,12,6000,2060,2348,1200
4,12,6000,2998,2348,1200
5,12,6000,2348,2348,1200
6,12,6000,2410,2348,1200
7,12,6000,2348,2348,1200
8,12,6000,2348,2348,1200
9,12,6000,2348,2348,1200
10,12,6000,2998,2348,1200
11,12,6000,1410,2348,1200
12,12,6000,1998,2348,1200
1,13,6000,1250,1370,1235
2,13,6000,1438,1438,1235
3,13,6000,1438,1370,1235
4,13,6000,1438,1438,1235
5,13,6000,1438,1438,1235
6,13,6000,1438,1438,1235
7,13,6000,1423,1370,1235
8,13,6000,1438,1438,1235
9,13,6000,1438,1438,1235
10,13,6000,1438,1438,1235
11,13,6000,1438,1370,1235
12,13,6000,1423,1370,1235
1,14,6000,1200,1200,1200
2,14,6000,1661,1200,1200
3,14,6000,1660,1200,1200
4,14,6000,1660,1660,1200
5,14,6000,1660,1660,1200
6,14,6000,1660,1200,1200
7,14,6000,1601,1200,1200
8,14,6000,1601,1200,1200
9,14,6000,1661,1660,1200
10,14,6000,1660,1660,1200
11,14,6000,1600,1200,1200
12,14,6000,1600,1200,1200
1,15,17500,7730,5200,3500
2,15,17500,7735,5205,3500
3,15,17500,7735,5205,3500
4,15,17500,7735,5205,3500
5,15,17500,7735,5205,3500
6,15,17500,7735,5205,3500
7,15,17500,7735,5205,3500
8,15,17500,7735,5205,3500
9,15,17500,7735,5200,3500
10,15,17500,7735,5205,3500
11,15,17500,7735,5205,3500
12,15,17500,7735,5205,3500
1,16,3500,1393,800,700
2,16,3500,2043,800,700
3,16,3500,1393,750,700
4,16,3500,2043,743,700
5,16,3500,2043,800,700
6,16,3500,2043,800,700
7,16,3500,2043,800,700
8,16,3500,2043,743,700
9,16,3500,2043,800,700
10,16,3500,2043,800,700
11,16,3500,1393,800,700
12,16,3500,2043,750,700
1,17,6000,2215,2850,1200
2,17,6000,3415,3400,1200
3,17,6000,2865,2865,1200
4,17,6000,3415,3400,1200
5,17,6000,3415,3400,1200
6,17,6000,3415,3400,1200
7,17,6000,3415,2865,1200
8,17,6000,3415,3400,1200
9,17,6000,3415,3400,1200
10,17,6000,3415,3400,1200
11,17,6000,3415,2865,1200
12,17,6000,2765,2865,1200
1,18,11000,3640,3540,2200
2,18,11000,3500,3540,2200
3,18,11000,3500,3540,2200
4,18,11000,3640,3540,2200
5,18,11000,3640,3540,2200
6,18,11000,3500,3540,2200
7,18,11000,4740,3540,2200
8,18,11000,2500,3540,2200
9,18,11000,4840,3540,2200
10,18,11000,3640,3540,2200
11,18,11000,3500,3540,2200
12,18,11000,3400,3540,2200
1,19,10000,2905,3020,2000
2,19,10000,3035,3025,2000
3,19,10000,2005,3025,2000
4,19,10000,3025,3025,2000
5,19,10000,3025,3025,2000
6,19,10000,3025,3025,2000
7,19,10000,3025,3025,2000
8,19,10000,2905,3025,2000
9,19,10000,3035,3025,2000
10,19,10000,3025,3025,2000
11,19,10000,2905,3025,2000
12,19,10000,3025,3025,2000
1,20,12000,3100,2400,2400
2,20,12000,3310,2618,2400
3,20,12000,3310,2618,2400
4,20,12000,3318,2618,2400
5,20,12000,3310,2618,2400
