day_num,household_num,result_type,model_type,"mip, gurobi","cp, gecode"
2,84,time,initial,130000,70000
2,85,time,initial,130000,60000
2,86,time,initial,120000,60000
2,87,time,initial,220000,60000
2,88,time,initial,110000,70000
2,89,time,initial,150000,60000
2,90,time,initial,190000,70000
2,91,time,initial,150000,60000
2,92,time,initial,100000,60000
2,93,time,initial,130000,70000
2,94,time,initial,280000,70000
2,95,time,initial,150000,60000
2,96,time,initial,160000,70000
2,97,time,initial,150000,80000
2,98,time,initial,130000,80000
2,99,time,initial,120000,70000
2,100,time,initial,150000,70000
3,1,time,initial,120000,70000
3,2,time,initial,100000,70000
3,3,time,initial,130000,70000
3,4,time,initial,110000,60000
3,5,time,initial,110000,60000
3,6,time,initial,150000,70000
3,7,time,initial,130000,70000
3,8,time,initial,160000,70000
3,9,time,initial,120000,60000
3,10,time,initial,130000,70000
3,11,time,initial,130000,70000
3,12,time,initial,140000,60000
3,13,time,initial,110000,60000
3,14,time,initial,100000,80000
3,15,time,initial,240000,80000
3,16,time,initial,170000,60000
3,17,time,initial,110000,60000
3,18,time,initial,410000,110000
3,19,time,initial,100000,60000
3,20,time,initial,120000,60000
3,21,time,initial,130000,60000
3,22,time,initial,120000,60000
3,23,time,initial,120000,70000
3,24,time,initial,110000,60000
3,25,time,initial,130000,70000
3,26,time,initial,120000,60000
3,27,time,initial,150000,90000
3,28,time,initial,140000,70000
3,29,time,initial,140000,70000
3,30,time,initial,120000,60000
3,31,time,initial,170000,60000
3,32,time,initial,120000,70000
3,33,time,initial,120000,70000
3,34,time,initial,110000,70000
3,35,time,initial,130000,60000
3,36,time,initial,100000,60000
3,37,time,initial,110000,60000
3,38,time,initial,140000,70000
3,39,time,initial,100000,60000
3,40,time,initial,200000,70000
3,41,time,initial,120000,60000
3,42,time,initial,120000,60000
3,43,time,initial,180000,60000
3,44,time,initial,170000,80000
3,45,time,initial,190000,100000
3,46,time,initial,170000,100000
3,47,time,initial,150000,80000
3,48,time,initial,110000,70000
3,49,time,initial,140000,60000
3,50,time,initial,110000,90000
3,51,time,initial,190000,70000
3,52,time,initial,110000,70000
3,53,time,initial,130000,70000
3,54,time,initial,110000,70000
3,55,time,initial,130000,80000
3,56,time,initial,130000,70000
3,57,time,initial,130000,100000
3,58,time,initial,120000,70000
3,59,time,initial,140000,70000
3,60,time,initial,160000,70000
3,61,time,initial,140000,70000
3,62,time,initial,100000,70000
3,63,time,initial,150000,60000
3,64,time,initial,130000,80000
3,65,time,initial,110000,60000
3,66,time,initial,130000,60000
3,67,time,initial,110000,70000
3,68,time,initial,110000,70000
3,69,time,initial,120000,70000
3,70,time,initial,130000,70000
3,71,time,initial,110000,70000
3,72,time,initial,170000,70000
3,73,time,initial,110000,60000
3,74,time,initial,180000,70000
3,75,time,initial,100000,60000
3,76,time,initial,170000,70000
3,77,time,initial,100000,60000
3,78,time,initial,110000,60000
3,79,time,initial,110000,70000
3,80,time,initial,110000,70000
3,81,time,initial,120000,60000
3,82,time,initial,110000,60000
3,83,time,initial,120000,70000
3,84,time,initial,110000,60000
3,85,time,initial,130000,70000
3,86,time,initial,120000,60000
3,87,time,initial,210000,70000
3,88,time,initial,110000,60000
3,89,time,initial,160000,60000
3,90,time,initial,210000,70000
3,91,time,initial,140000,60000
3,92,time,initial,100000,70000
3,93,time,initial,140000,80000
3,94,time,initial,300000,70000
3,95,time,initial,120000,70000
3,96,time,initial,140000,70000
3,97,time,initial,140000,80000
3,98,time,initial,120000,70000
3,99,time,initial,120000,70000
3,100,time,initial,140000,70000
4,1,time,initial,110000,70000
4,2,time,initial,100000,60000
4,3,time,initial,110000,70000
4,4,time,initial,100000,60000
4,5,time,initial,120000,60000
4,6,time,initial,130000,70000
4,7,time,initial,140000,70000
4,8,time,initial,200000,70000
4,9,time,initial,120000,60000
4,10,time,initial,120000,60000
4,11,time,initial,130000,70000
4,12,time,initial,150000,60000
4,13,time,initial,110000,60000
4,14,time,initial,100000,70000
4,15,time,initial,220000,90000
4,16,time,initial,150000,70000
4,17,time,initial,110000,70000
4,18,time,initial,320000,70000
4,19,time,initial,110000,60000
4,20,time,initial,110000,70000
4,21,time,initial,120000,70000
4,22,time,initial,120000,70000
4,23,time,initial,150000,70000
4,24,time,initial,110000,70000
4,25,time,initial,120000,70000
4,26,time,initial,130000,60000
4,27,time,initial,150000,100000
4,28,time,initial,120000,70000
4,29,time,initial,150000,70000
4,30,time,initial,130000,60000
4,31,time,initial,210000,60000
4,32,time,initial,120000,70000
4,33,time,initial,120000,70000
4,34,time,initial,110000,80000
4,35,time,initial,120000,70000
4,36,time,initial,100000,70000
4,37,time,initial,100000,70000
4,38,time,initial,170000,70000
4,39,time,initial,100000,70000
4,40,time,initial,160000,70000
4,41,time,initial,130000,60000
4,42,time,initial,140000,60000
4,43,time,initial,190000,60000
4,44,time,initial,190000,70000
4,45,time,initial,130000,70000
4,46,time,initial,100000,70000
4,47,time,initial,200000,70000
4,48,time,initial,100000,90000
4,49,time,initial,160000,60000
4,50,time,initial,210000,70000
4,51,time,initial,290000,70000
4,52,time,initial,110000,70000
4,53,time,initial,150000,70000
4,54,time,initial,110000,80000
4,55,time,initial,130000,70000
4,56,time,initial,120000,70000
4,57,time,initial,150000,90000
4,58,time,initial,110000,70000
4,59,time,initial,120000,60000
4,60,time,initial,130000,60000
4,61,time,initial,150000,60000
4,62,time,initial,100000,70000
4,63,time,initial,150000,60000
4,64,time,initial,140000,80000
4,65,time,initial,110000,70000
4,66,time,initial,130000,70000
4,67,time,initial,110000,70000
4,68,time,initial,110000,80000
4,69,time,initial,120000,70000
4,70,time,initial,150000,80000
4,71,time,initial,110000,70000
4,72,time,initial,150000,60000
4,73,time,initial,120000,70000
4,74,time,initial,210000,70000
4,75,time,initial,110000,70000
4,76,time,initial,210000,70000
4,77,time,initial,100000,70000
4,78,time,initial,120000,70000
4,79,time,initial,110000,70000
4,80,time,initial,110000,70000
4,81,time,initial,110000,70000
4,82,time,initial,110000,70000
4,83,time,initial,110000,70000
4,84,time,initial,110000,70000
4,85,time,initial,140000,60000
4,86,time,initial,130000,60000
4,87,time,initial,190000,70000
4,88,time,initial,110000,70000
4,89,time,initial,170000,60000
4,90,time,initial,240000,70000
4,91,time,initial,160000,60000
4,92,time,initial,100000,70000
4,93,time,initial,140000,80000
4,94,time,initial,230000,60000
4,95,time,initial,120000,70000
4,96,time,initial,170000,70000
4,97,time,initial,150000,70000
4,98,time,initial,130000,70000
4,99,time,initial,120000,70000
4,100,time,initial,160000,60000
5,1,time,initial,130000,110000
5,2,time,initial,100000,70000
5,3,time,initial,120000,60000
5,4,time,initial,110000,60000
5,5,time,initial,120000,60000
5,6,time,initial,120000,70000
5,7,time,initial,120000,60000
5,8,time,initial,190000,70000
5,9,time,initial,140000,60000
5,10,time,initial,110000,60000
5,11,time,initial,120000,60000
5,12,time,initial,120000,60000
5,13,time,initial,110000,60000
5,14,time,initial,100000,70000
5,15,time,initial,150000,80000
5,16,time,initial,140000,70000
5,17,time,initial,110000,60000
5,18,time,initial,190000,70000
5,19,time,initial,100000,70000
5,20,time,initial,110000,70000
5,21,time,initial,120000,60000
5,22,time,initial,120000,70000
5,23,time,initial,120000,70000
5,24,time,initial,120000,60000
5,25,time,initial,120000,70000
5,26,time,initial,120000,60000
5,27,time,initial,140000,90000
5,28,time,initial,130000,70000
5,29,time,initial,140000,70000
5,30,time,initial,130000,60000
5,31,time,initial,180000,60000
5,32,time,initial,110000,70000
5,33,time,initial,120000,70000
5,34,time,initial,110000,70000
5,35,time,initial,130000,60000
5,36,time,initial,100000,60000
5,37,time,initial,110000,60000
5,38,time,initial,140000,70000
5,39,time,initial,100000,60000
5,40,time,initial,150000,60000
5,41,time,initial,160000,60000
5,42,time,initial,120000,70000
5,43,time,initial,170000,70000
5,44,time,initial,170000,70000
5,45,time,initial,120000,70000
5,46,time,initial,90000,70000
5,47,time,initial,220000,70000
5,48,time,initial,110000,70000
5,49,time,initial,140000,70000
5,50,time,initial,110000,70000
5,51,time,initial,220000,80000
5,52,time,initial,110000,70000
5,53,time,initial,130000,70000
5,54,time,initial,110000,70000
5,55,time,initial,130000,70000
5,56,time,initial,160000,60000
5,57,time,initial,120000,70000
5,58,time,initial,110000,70000
5,59,time,initial,130000,70000
5,60,time,initial,120000,70000
5,61,time,initial,130000,70000
5,62,time,initial,100000,70000
5,63,time,initial,140000,70000
5,64,time,initial,120000,70000
5,65,time,initial,110000,70000
5,66,time,initial,120000,60000
5,67,time,initial,120000,70000
5,68,time,initial,110000,90000
5,69,time,initial,130000,70000
5,70,time,initial,160000,90000
5,71,time,initial,110000,60000
5,72,time,initial,130000,70000
5,73,time,initial,120000,60000
5,74,time,initial,220000,60000
5,75,time,initial,110000,60000
5,76,time,initial,190000,70000
5,77,time,initial,110000,60000
5,78,time,initial,120000,60000
5,79,time,initial,110000,70000
5,80,time,initial,110000,60000
5,81,time,initial,110000,70000
5,82,time,initial,110000,70000
5,83,time,initial,100000,80000
5,84,time,initial,110000,60000
5,85,time,initial,120000,60000
5,86,time,initial,120000,60000
5,87,time,initial,130000,80000
5,88,time,initial,110000,60000
5,89,time,initial,180000,60000
5,90,time,initial,230000,70000
5,91,time,initial,120000,70000
5,92,time,initial,100000,60000
5,93,time,initial,150000,60000
5,94,time,initial,270000,70000
5,95,time,initial,110000,60000
5,96,time,initial,170000,60000
5,97,time,initial,140000,70000
5,98,time,initial,120000,70000
5,99,time,initial,120000,70000
5,100,time,initial,130000,70000
6,1,time,initial,190000,70000
6,2,time,initial,100000,70000
6,3,time,initial,110000,70000
6,4,time,initial,100000,60000
6,5,time,initial,150000,60000
6,6,time,initial,130000,70000
6,7,time,initial,130000,70000
6,8,time,initial,210000,70000
6,9,time,initial,120000,60000
6,10,time,initial,120000,60000
6,11,time,initial,120000,60000
6,12,time,initial,120000,70000
6,13,time,initial,110000,60000
6,14,time,initial,110000,70000
6,15,time,initial,210000,70000
6,16,time,initial,140000,70000
6,17,time,initial,110000,70000
6,18,time,initial,160000,80000
6,19,time,initial,100000,60000
6,20,time,initial,110000,60000
6,21,time,initial,110000,80000
6,22,time,initial,120000,70000
6,23,time,initial,120000,70000
6,24,time,initial,100000,70000
6,25,time,initial,120000,70000
6,26,time,initial,130000,60000
6,27,time,initial,130000,80000
6,28,time,initial,120000,70000
6,29,time,initial,150000,70000
6,30,time,initial,120000,60000
6,31,time,initial,140000,60000
6,32,time,initial,110000,70000
6,33,time,initial,120000,70000
6,34,time,initial,110000,70000
6,35,time,initial,130000,60000
6,36,time,initial,100000,60000
6,37,time,initial,110000,60000
6,38,time,initial,140000,70000
6,39,time,initial,100000,60000
6,40,time,initial,150000,70000
6,41,time,initial,160000,60000
6,42,time,initial,120000,60000
6,43,time,initial,160000,60000
6,44,time,initial,220000,80000
6,45,time,initial,120000,70000
6,46,time,initial,100000,70000
6,47,time,initial,170000,80000
6,48,time,initial,100000,70000
6,49,time,initial,140000,70000
6,50,time,initial,110000,60000
6,51,time,initial,270000,70000
6,52,time,initial,110000,60000
6,53,time,initial,120000,70000
6,54,time,initial,100000,70000
6,55,time,initial,120000,70000
6,56,time,initial,230000,60000
6,57,time,initial,130000,70000
6,58,time,initial,120000,70000
6,59,time,initial,140000,60000
6,60,time,initial,120000,70000
6,61,time,initial,170000,70000
6,62,time,initial,100000,70000
6,63,time,initial,140000,70000
6,64,time,initial,130000,70000
6,65,time,initial,110000,60000
6,66,time,initial,120000,70000
6,67,time,initial,110000,70000
6,68,time,initial,110000,90000
6,69,time,initial,120000,70000
6,70,time,initial,170000,60000
6,71,time,initial,110000,70000
6,72,time,initial,140000,70000
6,73,time,initial,120000,70000
6,74,time,initial,190000,70000
6,75,time,initial,110000,60000
6,76,time,initial,200000,70000
6,77,time,initial,110000,70000
6,78,time,initial,120000,60000
6,79,time,initial,110000,60000
6,80,time,initial,110000,60000
6,81,time,initial,120000,70000
6,82,time,initial,110000,60000
6,83,time,initial,110000,90000
6,84,time,initial,120000,60000
6,85,time,initial,140000,60000
6,86,time,initial,120000,60000
6,87,time,initial,120000,80000
6,88,time,initial,110000,60000
6,89,time,initial,120000,60000
6,90,time,initial,210000,70000
6,91,time,initial,130000,70000
6,92,time,initial,100000,60000
6,93,time,initial,120000,60000
6,94,time,initial,260000,70000
6,95,time,initial,120000,60000
6,96,time,initial,170000,70000
6,97,time,initial,140000,70000
6,98,time,initial,120000,70000
6,99,time,initial,120000,80000
6,100,time,initial,130000,70000
7,1,time,initial,120000,70000
7,2,time,initial,100000,70000
7,3,time,initial,110000,60000
7,4,time,initial,110000,60000
7,5,time,initial,140000,60000
7,6,time,initial,120000,70000
7,7,time,initial,110000,70000
7,8,time,initial,160000,70000
7,9,time,initial,130000,70000
7,10,time,initial,110000,60000
7,11,time,initial,130000,60000
7,12,time,initial,120000,70000
7,13,time,initial,110000,60000
7,14,time,initial,100000,70000
7,15,time,initial,150000,70000
7,16,time,initial,140000,60000
7,17,time,initial,130000,70000
7,18,time,initial,130000,80000
7,19,time,initial,100000,60000
7,20,time,initial,100000,60000
7,21,time,initial,120000,70000
7,22,time,initial,120000,60000
7,23,time,initial,180000,130000
7,24,time,initial,120000,60000
7,25,time,initial,120000,60000
7,26,time,initial,120000,60000
7,27,time,initial,130000,80000
7,28,time,initial,120000,70000
7,29,time,initial,140000,70000
7,30,time,initial,120000,70000
7,31,time,initial,170000,60000
7,32,time,initial,110000,70000
7,33,time,initial,120000,60000
7,34,time,initial,110000,70000
7,35,time,initial,130000,70000
7,36,time,initial,100000,60000
7,37,time,initial,110000,70000
7,38,time,initial,140000,70000
7,39,time,initial,100000,60000
7,40,time,initial,140000,70000
7,41,time,initial,140000,60000
7,42,time,initial,130000,60000
7,43,time,initial,160000,60000
7,44,time,initial,170000,80000
7,45,time,initial,120000,70000
7,46,time,initial,100000,70000
7,47,time,initial,190000,80000
7,48,time,initial,110000,70000
7,49,time,initial,120000,70000
7,50,time,initial,100000,70000
7,51,time,initial,260000,70000
7,52,time,initial,110000,60000
7,53,time,initial,140000,70000
7,54,time,initial,100000,70000
7,55,time,initial,120000,80000
7,56,time,initial,150000,60000
7,57,time,initial,150000,70000
7,58,time,initial,120000,70000
7,59,time,initial,120000,60000
7,60,time,initial,120000,70000
7,61,time,initial,130000,80000
7,62,time,initial,100000,70000
7,63,time,initial,140000,70000
7,64,time,initial,120000,70000
7,65,time,initial,100000,70000
7,66,time,initial,130000,70000
7,67,time,initial,110000,70000
7,68,time,initial,110000,80000
7,69,time,initial,120000,80000
7,70,time,initial,140000,60000
7,71,time,initial,110000,60000
7,72,time,initial,130000,70000
7,73,time,initial,120000,70000
7,74,time,initial,220000,70000
7,75,time,initial,110000,60000
7,76,time,initial,250000,70000
7,77,time,initial,100000,70000
7,78,time,initial,120000,60000
7,79,time,initial,100000,60000
7,80,time,initial,110000,60000
7,81,time,initial,110000,80000
7,82,time,initial,110000,60000
7,83,time,initial,110000,70000
7,84,time,initial,110000,60000
7,85,time,initial,130000,70000
7,86,time,initial,120000,60000
7,87,time,initial,120000,70000
7,88,time,initial,110000,60000
7,89,time,initial,140000,60000
7,90,time,initial,250000,70000
7,91,time,initial,140000,60000
7,92,time,initial,90000,70000
7,93,time,initial,120000,70000
7,94,time,initial,240000,70000
7,95,time,initial,110000,60000
7,96,time,initial,180000,70000
7,97,time,initial,160000,70000
7,98,time,initial,110000,60000
7,99,time,initial,140000,80000
7,100,time,initial,130000,70000
8,1,time,initial,110000,70000
8,2,time,initial,100000,70000
8,3,time,initial,110000,70000
8,4,time,initial,100000,60000
8,5,time,initial,130000,60000
8,6,time,initial,130000,80000
8,7,time,initial,110000,70000
8,8,time,initial,150000,70000
8,9,time,initial,120000,60000
8,10,time,initial,110000,60000
8,11,time,initial,120000,60000
8,12,time,initial,120000,70000
8,13,time,initial,110000,60000
8,14,time,initial,100000,70000
8,15,time,initial,240000,70000
8,16,time,initial,150000,70000
8,17,time,initial,110000,60000
8,18,time,initial,170000,80000
8,19,time,initial,100000,60000
8,20,time,initial,110000,60000
8,21,time,initial,110000,60000
8,22,time,initial,120000,60000
8,23,time,initial,140000,80000
8,24,time,initial,100000,60000
8,25,time,initial,120000,70000
8,26,time,initial,120000,70000
8,27,time,initial,130000,80000
8,28,time,initial,110000,70000
8,29,time,initial,150000,70000
8,30,time,initial,120000,70000
8,31,time,initial,150000,60000
8,32,time,initial,120000,70000
8,33,time,initial,120000,70000
8,34,time,initial,100000,70000
8,35,time,initial,120000,60000
8,36,time,initial,100000,60000
8,37,time,initial,110000,70000
8,38,time,initial,120000,70000
8,39,time,initial,110000,60000
8,40,time,initial,140000,70000
8,41,time,initial,150000,60000
8,42,time,initial,120000,60000
8,43,time,initial,140000,70000
8,44,time,initial,150000,90000
8,45,time,initial,130000,70000
8,46,time,initial,100000,90000
8,47,time,initial,250000,120000
8,48,time,initial,100000,70000
8,49,time,initial,130000,60000
8,50,time,initial,110000,70000
8,51,time,initial,230000,70000
8,52,time,initial,110000,70000
8,53,time,initial,140000,70000
8,54,time,initial,110000,70000
8,55,time,initial,140000,80000
8,56,time,initial,150000,60000
8,57,time,initial,140000,70000
8,58,time,initial,130000,70000
8,59,time,initial,140000,70000
8,60,time,initial,120000,70000
8,61,time,initial,120000,80000
8,62,time,initial,100000,60000
8,63,time,initial,140000,70000
8,64,time,initial,120000,70000
8,65,time,initial,110000,60000
8,66,time,initial,130000,70000
8,67,time,initial,110000,70000
8,68,time,initial,110000,70000
8,69,time,initial,140000,70000
8,70,time,initial,140000,70000
8,71,time,initial,100000,60000
8,72,time,initial,130000,60000
8,73,time,initial,110000,70000
8,74,time,initial,230000,70000
8,75,time,initial,110000,60000
8,76,time,initial,150000,60000
8,77,time,initial,110000,70000
8,78,time,initial,120000,60000
8,79,time,initial,110000,60000
8,80,time,initial,110000,70000
8,81,time,initial,110000,70000
8,82,time,initial,110000,60000
8,83,time,initial,110000,70000
8,84,time,initial,110000,60000
8,85,time,initial,140000,70000
8,86,time,initial,120000,70000
8,87,time,initial,120000,70000
8,88,time,initial,110000,70000
8,89,time,initial,120000,70000
8,90,time,initial,230000,60000
8,91,time,initial,140000,80000
8,92,time,initial,100000,70000
8,93,time,initial,120000,70000
8,94,time,initial,130000,80000
8,95,time,initial,110000,60000
8,96,time,initial,150000,70000
8,97,time,initial,150000,70000
8,98,time,initial,120000,60000
8,99,time,initial,130000,80000
8,100,time,initial,130000,70000
9,1,time,initial,110000,70000
9,2,time,initial,100000,70000
9,3,time,initial,110000,70000
9,4,time,initial,100000,60000
9,5,time,initial,120000,70000
9,6,time,initial,180000,70000
9,7,time,initial,130000,60000
9,8,time,initial,150000,70000
9,9,time,initial,130000,60000
9,10,time,initial,120000,60000
9,11,time,initial,140000,60000
9,12,time,initial,130000,60000
9,13,time,initial,110000,60000
9,14,time,initial,100000,100000
9,15,time,initial,240000,70000
9,16,time,initial,170000,60000
9,17,time,initial,120000,70000
9,18,time,initial,160000,70000
9,19,time,initial,100000,60000
9,20,time,initial,100000,70000
9,21,time,initial,100000,70000
9,22,time,initial,120000,60000
9,23,time,initial,140000,70000
9,24,time,initial,110000,60000
9,25,time,initial,130000,70000
9,26,time,initial,120000,60000
9,27,time,initial,120000,60000
9,28,time,initial,120000,70000
9,29,time,initial,140000,70000
9,30,time,initial,130000,60000
9,31,time,initial,160000,60000
9,32,time,initial,120000,70000
9,33,time,initial,120000,70000
9,34,time,initial,110000,70000
9,35,time,initial,120000,60000
9,36,time,initial,100000,60000
9,37,time,initial,110000,60000
9,38,time,initial,140000,70000
9,39,time,initial,110000,60000
9,40,time,initial,160000,70000
9,41,time,initial,140000,70000
9,42,time,initial,130000,70000
9,43,time,initial,140000,60000
9,44,time,initial,140000,80000
9,45,time,initial,120000,70000
9,46,time,initial,100000,70000
9,47,time,initial,170000,70000
9,48,time,initial,100000,70000
9,49,time,initial,130000,80000
9,50,time,initial,110000,70000
9,51,time,initial,180000,70000
9,52,time,initial,110000,60000
9,53,time,initial,130000,70000
9,54,time,initial,110000,70000
9,55,time,initial,130000,80000
9,56,time,initial,130000,60000
9,57,time,initial,140000,70000
9,58,time,initial,120000,60000
9,59,time,initial,140000,70000
9,60,time,initial,130000,60000
9,61,time,initial,150000,70000
9,62,time,initial,100000,60000
9,63,time,initial,150000,70000
9,64,time,initial,140000,70000
9,65,time,initial,100000,70000
9,66,time,initial,130000,70000
9,67,time,initial,110000,60000
9,68,time,initial,110000,90000
9,69,time,initial,130000,80000
9,70,time,initial,140000,60000
9,71,time,initial,110000,60000
9,72,time,initial,140000,70000
9,73,time,initial,120000,70000
9,74,time,initial,130000,60000
9,75,time,initial,110000,60000
9,76,time,initial,180000,70000
9,77,time,initial,110000,70000
9,78,time,initial,120000,60000
9,79,time,initial,100000,70000
9,80,time,initial,110000,60000
9,81,time,initial,120000,70000
9,82,time,initial,110000,60000
9,83,time,initial,110000,60000
9,84,time,initial,120000,60000
9,85,time,initial,120000,60000
9,86,time,initial,120000,60000
9,87,time,initial,120000,70000
9,88,time,initial,110000,70000
9,89,time,initial,170000,60000
9,90,time,initial,160000,70000
9,91,time,initial,130000,60000
9,92,time,initial,100000,70000
9,93,time,initial,140000,70000
9,94,time,initial,160000,70000
9,95,time,initial,120000,60000
9,96,time,initial,150000,80000
9,97,time,initial,140000,70000
9,98,time,initial,120000,60000
9,99,time,initial,130000,70000
9,100,time,initial,130000,70000
10,1,time,initial,110000,70000
10,2,time,initial,100000,60000
10,3,time,initial,120000,60000
10,4,time,initial,100000,60000
10,5,time,initial,120000,70000
10,6,time,initial,180000,70000
10,7,time,initial,140000,60000
10,8,time,initial,150000,70000
10,9,time,initial,120000,60000
10,10,time,initial,120000,60000
10,11,time,initial,120000,60000
10,12,time,initial,140000,60000
10,13,time,initial,120000,60000
10,14,time,initial,110000,80000
10,15,time,initial,230000,80000
10,16,time,initial,190000,70000
10,17,time,initial,120000,70000
10,18,time,initial,200000,80000
10,19,time,initial,100000,60000
10,20,time,initial,100000,60000
10,21,time,initial,100000,70000
10,22,time,initial,120000,60000
10,23,time,initial,120000,70000
10,24,time,initial,110000,60000
10,25,time,initial,120000,70000
10,26,time,initial,120000,60000
10,27,time,initial,120000,70000
10,28,time,initial,120000,70000
