,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,,,
1,1,anti_first_fail,indomain_min,50,2361692,2361692,2361692,2361692,2402792,3662432,1.017402777330829
1,1,anti_first_fail,indomain_min,500,2521366,2521366,2521366,2521366,2554366,3662432,1.013088143490473
1,2,anti_first_fail,indomain_min,50,1494750,1494750,1494750,1494750,1500200,2088200,1.0036460946646597
1,2,anti_first_fail,indomain_min,500,1738200,1738200,1738200,1738200,1738200,2088200,1.0
1,3,anti_first_fail,indomain_min,50,89540,89540,89540,89540,89540,171665,1.0
1,3,anti_first_fail,indomain_min,500,96405,96405,96405,96405,96405,171665,1.0
2,1,anti_first_fail,indomain_min,50,2037212,2037212,2037212,2037212,2052612,3175724,1.0075593507204945
2,1,anti_first_fail,indomain_min,500,2221508,2221508,2221508,2221508,2221508,3175724,1.0
2,2,anti_first_fail,indomain_min,50,1269750,1269750,1269750,1269750,1275200,1706600,1.004292183500689
2,2,anti_first_fail,indomain_min,500,1666800,1666800,1666800,1666800,1666800,1706600,1.0
2,3,anti_first_fail,indomain_min,50,84110,84110,84110,84110,84560,93750,1.0053501367257163
2,3,anti_first_fail,indomain_min,500,89850,89850,89850,89850,89850,93750,1.0
