,,,,,Gecode,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weights,,,,,
1,1,anti_first_fail,indomain_min,0,939250,939250,939250,1551950,1.0
1,1,anti_first_fail,indomain_min,200,1099450,1099450,1099450,1551950,1.0
1,1,anti_first_fail,indomain_min,400,1172650,1172650,1172650,1551950,1.0
1,1,anti_first_fail,indomain_min,600,1221850,1221850,1221850,1551950,1.0
1,1,anti_first_fail,indomain_min,800,1239850,1239850,1239850,1551950,1.0
1,1,anti_first_fail,indomain_min,1000,1257850,1257850,1257850,1551950,1.0
1,2,anti_first_fail,indomain_min,0,815100,815100,815100,1540480,1.0
1,2,anti_first_fail,indomain_min,200,980660,980660,980660,1540480,1.0
1,2,anti_first_fail,indomain_min,400,1055160,1055160,1055160,1540480,1.0
1,2,anti_first_fail,indomain_min,600,1127160,1127160,1127160,1540480,1.0
1,2,anti_first_fail,indomain_min,800,1199160,1199160,1199160,1540480,1.0
1,2,anti_first_fail,indomain_min,1000,1233580,1233580,1271160,1540480,1.0304641774347834
1,3,anti_first_fail,indomain_min,0,1052495,1052495,1065451,1408302,1.0123097971961863
1,3,anti_first_fail,indomain_min,200,1380882,1380882,1386318,1408302,1.0039366144246937
1,3,anti_first_fail,indomain_min,400,1542382,1542382,1562618,1408302,1.0131199663896493
1,3,anti_first_fail,indomain_min,600,1664982,1664982,1702418,1408302,1.0224843271578912
1,3,anti_first_fail,indomain_min,800,1785982,1785982,1834018,1408302,1.0268961277325304
1,3,anti_first_fail,indomain_min,1000,1906982,1906982,1961418,1408302,1.0285456286425356
1,4,anti_first_fail,indomain_min,0,3004300,3004300,3052300,4383420,1.01597709949073
1,4,anti_first_fail,indomain_min,200,3249100,3249100,3681100,4383420,1.1329598965867471
1,4,anti_first_fail,indomain_min,400,3477620,3477620,3801620,4383420,1.0931671660503448
1,4,anti_first_fail,indomain_min,600,3642220,3642220,3857020,4383420,1.0589750207291158
1,4,anti_first_fail,indomain_min,800,3779220,3779220,3884820,4383420,1.0279422738025308
1,4,anti_first_fail,indomain_min,1000,3902420,3902420,3902420,4383420,1.0
1,5,anti_first_fail,indomain_min,0,899210,899210,899210,1452736,1.0
1,5,anti_first_fail,indomain_min,200,956336,956336,956336,1452736,1.0
