,,,,,Gecode,Gecode,OGSA,Model Run Time Ratio
,,,,,Initial,Modified,Modified,Gecode
Month,House,Variable choices,Constraint variables,Weights,,,,
1,1,anti_first_fail,indomain_min,0,110.0,90.0,0.00031188499997369945,1.2222222222222223
1,1,anti_first_fail,indomain_min,200,100.0,90.0,0.00033720999635988846,1.1111111111111112
1,1,anti_first_fail,indomain_min,400,110.0,90.0,0.00033483900188002735,1.2222222222222223
1,1,anti_first_fail,indomain_min,600,210.0,100.0,0.0008100360064418055,2.1
1,1,anti_first_fail,indomain_min,800,90.0,100.0,0.00041665800381451845,0.9
1,1,anti_first_fail,indomain_min,1000,100.0,90.0,0.00034282599517609924,1.1111111111111112
1,2,anti_first_fail,indomain_min,0,110.0,90.0,0.00036963399907108396,1.2222222222222223
1,2,anti_first_fail,indomain_min,200,130.0,110.0,0.0003157219980494119,1.1818181818181819
1,2,anti_first_fail,indomain_min,400,190.0,140.0,0.0004662889987230301,1.3571428571428572
1,2,anti_first_fail,indomain_min,600,160.0,150.0,0.00034638000215636566,1.0666666666666667
1,2,anti_first_fail,indomain_min,800,110.0,130.0,0.0005765730020357296,0.8461538461538461
1,2,anti_first_fail,indomain_min,1000,130.0,110.0,0.0006601940040127374,1.1818181818181819
1,3,anti_first_fail,indomain_min,0,100.0,90.0,0.00036854599602520466,1.1111111111111112
1,3,anti_first_fail,indomain_min,200,110.0,110.0,0.0003836859978036955,1.0
1,3,anti_first_fail,indomain_min,400,110.0,100.0,0.0005522329956875183,1.1
1,3,anti_first_fail,indomain_min,600,110.0,100.0,0.0003728060037246905,1.1
1,3,anti_first_fail,indomain_min,800,110.0,100.0,0.0006028290008543991,1.1
1,3,anti_first_fail,indomain_min,1000,120.0,110.0,0.0003778949976549484,1.0909090909090908
1,4,anti_first_fail,indomain_min,0,130.0,80.0,0.0006810249979025684,1.625
1,4,anti_first_fail,indomain_min,200,90.0,90.0,0.0005240039972704835,1.0
1,4,anti_first_fail,indomain_min,400,90.0,80.0,0.00036502999864751473,1.125
1,4,anti_first_fail,indomain_min,600,100.0,130.0,0.00034764399606501684,0.7692307692307693
1,4,anti_first_fail,indomain_min,800,90.0,100.0,0.0002851070021279156,0.9
1,4,anti_first_fail,indomain_min,1000,100.0,100.0,0.0002943360013887286,1.0
1,5,anti_first_fail,indomain_min,0,100.0,80.0,0.00027200200565857813,1.25
1,5,anti_first_fail,indomain_min,200,100.0,100.0,0.00040603499655844644,1.0
1,5,anti_first_fail,indomain_min,400,100.0,90.0,0.0003751399999600835,1.1111111111111112
1,5,anti_first_fail,indomain_min,600,110.0,90.0,0.0003192770018358715,1.2222222222222223
1,5,anti_first_fail,indomain_min,800,110.0,90.0,0.0006635489990003407,1.2222222222222223
1,5,anti_first_fail,indomain_min,1000,100.0,90.0,0.00031995299650589004,1.1111111111111112
1,6,anti_first_fail,indomain_min,0,100.0,80.0,0.0003763999993680045,1.25
1,6,anti_first_fail,indomain_min,200,100.0,90.0,0.000714248999429401,1.1111111111111112
1,6,anti_first_fail,indomain_min,400,100.0,90.0,0.000404368998715654,1.1111111111111112
1,6,anti_first_fail,indomain_min,600,100.0,80.0,0.0003264900005888194,1.25
1,6,anti_first_fail,indomain_min,800,90.0,90.0,0.0003149839976686053,1.0
1,6,anti_first_fail,indomain_min,1000,100.0,110.0,0.00039809099689591676,0.9090909090909091
1,7,anti_first_fail,indomain_min,0,90.0,110.0,0.00030192600388545543,0.8181818181818182
1,7,anti_first_fail,indomain_min,200,110.0,100.0,0.00033989600342465565,1.1
1,7,anti_first_fail,indomain_min,400,100.0,90.0,0.0003780780025408603,1.1111111111111112
1,7,anti_first_fail,indomain_min,600,100.0,90.0,0.0004042979999212548,1.1111111111111112
1,7,anti_first_fail,indomain_min,800,100.0,90.0,0.00033805899875005707,1.1111111111111112
1,7,anti_first_fail,indomain_min,1000,100.0,80.0,0.0003309460007585585,1.25
1,8,anti_first_fail,indomain_min,0,90.0,80.0,0.0002747489998000674,1.125
1,8,anti_first_fail,indomain_min,200,100.0,80.0,0.00042245499935233966,1.25
1,8,anti_first_fail,indomain_min,400,100.0,90.0,0.000338894002197776,1.1111111111111112
1,8,anti_first_fail,indomain_min,600,100.0,80.0,0.0002969449997181073,1.25
1,8,anti_first_fail,indomain_min,800,110.0,100.0,0.00030522700399160385,1.1
1,8,anti_first_fail,indomain_min,1000,110.0,90.0,0.00032547400041949004,1.2222222222222223
1,9,anti_first_fail,indomain_min,0,90.0,80.0,0.00029831400024704635,1.125
1,9,anti_first_fail,indomain_min,200,100.0,90.0,0.0003035609988728538,1.1111111111111112
1,9,anti_first_fail,indomain_min,400,100.0,80.0,0.00033849399915197864,1.25
1,9,anti_first_fail,indomain_min,600,100.0,90.0,0.0003877420022035949,1.1111111111111112
1,9,anti_first_fail,indomain_min,800,120.0,80.0,0.0007788179937051609,1.5
1,9,anti_first_fail,indomain_min,1000,100.0,90.0,0.0005386339980759658,1.1111111111111112
1,10,anti_first_fail,indomain_min,0,90.0,80.0,0.0003185500027029775,1.125
1,10,anti_first_fail,indomain_min,200,90.0,90.0,0.0003856670009554364,1.0
1,10,anti_first_fail,indomain_min,400,100.0,80.0,0.00033176100259879604,1.25
1,10,anti_first_fail,indomain_min,600,100.0,80.0,0.0003182220025337301,1.25
1,10,anti_first_fail,indomain_min,800,110.0,90.0,0.0003126049996353686,1.2222222222222223
1,10,anti_first_fail,indomain_min,1000,100.0,80.0,0.0004046569956699386,1.25
1,11,anti_first_fail,indomain_min,0,110.0,80.0,0.0003100629983237013,1.375
1,11,anti_first_fail,indomain_min,200,130.0,90.0,0.0003469579969532788,1.4444444444444444
