,,,,,Gecode,OGSA
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,1330540.0,1245040.0
1,1,first_fail,indomain_split_random,time,190.0,0.0001479479997215094
1,2,first_fail,indomain_split_random,obj,2143240.0,1426840.0
1,2,first_fail,indomain_split_random,time,90.0,0.00026786299986270024
1,3,first_fail,indomain_split_random,obj,325983.0,313908.0
1,3,first_fail,indomain_split_random,time,90.0,0.00026064799931191374
1,4,first_fail,indomain_split_random,obj,1736460.0,1736460.0
1,4,first_fail,indomain_split_random,time,90.0,0.00024273300005006604
1,5,first_fail,indomain_split_random,obj,1989076.0,1989076.0
1,5,first_fail,indomain_split_random,time,110.0,0.00017538200063427212
1,6,first_fail,indomain_split_random,obj,3337900.0,2752500.0
1,6,first_fail,indomain_split_random,time,100.0,0.0002032389993473771
1,7,first_fail,indomain_split_random,obj,1882175.0,1739775.0
1,7,first_fail,indomain_split_random,time,100.0,0.00015832000008231262
1,8,first_fail,indomain_split_random,obj,2167316.0,2145416.0
1,8,first_fail,indomain_split_random,time,90.0,0.0001666609996391344
1,9,first_fail,indomain_split_random,obj,560642.0,516866.0
1,9,first_fail,indomain_split_random,time,100.0,0.0002692300004127901
1,10,first_fail,indomain_split_random,obj,679410.0,486520.0
1,10,first_fail,indomain_split_random,time,100.0,0.00020357399989734404
1,11,first_fail,indomain_split_random,obj,1083252.0,893328.0
1,11,first_fail,indomain_split_random,time,110.0,0.00016633999985060655
1,12,first_fail,indomain_split_random,obj,1709395.0,1709395.0
1,12,first_fail,indomain_split_random,time,90.0,0.00020942499941156711
1,13,first_fail,indomain_split_random,obj,2889200.0,2313500.0
1,13,first_fail,indomain_split_random,time,100.0,0.00015259299925673986
1,14,first_fail,indomain_split_random,obj,1856450.0,1803320.0
1,14,first_fail,indomain_split_random,time,100.0,0.00017434500023227884
1,15,first_fail,indomain_split_random,obj,1297374.0,1189374.0
1,15,first_fail,indomain_split_random,time,130.0,0.00018374600040260702
1,16,first_fail,indomain_split_random,obj,358740.0,224460.0
1,16,first_fail,indomain_split_random,time,170.0,0.0001479560005464009
1,17,first_fail,indomain_split_random,obj,1008795.0,602320.0
1,17,first_fail,indomain_split_random,time,110.0,0.0002997519995915354
1,18,first_fail,indomain_split_random,obj,1156630.0,834970.0
1,18,first_fail,indomain_split_random,time,100.0,0.00018439099949318916
1,19,first_fail,indomain_split_random,obj,1076190.0,1017390.0
1,19,first_fail,indomain_split_random,time,110.0,0.00020847700034209993
1,20,first_fail,indomain_split_random,obj,1074940.0,1074940.0
1,20,first_fail,indomain_split_random,time,100.0,0.0002058139998553088
1,21,first_fail,indomain_split_random,obj,844575.0,844575.0
1,21,first_fail,indomain_split_random,time,200.0,0.0001893480002763681
1,22,first_fail,indomain_split_random,obj,345542.0,345542.0
1,22,first_fail,indomain_split_random,time,130.0,0.00012772799982485594
1,23,first_fail,indomain_split_random,obj,1657824.0,1393194.0
1,23,first_fail,indomain_split_random,time,100.0,0.00019175799934600946
1,24,first_fail,indomain_split_random,obj,2078600.0,2077180.0
1,24,first_fail,indomain_split_random,time,100.0,0.0001531309999336372
1,25,first_fail,indomain_split_random,obj,3871950.0,3517330.0
1,25,first_fail,indomain_split_random,time,100.0,0.00018226000065624248
1,26,first_fail,indomain_split_random,obj,2003440.0,1754090.0
1,26,first_fail,indomain_split_random,time,100.0,0.0002465520001351251
1,27,first_fail,indomain_split_random,obj,810050.0,306130.0
1,27,first_fail,indomain_split_random,time,110.0,0.0001477369996791822
1,28,first_fail,indomain_split_random,obj,1788050.0,1788050.0
1,28,first_fail,indomain_split_random,time,100.0,0.00017473499974585138
1,29,first_fail,indomain_split_random,obj,3237680.0,2596820.0
1,29,first_fail,indomain_split_random,time,110.0,0.00019150299976899987
1,30,first_fail,indomain_split_random,obj,3530092.0,3245182.0
1,30,first_fail,indomain_split_random,time,130.0,0.00045738900007563643
1,31,first_fail,indomain_split_random,obj,1371092.0,1065392.0
1,31,first_fail,indomain_split_random,time,170.0,0.00037225999949441757
1,32,first_fail,indomain_split_random,obj,850924.0,588760.0
1,32,first_fail,indomain_split_random,time,160.0,0.0004049930003020563
1,33,first_fail,indomain_split_random,obj,1163321.0,994335.0
1,33,first_fail,indomain_split_random,time,100.0,0.00025188100062223384
1,34,first_fail,indomain_split_random,obj,872040.0,707940.0
1,34,first_fail,indomain_split_random,time,90.0,0.00020133899943175493
1,35,first_fail,indomain_split_random,obj,1615660.0,1554980.0
1,35,first_fail,indomain_split_random,time,90.0,0.00019364600029803114
