,,,,,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,,
1,1,anti_first_fail,indomain_min,obj,386061.0,327761.0,340261.0,0.8489875952245889
1,1,anti_first_fail,indomain_min,time,70.0,0.0002192759420722723,,3.1325134581753184e-06
1,2,anti_first_fail,indomain_min,obj,520676.0,520676.0,706656.0,1.0
1,2,anti_first_fail,indomain_min,time,60.0,0.00015695206820964813,,2.6158678034941357e-06
1,3,anti_first_fail,indomain_min,obj,2838505.0,2838505.0,2914010.0,1.0
1,3,anti_first_fail,indomain_min,time,60.0,0.0002488689497113228,,4.1478158285220465e-06
1,4,anti_first_fail,indomain_min,obj,1264210.0,1264210.0,1419632.0,1.0
1,4,anti_first_fail,indomain_min,time,60.0,0.000249423086643219,,4.15705144405365e-06
1,5,anti_first_fail,indomain_min,obj,2851700.0,2484000.0,6869800.0,0.8710593680962233
1,5,anti_first_fail,indomain_min,time,60.0,0.00021505518816411495,,3.5842531360685825e-06
1,6,anti_first_fail,indomain_min,obj,6656600.0,6656600.0,18633200.0,1.0
1,6,anti_first_fail,indomain_min,time,60.0,0.0002201809547841549,,3.6696825797359147e-06
1,7,anti_first_fail,indomain_min,obj,4215280.0,4215280.0,7103080.0,1.0
1,7,anti_first_fail,indomain_min,time,60.0,0.00021075597032904625,,3.512599505484104e-06
1,8,anti_first_fail,indomain_min,obj,448840.0,448840.0,454840.0,1.0
1,8,anti_first_fail,indomain_min,time,60.0,0.0001873830333352089,,3.123050555586815e-06
1,9,anti_first_fail,indomain_min,obj,1231670.0,1216798.0,2544470.0,0.9879253371438779
1,9,anti_first_fail,indomain_min,time,60.0,0.00023057404905557632,,3.842900817592939e-06
1,10,anti_first_fail,indomain_min,obj,594580.0,594580.0,1044460.0,1.0
1,10,anti_first_fail,indomain_min,time,60.0,0.00018584099598228931,,3.097349933038155e-06
1,11,anti_first_fail,indomain_min,obj,2839350.0,2832150.0,4722950.0,0.9974642083575466
1,11,anti_first_fail,indomain_min,time,60.0,0.00021368521265685558,,3.561420210947593e-06
1,12,anti_first_fail,indomain_min,obj,632370.0,632370.0,969820.0,1.0
1,12,anti_first_fail,indomain_min,time,60.0,0.00019948789849877357,,3.324798308312893e-06
