,,,,,Optimistic,Gecode,Gurobi
,,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,
1,1,,,obj,2324260.0,,
1,1,,,time,0.0029371989949140698,,
1,1,first_fail,indomain_split_random,obj,,2324260.0,2324260.0
1,1,first_fail,indomain_split_random,time,,140.0,190.0
1,2,,,obj,1524320.0,,
1,2,,,time,0.003394510000362061,,
1,2,first_fail,indomain_split_random,obj,,1524320.0,1524320.0
1,2,first_fail,indomain_split_random,time,,90.0,160.0
1,3,,,obj,805996.0,,
1,3,,,time,0.0016077949985628948,,
1,3,first_fail,indomain_split_random,obj,,805996.0,805996.0
1,3,first_fail,indomain_split_random,time,,90.0,160.0
2,1,,,obj,2142680.0,,
2,1,,,time,0.00318026799504878,,
2,1,first_fail,indomain_split_random,obj,,2142680.0,2142680.0
2,1,first_fail,indomain_split_random,time,,100.0,140.0
2,2,,,obj,1443720.0,,
2,2,,,time,0.0035867420010617934,,
2,2,first_fail,indomain_split_random,obj,,1443720.0,1443720.0
2,2,first_fail,indomain_split_random,time,,90.0,160.0
2,3,,,obj,749081.0,,
2,3,,,time,0.0021593370038317516,,
2,3,first_fail,indomain_split_random,obj,,749081.0,749081.0
2,3,first_fail,indomain_split_random,time,,80.0,160.0
3,1,,,obj,1995570.0,,
3,1,,,time,0.0035159270046278834,,
3,1,first_fail,indomain_split_random,obj,,1995570.0,1995570.0
3,1,first_fail,indomain_split_random,time,,90.0,150.0
3,2,,,obj,1382920.0,,
3,2,,,time,0.003597399001591839,,
3,2,first_fail,indomain_split_random,obj,,1382920.0,1382920.0
3,2,first_fail,indomain_split_random,time,,90.0,190.0
3,3,,,obj,675555.0,,
3,3,,,time,0.0019195860004401766,,
3,3,first_fail,indomain_split_random,obj,,675555.0,675555.0
3,3,first_fail,indomain_split_random,time,,90.0,160.0
