,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,1585550.0,880820.0
1,1,first_fail,indomain_split_random,time,100.0,0.00019657699158415198
1,2,first_fail,indomain_split_random,obj,1880224.0,1611590.0
1,2,first_fail,indomain_split_random,time,90.0,0.00018543899932410568
1,3,first_fail,indomain_split_random,obj,308960.0,231442.0
1,3,first_fail,indomain_split_random,time,90.0,0.00018527699285186827
2,1,first_fail,indomain_split_random,obj,1554240.0,771010.0
2,1,first_fail,indomain_split_random,time,80.0,0.0002147920022252947
2,2,first_fail,indomain_split_random,obj,1696638.0,1577272.0
2,2,first_fail,indomain_split_random,time,90.0,0.00021000498963985592
2,3,first_fail,indomain_split_random,obj,302472.0,221462.0
2,3,first_fail,indomain_split_random,time,100.0,0.00021417699463199824
