,,,,,Gecode,Gurobi,Gecode,Gurobi,Preferred,OGSA,
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,
Month,House,Variable choices,Constraint variables,Result,,,,,,,
2,84,input_order,indomain_min,obj,1315928,1315928,1315928,1315928,1821945,1316103,1.000
2,84,input_order,indomain_min,time,70,120,60,100,,0.00036329,
2,85,input_order,indomain_min,obj,565600,565600,565600,565600,1228000,613800,1.085
2,85,input_order,indomain_min,time,60,130,60,110,,0.000535608,
2,86,input_order,indomain_min,obj,793539,793539,793539,793539,1318392,794414,1.001
2,86,input_order,indomain_min,time,60,120,50,100,,0.000411847,
2,87,input_order,indomain_min,obj,150541,150541,150541,150541,1035991,150541,1.000
2,87,input_order,indomain_min,time,60,110,50,90,,0.000396836,
2,88,input_order,indomain_min,obj,640250,640250,640250,640250,1529420,640250,1.000
2,88,input_order,indomain_min,time,60,100,50,80,,0.000280094,
2,89,input_order,indomain_min,obj,287092,287092,287092,287092,517034,287092,1.000
2,89,input_order,indomain_min,time,60,90,50,60,,0.000228535,
2,90,input_order,indomain_min,obj,20810,20810,20810,20810,28245,20810,1.000
2,90,input_order,indomain_min,time,60,90,50,60,,0.00022417,
2,91,input_order,indomain_min,obj,474456,474456,474456,474456,1425816,490332,1.033
2,91,input_order,indomain_min,time,60,120,60,90,,0.00034226,
2,92,input_order,indomain_min,obj,693888,693888,693888,693888,1135295,739128,1.065
2,92,input_order,indomain_min,time,70,110,70,80,,0.00037227,
2,93,input_order,indomain_min,obj,707150,707150,707150,707150,945620,708130,1.001
2,93,input_order,indomain_min,time,60,120,60,100,,0.000458,
2,94,input_order,indomain_min,obj,359100,359100,359100,359100,576152,359100,1.000
2,94,input_order,indomain_min,time,70,120,60,110,,0.000572882,
2,95,input_order,indomain_min,obj,1134010,1134010,1134010,1134010,1580690,1177455,1.038
2,95,input_order,indomain_min,time,60,150,50,110,,0.000623677,
2,96,input_order,indomain_min,obj,1179910,1179910,1179910,1179910,2018200,1297110,1.099
2,96,input_order,indomain_min,time,60,120,50,110,,0.000463168,
2,97,input_order,indomain_min,obj,828620,828620,828620,828620,1387070,828620,1.000
2,97,input_order,indomain_min,time,60,100,50,80,,0.000326977,
2,98,input_order,indomain_min,obj,920338,920338,920338,920338,3831227,930369,1.011
2,98,input_order,indomain_min,time,60,110,60,110,,0.000393596,
2,99,input_order,indomain_min,obj,199657,199657,199657,199657,320778,205382,1.029
2,99,input_order,indomain_min,time,70,130,60,110,,0.000439923,
2,100,input_order,indomain_min,obj,761365,761365,761365,761365,1006075,761365,1.000
2,100,input_order,indomain_min,time,60,120,60,100,,0.000389347,
3,1,input_order,indomain_min,obj,411320,411320,411320,411320,667305,411320,1.000
3,1,input_order,indomain_min,time,60,80,50,60,,0.000243644,
3,2,input_order,indomain_min,obj,240983,240983,240983,240983,380921,241370,1.002
3,2,input_order,indomain_min,time,60,130,50,90,,0.000465077,
3,3,input_order,indomain_min,obj,1001068,1001068,1001068,1001068,1323704,1009356,1.008
3,3,input_order,indomain_min,time,60,110,50,90,,0.000346707,
3,4,input_order,indomain_min,obj,1075400,1075400,1075400,1075400,1287735,1108100,1.030
3,4,input_order,indomain_min,time,70,100,60,70,,0.000292679,
3,5,input_order,indomain_min,obj,1152030,1152030,1152030,1152030,1228410,1232160,1.070
3,5,input_order,indomain_min,time,70,90,60,70,,0.000318512,
3,6,input_order,indomain_min,obj,366534,366534,366534,366534,530790,364743,0.995
3,6,input_order,indomain_min,time,60,140,50,110,,0.000532964,
3,7,input_order,indomain_min,obj,217352,217352,217352,217352,295620,216746,0.997
3,7,input_order,indomain_min,time,60,110,50,100,,0.000439563,
3,8,input_order,indomain_min,obj,911000,911000,911000,911000,1343275,912000,1.001
3,8,input_order,indomain_min,time,60,100,60,90,,0.000380083,
3,9,input_order,indomain_min,obj,357232,357232,357232,357232,451776,357224,1.000
3,9,input_order,indomain_min,time,60,110,50,100,,0.000460409,
3,10,input_order,indomain_min,obj,665955,665955,665955,665955,688915,666340,1.001
3,10,input_order,indomain_min,time,60,110,50,90,,0.000493997,
3,11,input_order,indomain_min,obj,870128,870128,870128,870128,1263698,873628,1.004
3,11,input_order,indomain_min,time,60,100,50,90,,0.000415242,
3,12,input_order,indomain_min,obj,434290,434290,434290,434290,646728,430515,0.991
3,12,input_order,indomain_min,time,60,120,60,90,,0.000431356,
3,13,input_order,indomain_min,obj,140565,140565,140565,140565,207835,144410,1.027
3,13,input_order,indomain_min,time,60,110,50,90,,0.000486403,
3,14,input_order,indomain_min,obj,2623093,2623093,2623093,2623093,3489561,3125893,1.192
3,14,input_order,indomain_min,time,60,120,50,100,,0.000589572,
3,15,input_order,indomain_min,obj,1184608,1184608,1184608,1184608,1229756,1184676,1.000
3,15,input_order,indomain_min,time,60,100,50,80,,0.000297584,
3,16,input_order,indomain_min,obj,168412,168412,168412,168412,228964,169014,1.004
3,16,input_order,indomain_min,time,60,140,50,90,,0.000411436,
3,17,input_order,indomain_min,obj,397620,397620,397620,397620,509462,397612,1.000
3,17,input_order,indomain_min,time,60,110,50,100,,0.000490528,
3,18,input_order,indomain_min,obj,596724,596724,596724,596724,938836,597174,1.001
3,18,input_order,indomain_min,time,60,100,50,90,,0.000432012,
3,19,input_order,indomain_min,obj,642630,642630,642630,642630,946710,642630,1.000
3,19,input_order,indomain_min,time,60,100,60,80,,0.000352484,
3,20,input_order,indomain_min,obj,1473155,1473155,1473155,1473155,1825089,1494583,1.015
3,20,input_order,indomain_min,time,60,110,50,90,,0.000465004,
3,21,input_order,indomain_min,obj,1176610,1176610,1176610,1176610,1682042,1189760,1.011
3,21,input_order,indomain_min,time,60,100,50,80,,0.000274027,
3,22,input_order,indomain_min,obj,138372,138372,138372,138372,185732,138272,0.999
3,22,input_order,indomain_min,time,60,110,50,90,,0.000561783,
3,23,input_order,indomain_min,obj,534500,534500,534500,534500,748800,534500,1.000
3,23,input_order,indomain_min,time,60,100,50,80,,0.000330741,
3,24,input_order,indomain_min,obj,1249080,1249080,1249080,1249080,1608985,1254090,1.004
3,24,input_order,indomain_min,time,60,100,50,80,,0.00035575,
3,25,input_order,indomain_min,obj,3217740,3217740,3217740,3217740,4788360,3217740,1.000
3,25,input_order,indomain_min,time,60,100,60,70,,0.000275141,
3,26,input_order,indomain_min,obj,148220,148220,148220,148220,241725,148180,1.000
3,26,input_order,indomain_min,time,60,110,50,100,,0.000473001,
3,27,input_order,indomain_min,obj,952176,952176,952176,952176,1146366,952176,1.000
3,27,input_order,indomain_min,time,70,90,60,60,,0.000225441,
3,28,input_order,indomain_min,obj,2990164,2990164,2990164,2990164,4442264,3125564,1.045
3,28,input_order,indomain_min,time,60,100,50,90,,0.00040162,
3,29,input_order,indomain_min,obj,2430310,2430310,2430310,2430310,2987370,2432620,1.001
3,29,input_order,indomain_min,time,60,100,50,80,,0.000326779,
3,30,input_order,indomain_min,obj,1149967,1149967,1149967,1149967,1719418,1149967,1.000
3,30,input_order,indomain_min,time,60,100,50,80,,0.000429939,
3,31,input_order,indomain_min,obj,2178078,2178078,2178078,2178078,3220086,2180726,1.001
3,31,input_order,indomain_min,time,60,100,50,90,,0.000402876,
3,32,input_order,indomain_min,obj,182688,182688,182688,182688,245188,182756,1.000
3,32,input_order,indomain_min,time,60,100,60,80,,0.000304148,
3,33,input_order,indomain_min,obj,2112008,2112008,2112008,2112008,2473536,2137532,1.012
3,33,input_order,indomain_min,time,60,110,50,90,,0.00043281,
3,34,input_order,indomain_min,obj,1476400,1476400,1476400,1476400,2116650,1511450,1.024
3,34,input_order,indomain_min,time,60,100,60,80,,0.000353038,
3,35,input_order,indomain_min,obj,845834,845834,845834,845834,1191369,848155,1.003
3,35,input_order,indomain_min,time,60,120,60,100,,0.000502953,
3,36,input_order,indomain_min,obj,916272,916272,916272,916272,1376934,923472,1.008
3,36,input_order,indomain_min,time,60,110,50,90,,0.000468134,
3,37,input_order,indomain_min,obj,1369248,1369248,1369248,1369248,1478102,1523736,1.113
3,37,input_order,indomain_min,time,70,110,60,90,,0.000343504,
3,38,input_order,indomain_min,obj,623990,623990,623990,623990,664990,623990,1.000
3,38,input_order,indomain_min,time,60,100,50,90,,0.000407751,
3,39,input_order,indomain_min,obj,1113810,1113810,1113810,1113810,1466340,1390050,1.248
3,39,input_order,indomain_min,time,60,120,50,100,,0.000428196,
3,40,input_order,indomain_min,obj,1505086,1505086,1505086,1505086,1897557,1465179,0.973
3,40,input_order,indomain_min,time,60,130,50,90,,0.000415328,
3,41,input_order,indomain_min,obj,2382696,2382696,2382696,2382696,3637061,2382696,1.000
3,41,input_order,indomain_min,time,80,110,70,90,,0.000672836,
3,42,input_order,indomain_min,obj,203530,203530,203530,203530,316860,204300,1.004
3,42,input_order,indomain_min,time,60,110,50,90,,0.000404047,
3,43,input_order,indomain_min,obj,418694,418694,418694,418694,490368,445656,1.064
3,43,input_order,indomain_min,time,60,100,50,90,,0.00039535,
3,44,input_order,indomain_min,obj,596120,596120,596120,596120,910240,598520,1.004
3,44,input_order,indomain_min,time,60,100,50,80,,0.000343159,
3,45,input_order,indomain_min,obj,1286256,1286256,1286256,1286256,1758369,1286256,1.000
3,45,input_order,indomain_min,time,60,110,50,100,,0.000501567,
3,46,input_order,indomain_min,obj,378560,378560,378560,378560,587520,382160,1.010
3,46,input_order,indomain_min,time,60,90,50,80,,0.000286907,
3,47,input_order,indomain_min,obj,639864,639864,639864,639864,932252,639872,1.000
3,47,input_order,indomain_min,time,60,100,50,70,,0.000267546,
3,48,input_order,indomain_min,obj,458028,458028,458028,458028,681542,461772,1.008
3,48,input_order,indomain_min,time,60,100,60,80,,0.000422582,
3,49,input_order,indomain_min,obj,1006632,1006632,1006632,1006632,1450020,1015536,1.009
3,49,input_order,indomain_min,time,60,110,50,90,,0.000388012,
3,50,input_order,indomain_min,obj,1857947,1857947,1857947,1857947,2856707,1857947,1.000
3,50,input_order,indomain_min,time,60,120,60,100,,0.00037845,
3,51,input_order,indomain_min,obj,232086,232086,232086,232086,213937,840512,3.622
3,51,input_order,indomain_min,time,70,160,60,120,,0.000547683,
3,52,input_order,indomain_min,obj,1065853,1065853,1065853,1065853,1385757,1200541,1.126
3,52,input_order,indomain_min,time,60,110,50,100,,0.000463194,
3,53,input_order,indomain_min,obj,577023,577023,577023,577023,793831,607107,1.052
3,53,input_order,indomain_min,time,60,100,50,90,,0.000451515,
3,54,input_order,indomain_min,obj,815021,815021,815021,815021,1208487,815018,1.000
3,54,input_order,indomain_min,time,60,120,50,100,,0.000616059,
3,55,input_order,indomain_min,obj,148632,148632,148632,148632,175958,148632,1.000
3,55,input_order,indomain_min,time,90,90,80,70,,0.000223844,
3,56,input_order,indomain_min,obj,325580,325580,325580,325580,480569,325828,1.001
3,56,input_order,indomain_min,time,60,110,60,90,,0.000511259,
3,57,input_order,indomain_min,obj,222752,222752,222752,222752,267848,222752,1.000
3,57,input_order,indomain_min,time,60,100,60,90,,0.000383309,
3,58,input_order,indomain_min,obj,1222070,1222070,1222070,1222070,1639720,1284770,1.051
3,58,input_order,indomain_min,time,80,120,80,100,,0.000434513,
3,59,input_order,indomain_min,obj,861392,861392,861392,861392,1149172,861392,1.000
3,59,input_order,indomain_min,time,60,90,50,80,,0.000317199,
3,60,input_order,indomain_min,obj,666200,666200,666200,666200,814380,698600,1.049
3,60,input_order,indomain_min,time,60,90,50,80,,0.000336518,
3,61,input_order,indomain_min,obj,2104105,2104105,2104105,2104105,2431795,2369200,1.126
3,61,input_order,indomain_min,time,60,100,50,90,,0.000407977,
3,62,input_order,indomain_min,obj,1384700,1384700,1384700,1384700,1756000,1384700,1.000
3,62,input_order,indomain_min,time,60,90,50,80,,0.00033757,
3,63,input_order,indomain_min,obj,845800,845800,845800,845800,1277600,848200,1.003
3,63,input_order,indomain_min,time,60,100,50,70,,0.000262447,
3,64,input_order,indomain_min,obj,1764788,1764788,1764788,1764788,2434062,1766180,1.001
3,64,input_order,indomain_min,time,60,100,50,90,,0.000389394,
3,65,input_order,indomain_min,obj,1734824,1734824,1734824,1734824,2717715,1735524,1.000
3,65,input_order,indomain_min,time,60,100,60,80,,0.000337646,
3,66,input_order,indomain_min,obj,920080,920080,920080,920080,1172563,923720,1.004
3,66,input_order,indomain_min,time,60,90,50,80,,0.000323851,
3,67,input_order,indomain_min,obj,235668,235668,235668,235668,312944,235668,1.000
3,67,input_order,indomain_min,time,70,90,60,60,,0.000227959,
3,68,input_order,indomain_min,obj,608384,608384,608384,608384,942212,610784,1.004
3,68,input_order,indomain_min,time,60,110,50,90,,0.000529819,
3,69,input_order,indomain_min,obj,2590948,2590948,2590948,2590948,3731298,2849270,1.100
3,69,input_order,indomain_min,time,60,120,50,90,,0.000466515,
3,70,input_order,indomain_min,obj,283940,283940,283940,283940,395750,284490,1.002
3,70,input_order,indomain_min,time,60,100,50,90,,0.000364745,
3,71,input_order,indomain_min,obj,698365,698365,698365,698365,1148430,742800,1.064
3,71,input_order,indomain_min,time,60,120,50,100,,0.000635825,
3,72,input_order,indomain_min,obj,1799040,1799040,1799040,1799040,2442074,2400582,1.334
3,72,input_order,indomain_min,time,60,120,50,100,,0.000584612,
3,73,input_order,indomain_min,obj,455280,455280,455280,455280,626990,455280,1.000
3,73,input_order,indomain_min,time,60,90,50,70,,0.000261823,
3,74,input_order,indomain_min,obj,626420,626420,626420,626420,1006148,647490,1.034
3,74,input_order,indomain_min,time,60,110,50,90,,0.00042278,
3,75,input_order,indomain_min,obj,424534,424534,424534,424534,436906,424534,1.000
3,75,input_order,indomain_min,time,60,90,60,70,,0.00022746,
3,76,input_order,indomain_min,obj,1535632,1535632,1535632,1535632,2222278,1535632,1.000
3,76,input_order,indomain_min,time,60,100,50,80,,0.00031713,
3,77,input_order,indomain_min,obj,1475950,1475950,1475950,1475950,2048550,1476300,1.000
3,77,input_order,indomain_min,time,60,110,50,80,,0.000327828,
3,78,input_order,indomain_min,obj,122080,122080,122080,122080,151200,122080,1.000
3,78,input_order,indomain_min,time,60,100,60,90,,0.000384273,
3,79,input_order,indomain_min,obj,1288000,1288000,1288000,1288000,1798000,1294000,1.005
3,79,input_order,indomain_min,time,60,100,60,80,,0.000348963,
3,80,input_order,indomain_min,obj,572432,572432,572432,572432,807356,572432,1.000
3,80,input_order,indomain_min,time,90,110,70,90,,0.000744289,
3,81,input_order,indomain_min,obj,528848,528848,528848,528848,801636,528848,1.000
3,81,input_order,indomain_min,time,60,100,50,90,,0.000405058,
3,82,input_order,indomain_min,obj,1067460,1067460,1067460,1067460,1368270,1067610,1.000
3,82,input_order,indomain_min,time,60,110,50,90,,0.000403687,
3,83,input_order,indomain_min,obj,678728,678728,678728,678728,935933,678728,1.000
3,83,input_order,indomain_min,time,60,100,50,80,,0.000326936,
3,84,input_order,indomain_min,obj,1364472,1364472,1364472,1364472,1779507,1364547,1.000
3,84,input_order,indomain_min,time,60,120,60,90,,0.000360516,
3,85,input_order,indomain_min,obj,582400,582400,582400,582400,788200,582400,1.000
3,85,input_order,indomain_min,time,60,120,50,110,,0.000575212,
3,86,input_order,indomain_min,obj,816368,816368,816368,816368,1211400,816368,1.000
3,86,input_order,indomain_min,time,60,110,60,100,,0.000393228,
3,87,input_order,indomain_min,obj,160825,160825,160825,160825,247253,160825,1.000
3,87,input_order,indomain_min,time,70,110,60,90,,0.000600072,
3,88,input_order,indomain_min,obj,683200,683200,683200,683200,944790,683200,1.000
3,88,input_order,indomain_min,time,60,100,50,90,,0.000274529,
3,89,input_order,indomain_min,obj,309176,309176,309176,309176,465153,309176,1.000
3,89,input_order,indomain_min,time,60,90,60,70,,0.000227884,
3,90,input_order,indomain_min,obj,22120,22120,22120,22120,28175,22120,1.000
3,90,input_order,indomain_min,time,60,90,50,60,,0.000228299,
3,91,input_order,indomain_min,obj,507696,507696,507696,507696,662436,509196,1.003
3,91,input_order,indomain_min,time,70,110,60,90,,0.000315019,
3,92,input_order,indomain_min,obj,699419,699419,699419,699419,1147162,725784,1.038
3,92,input_order,indomain_min,time,80,110,80,90,,0.000520679,
3,93,input_order,indomain_min,obj,757120,757120,757120,757120,877960,757340,1.000
3,93,input_order,indomain_min,time,70,110,60,100,,0.000447411,
3,94,input_order,indomain_min,obj,353500,353500,353500,353500,498972,363900,1.029
3,94,input_order,indomain_min,time,70,110,60,90,,0.000507157,
3,95,input_order,indomain_min,obj,1096245,1096245,1096245,1096245,1518940,1099560,1.003
3,95,input_order,indomain_min,time,60,140,50,110,,0.00091783,
3,96,input_order,indomain_min,obj,1233345,1233345,1233345,1233345,1820870,1269150,1.029
3,96,input_order,indomain_min,time,70,120,60,100,,0.000504898,
3,97,input_order,indomain_min,obj,892360,892360,892360,892360,1231095,892360,1.000
3,97,input_order,indomain_min,time,60,100,50,80,,0.000304169,
3,98,input_order,indomain_min,obj,901142,901142,901142,901142,1355940,921441,1.023
3,98,input_order,indomain_min,time,70,120,60,100,,0.000374517,
3,99,input_order,indomain_min,obj,199931,199931,199931,199931,284582,202764,1.014
3,99,input_order,indomain_min,time,60,120,60,100,,0.000396219,
3,100,input_order,indomain_min,obj,759965,759965,759965,759965,916965,759965,1.000
3,100,input_order,indomain_min,time,60,110,50,100,,0.000378455,
4,1,input_order,indomain_min,obj,381950,381950,381950,381950,658775,381950,1.000
4,1,input_order,indomain_min,time,60,80,50,60,,0.000219161,
4,2,input_order,indomain_min,obj,225282,225282,225282,225282,365614,223977,0.994
4,2,input_order,indomain_min,time,60,130,60,90,,0.000443696,
4,3,input_order,indomain_min,obj,933940,933940,933940,933940,1383780,962716,1.031
4,3,input_order,indomain_min,time,60,120,50,90,,0.000349828,
4,4,input_order,indomain_min,obj,1006315,1006315,1006315,1006315,1305290,1045415,1.039
4,4,input_order,indomain_min,time,80,90,80,70,,0.000288653,
4,5,input_order,indomain_min,obj,1107750,1107750,1107750,1107750,1277460,1107750,1.000
4,5,input_order,indomain_min,time,60,90,60,70,,0.000303844,
4,6,input_order,indomain_min,obj,342378,342378,342378,342378,557238,340938,0.996
4,6,input_order,indomain_min,time,60,120,60,100,,0.000526704,
4,7,input_order,indomain_min,obj,202948,202948,202948,202948,308224,203060,1.001
4,7,input_order,indomain_min,time,60,120,50,100,,0.000420546,
4,8,input_order,indomain_min,obj,852700,852700,852700,852700,1329275,852700,1.000
4,8,input_order,indomain_min,time,70,100,60,80,,0.000376942,
4,9,input_order,indomain_min,obj,331787,331787,331787,331787,484004,338243,1.019
4,9,input_order,indomain_min,time,60,110,60,100,,0.000445679,
4,10,input_order,indomain_min,obj,634760,634760,634760,634760,664600,635080,1.001
4,10,input_order,indomain_min,time,60,110,50,90,,0.000461347,
4,11,input_order,indomain_min,obj,814014,814014,814014,814014,1303350,815476,1.002
4,11,input_order,indomain_min,time,60,110,50,90,,0.000455648,
4,12,input_order,indomain_min,obj,405805,405805,405805,405805,627608,413200,1.018
4,12,input_order,indomain_min,time,60,110,60,90,,0.000396139,
4,13,input_order,indomain_min,obj,131330,131330,131330,131330,224160,133570,1.017
4,13,input_order,indomain_min,time,60,110,50,90,,0.000452444,
4,14,input_order,indomain_min,obj,2457953,2457953,2457953,2457953,3668840,2943678,1.198
4,14,input_order,indomain_min,time,60,120,50,100,,0.000565998,
4,15,input_order,indomain_min,obj,1107672,1107672,1107672,1107672,1167376,1107672,1.000
4,15,input_order,indomain_min,time,60,100,50,80,,0.000301646,
4,16,input_order,indomain_min,obj,157504,157504,157504,157504,223254,157606,1.001
4,16,input_order,indomain_min,time,60,110,50,100,,0.000398027,
4,17,input_order,indomain_min,obj,369310,369310,369310,369310,398548,369238,1.000
4,17,input_order,indomain_min,time,60,120,50,100,,0.000479399,
4,18,input_order,indomain_min,obj,555362,555362,555362,555362,971368,559458,1.007
4,18,input_order,indomain_min,time,60,100,50,90,,0.000425613,
4,19,input_order,indomain_min,obj,600465,600465,600465,600465,980145,600465,1.000
4,19,input_order,indomain_min,time,70,110,60,90,,0.000350962,
4,20,input_order,indomain_min,obj,1354032,1354032,1354032,1354032,1813814,1375372,1.016
4,20,input_order,indomain_min,time,60,110,60,90,,0.000439333,
4,21,input_order,indomain_min,obj,1100174,1100174,1100174,1100174,1676472,1107224,1.006
4,21,input_order,indomain_min,time,60,100,50,80,,0.000300817,
4,22,input_order,indomain_min,obj,128617,128617,128617,128617,196146,131588,1.023
4,22,input_order,indomain_min,time,60,120,50,100,,0.000491905,
4,23,input_order,indomain_min,obj,499570,499570,499570,499570,749760,499570,1.000
4,23,input_order,indomain_min,time,60,100,60,80,,0.000328429,
4,24,input_order,indomain_min,obj,1163510,1163510,1163510,1163510,1556650,1168470,1.004
4,24,input_order,indomain_min,time,60,100,50,80,,0.000354816,
4,25,input_order,indomain_min,obj,3013550,3013550,3013550,3013550,5198320,3013550,1.000
4,25,input_order,indomain_min,time,70,100,60,70,,0.000267068,
4,26,input_order,indomain_min,obj,137795,137795,137795,137795,255995,147355,1.069
4,26,input_order,indomain_min,time,60,110,50,100,,0.000465585,
4,27,input_order,indomain_min,obj,951492,951492,951492,951492,1221666,951492,1.000
4,27,input_order,indomain_min,time,80,90,70,70,,0.000228081,
4,28,input_order,indomain_min,obj,2798488,2798488,2798488,2798488,4057820,2858388,1.021
4,28,input_order,indomain_min,time,70,100,60,90,,0.000385584,
4,29,input_order,indomain_min,obj,2275190,2275190,2275190,2275190,2805110,2285470,1.005
4,29,input_order,indomain_min,time,60,100,60,80,,0.000325622,
4,30,input_order,indomain_min,obj,1075399,1075399,1075399,1075399,1749556,1079944,1.004
4,30,input_order,indomain_min,time,60,100,60,80,,0.000425597,
4,31,input_order,indomain_min,obj,2035624,2035624,2035624,2035624,3521586,2037888,1.001
4,31,input_order,indomain_min,time,60,110,50,90,,0.00039791,
4,32,input_order,indomain_min,obj,170678,170678,170678,170678,245044,170686,1.000
4,32,input_order,indomain_min,time,70,100,70,80,,0.000313665,
4,33,input_order,indomain_min,obj,2042152,2042152,2042152,2042152,2597372,2062812,1.010
4,33,input_order,indomain_min,time,60,100,50,90,,0.000427014,
4,34,input_order,indomain_min,obj,1379500,1379500,1379500,1379500,2153800,1415650,1.026
4,34,input_order,indomain_min,time,60,100,60,80,,0.00035065,
4,35,input_order,indomain_min,obj,790554,790554,790554,790554,1254924,793431,1.004
4,35,input_order,indomain_min,time,60,120,50,100,,0.000484236,
4,36,input_order,indomain_min,obj,850936,850936,850936,850936,1647574,858024,1.008
4,36,input_order,indomain_min,time,60,110,50,100,,0.000448906,
4,37,input_order,indomain_min,obj,1333590,1333590,1333590,1333590,1365308,1401940,1.051
4,37,input_order,indomain_min,time,70,110,70,90,,0.000348207,
4,38,input_order,indomain_min,obj,577180,577180,577180,577180,671560,577310,1.000
4,38,input_order,indomain_min,time,60,100,60,90,,0.000408314,
4,39,input_order,indomain_min,obj,1032660,1032660,1032660,1032660,1453360,1023060,0.991
4,39,input_order,indomain_min,time,70,110,60,100,,0.000447958,
4,40,input_order,indomain_min,obj,1391251,1391251,1391251,1391251,1810058,1498802,1.077
4,40,input_order,indomain_min,time,60,140,50,90,,0.000391909,
4,41,input_order,indomain_min,obj,2230894,2230894,2230894,2230894,4309814,2230894,1.000
4,41,input_order,indomain_min,time,80,110,70,90,,0.000366137,
4,42,input_order,indomain_min,obj,189890,189890,189890,189890,343810,190290,1.002
4,42,input_order,indomain_min,time,60,110,50,90,,0.000388933,
4,43,input_order,indomain_min,obj,394942,394942,394942,394942,490524,453252,1.148
4,43,input_order,indomain_min,time,60,100,50,90,,0.00038764,
4,44,input_order,indomain_min,obj,556730,556730,556730,556730,1148500,560830,1.007
4,44,input_order,indomain_min,time,60,100,50,80,,0.000325505,
4,45,input_order,indomain_min,obj,1201818,1201818,1201818,1201818,1827765,1201632,1.000
4,45,input_order,indomain_min,time,60,110,50,100,,0.000475393,
4,46,input_order,indomain_min,obj,351580,351580,351580,351580,642400,355120,1.010
4,46,input_order,indomain_min,time,60,90,60,80,,0.000269461,
4,47,input_order,indomain_min,obj,598180,598180,598180,598180,974112,598204,1.000
4,47,input_order,indomain_min,time,60,100,50,70,,0.000264465,
4,48,input_order,indomain_min,obj,427856,427856,427856,427856,710116,430528,1.006
4,48,input_order,indomain_min,time,70,100,60,80,,0.000419545,
4,49,input_order,indomain_min,obj,940912,940912,940912,940912,1461860,949720,1.009
4,49,input_order,indomain_min,time,60,110,50,90,,0.000359845,
4,50,input_order,indomain_min,obj,1738051,1738051,1738051,1738051,3038546,1738051,1.000
4,50,input_order,indomain_min,time,60,120,50,100,,0.000374601,
4,51,input_order,indomain_min,obj,231491,231491,231491,231491,212936,712154,3.076
4,51,input_order,indomain_min,time,70,150,60,120,,0.000552516,
4,52,input_order,indomain_min,obj,995541,995541,995541,995541,1408550,1133533,1.139
4,52,input_order,indomain_min,time,60,110,50,100,,0.000456948,
4,53,input_order,indomain_min,obj,539874,539874,539874,539874,866130,545124,1.010
4,53,input_order,indomain_min,time,60,100,50,80,,0.000453203,
4,54,input_order,indomain_min,obj,757210,757210,757210,757210,1342705,786156,1.038
4,54,input_order,indomain_min,time,60,120,50,100,,0.000591023,
4,55,input_order,indomain_min,obj,148542,148542,148542,148542,183100,148542,1.000
4,55,input_order,indomain_min,time,90,90,80,60,,0.000224164,
4,56,input_order,indomain_min,obj,302981,302981,302981,302981,474901,309783,1.022
4,56,input_order,indomain_min,time,70,110,70,90,,0.00048646,
4,57,input_order,indomain_min,obj,216742,216742,216742,216742,278906,216742,1.000
4,57,input_order,indomain_min,time,70,100,60,80,,0.000382709,
4,58,input_order,indomain_min,obj,1125800,1125800,1125800,1125800,1873440,1162810,1.033
4,58,input_order,indomain_min,time,110,120,100,90,,0.000421746,
4,59,input_order,indomain_min,obj,804904,804904,804904,804904,1296258,805504,1.001
4,59,input_order,indomain_min,time,60,100,60,80,,0.000317957,
4,60,input_order,indomain_min,obj,623800,623800,623800,623800,685300,656800,1.053
4,60,input_order,indomain_min,time,60,100,60,80,,0.000336819,
4,61,input_order,indomain_min,obj,1967065,1967065,1967065,1967065,2447810,2147015,1.091
4,61,input_order,indomain_min,time,60,100,50,90,,0.00038797,
4,62,input_order,indomain_min,obj,1294100,1294100,1294100,1294100,1754850,1294550,1.000
4,62,input_order,indomain_min,time,60,100,50,80,,0.000326098,
4,63,input_order,indomain_min,obj,789800,789800,789800,789800,1269200,795900,1.008
4,63,input_order,indomain_min,time,60,100,50,70,,0.000264726,
4,64,input_order,indomain_min,obj,1650192,1650192,1650192,1650192,2020610,1800144,1.091
4,64,input_order,indomain_min,time,60,100,50,90,,0.000382175,
4,65,input_order,indomain_min,obj,1623609,1623609,1623609,1623609,2987245,1625709,1.001
4,65,input_order,indomain_min,time,70,100,60,80,,0.000330028,
4,66,input_order,indomain_min,obj,854756,854756,854756,854756,1080847,864252,1.011
4,66,input_order,indomain_min,time,60,100,50,80,,0.000317959,
4,67,input_order,indomain_min,obj,224616,224616,224616,224616,320606,224616,1.000
4,67,input_order,indomain_min,time,70,90,60,60,,0.000230611,
4,68,input_order,indomain_min,obj,567230,567230,567230,567230,864476,569730,1.004
4,68,input_order,indomain_min,time,60,110,50,100,,0.000515896,
4,69,input_order,indomain_min,obj,2417618,2417618,2417618,2417618,3827296,2692960,1.114
4,69,input_order,indomain_min,time,60,120,50,100,,0.000457776,
4,70,input_order,indomain_min,obj,268580,268580,268580,268580,408055,309480,1.152
4,70,input_order,indomain_min,time,60,100,50,90,,0.000357081,
4,71,input_order,indomain_min,obj,652935,652935,652935,652935,1145210,664285,1.017
4,71,input_order,indomain_min,time,60,120,50,100,,0.000614504,
4,72,input_order,indomain_min,obj,1675277,1675277,1675277,1675277,2487290,1807014,1.079
4,72,input_order,indomain_min,time,60,110,50,100,,0.00058959,
4,73,input_order,indomain_min,obj,424560,424560,424560,424560,611660,426760,1.005
