,,,,,Gecode,Gurobi,Gecode,Gurobi,Preferred,OGSA,
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,
Month,House,Variable choices,Constraint variables,Result,,,,,,,
1,64,input_order,indomain_min,obj,2048300,2048300,2048300,2048300,4059598,2184280,1.066
1,64,input_order,indomain_min,time,60,100,50,90,,0.00036662,
1,65,input_order,indomain_min,obj,2012010,2012010,2012010,2012010,16576112,2020410,1.004
1,65,input_order,indomain_min,time,60,90,50,80,,0.000324585,
1,66,input_order,indomain_min,obj,1067437,1067437,1067437,1067437,1301340,1083365,1.015
1,66,input_order,indomain_min,time,60,100,50,80,,0.000305555,
1,67,input_order,indomain_min,obj,271970,271970,271970,271970,758590,271970,1.000
1,67,input_order,indomain_min,time,70,90,60,60,,0.000206313,
1,68,input_order,indomain_min,obj,706160,706160,706160,706160,1991564,726008,1.028
1,68,input_order,indomain_min,time,60,110,50,100,,0.000482533,
1,69,input_order,indomain_min,obj,2980120,2980120,2980120,2980120,4166984,3166544,1.063
1,69,input_order,indomain_min,time,60,120,50,100,,0.000437965,
1,70,input_order,indomain_min,obj,329225,329225,329225,329225,454840,367025,1.115
1,70,input_order,indomain_min,time,60,100,50,90,,0.000329634,
1,71,input_order,indomain_min,obj,809530,809530,809530,809530,1147540,871710,1.077
1,71,input_order,indomain_min,time,60,120,50,120,,0.000595843,
1,72,input_order,indomain_min,obj,2073420,2073420,2073420,2073420,4436218,2526530,1.219
1,72,input_order,indomain_min,time,60,120,50,90,,0.000559188,
1,73,input_order,indomain_min,obj,528450,528450,528450,528450,715560,528450,1.000
1,73,input_order,indomain_min,time,60,90,50,70,,0.000242238,
1,74,input_order,indomain_min,obj,773676,773676,773676,773676,967404,821936,1.062
1,74,input_order,indomain_min,time,60,110,50,90,,0.00038089,
1,75,input_order,indomain_min,obj,500390,500390,500390,500390,512902,500390,1.000
1,75,input_order,indomain_min,time,60,90,60,60,,0.000206879,
1,76,input_order,indomain_min,obj,1782430,1782430,1782430,1782430,9442646,1782430,1.000
1,76,input_order,indomain_min,time,60,100,50,90,,0.000305144,
1,77,input_order,indomain_min,obj,1712750,1712750,1712750,1712750,4181000,1729750,1.010
1,77,input_order,indomain_min,time,60,110,50,90,,0.000292339,
1,78,input_order,indomain_min,obj,141700,141700,141700,141700,168240,141700,1.000
1,78,input_order,indomain_min,time,60,100,60,90,,0.000358177,
1,79,input_order,indomain_min,obj,1495000,1495000,1495000,1495000,2072000,1495000,1.000
1,79,input_order,indomain_min,time,60,110,50,90,,0.000334149,
1,80,input_order,indomain_min,obj,664403,664403,664403,664403,1108207,664403,1.000
1,80,input_order,indomain_min,time,70,110,70,100,,0.000417647,
1,81,input_order,indomain_min,obj,642788,642788,642788,642788,2895528,642788,1.000
1,81,input_order,indomain_min,time,60,100,50,90,,0.000389012,
1,82,input_order,indomain_min,obj,1238490,1238490,1238490,1238490,1718520,1243650,1.004
1,82,input_order,indomain_min,time,60,110,60,100,,0.000380502,
1,83,input_order,indomain_min,obj,768545,768545,768545,768545,1432974,768545,1.000
1,83,input_order,indomain_min,time,60,100,50,90,,0.000305064,
1,84,input_order,indomain_min,obj,1581905,1581905,1581905,1581905,1986664,1581905,1.000
1,84,input_order,indomain_min,time,70,120,60,100,,0.000384257,
1,85,input_order,indomain_min,obj,676000,676000,676000,676000,1099800,680000,1.006
1,85,input_order,indomain_min,time,60,120,60,120,,0.000555159,
1,86,input_order,indomain_min,obj,947570,947570,947570,947570,1385866,956250,1.009
1,86,input_order,indomain_min,time,70,110,60,100,,0.000366526,
1,87,input_order,indomain_min,obj,186590,186590,186590,186590,882317,186590,1.000
1,87,input_order,indomain_min,time,60,110,50,80,,0.000337546,
1,88,input_order,indomain_min,obj,793000,793000,793000,793000,2446440,793000,1.000
1,88,input_order,indomain_min,time,60,100,50,80,,0.000254354,
1,89,input_order,indomain_min,obj,358865,358865,358865,358865,544532,358865,1.000
1,89,input_order,indomain_min,time,60,90,50,70,,0.000203399,
1,90,input_order,indomain_min,obj,25675,25675,25675,25675,29655,25675,1.000
1,90,input_order,indomain_min,time,60,90,50,60,,0.000208081,
1,91,input_order,indomain_min,obj,589290,589290,589290,589290,1306914,589290,1.000
1,91,input_order,indomain_min,time,60,110,60,90,,0.000281953,
1,92,input_order,indomain_min,obj,811790,811790,811790,811790,1020370,821385,1.012
1,92,input_order,indomain_min,time,60,110,60,80,,0.000330269,
1,93,input_order,indomain_min,obj,878800,878800,878800,878800,1062080,879760,1.001
1,93,input_order,indomain_min,time,70,120,70,100,,0.000938081,
1,94,input_order,indomain_min,obj,409500,409500,409500,409500,579404,409500,1.000
1,94,input_order,indomain_min,time,60,110,60,100,,0.000478626,
1,95,input_order,indomain_min,obj,1267260,1267260,1267260,1267260,1540635,1413400,1.115
1,95,input_order,indomain_min,time,70,140,50,110,,0.000541208,
1,96,input_order,indomain_min,obj,1430975,1430975,1430975,1430975,2016310,1519235,1.062
1,96,input_order,indomain_min,time,70,120,60,110,,0.000407417,
1,97,input_order,indomain_min,obj,1035775,1035775,1035775,1035775,1421710,1035775,1.000
1,97,input_order,indomain_min,time,60,100,50,80,,0.000278702,
1,98,input_order,indomain_min,obj,1043075,1043075,1043075,1043075,6278439,1055991,1.012
