,,,,,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,,
1,1,anti_first_fail,indomain_min,obj,548795.0,548795.0,1128336.0,1.0
1,1,anti_first_fail,indomain_min,time,60.0,0.0003403068985790014,,5.671781642983357e-06
1,2,anti_first_fail,indomain_min,obj,1084750.0,1084750.0,1895840.0,1.0
1,2,anti_first_fail,indomain_min,time,60.0,0.00016498100012540817,,2.7496833354234694e-06
1,3,anti_first_fail,indomain_min,obj,171269.0,171225.0,515324.0,0.9997430941968483
1,3,anti_first_fail,indomain_min,time,60.0,0.0003374579828232527,,5.624299713720878e-06
1,4,anti_first_fail,indomain_min,obj,1198600.0,1198600.0,5364360.0,1.0
1,4,anti_first_fail,indomain_min,time,60.0,0.00016294000670313835,,2.7156667783856394e-06
1,5,anti_first_fail,indomain_min,obj,2510685.0,2510625.0,8550075.0,0.999976102139456
1,5,anti_first_fail,indomain_min,time,70.0,0.00027526100166141987,,3.932300023734569e-06
1,6,anti_first_fail,indomain_min,obj,1858000.0,1836250.0,10956250.0,0.9882938643702907
1,6,anti_first_fail,indomain_min,time,60.0,0.00036759604699909687,,6.126600783318281e-06
1,7,anti_first_fail,indomain_min,obj,338845.0,338845.0,575311.0,1.0
1,7,anti_first_fail,indomain_min,time,60.0,0.00028741289861500263,,4.79021497691671e-06
1,8,anti_first_fail,indomain_min,obj,2262000.0,2262000.0,18385500.0,1.0
1,8,anti_first_fail,indomain_min,time,60.0,0.0002561989240348339,,4.269982067247232e-06
1,9,anti_first_fail,indomain_min,obj,708928.0,708928.0,3491032.0,1.0
1,9,anti_first_fail,indomain_min,time,60.0,0.0002796540502458811,,4.660900837431352e-06
1,10,anti_first_fail,indomain_min,obj,1767800.0,1767800.0,4519840.0,1.0
1,10,anti_first_fail,indomain_min,time,60.0,0.00026509002782404423,,4.4181671304007375e-06
1,11,anti_first_fail,indomain_min,obj,981890.0,981890.0,995223.0,1.0
1,11,anti_first_fail,indomain_min,time,60.0,0.0002607370261102915,,4.345617101838191e-06
1,12,anti_first_fail,indomain_min,obj,1578012.0,1576380.0,1712824.0,0.9989657873324157
1,12,anti_first_fail,indomain_min,time,60.0,0.00024470617063343525,,4.078436177223921e-06
1,13,anti_first_fail,indomain_min,obj,1207375.0,1207375.0,1344675.0,1.0
