Month,House,Limit,OGSA,Optimised,Preferred
1,1,12000,2676,2620,2400
2,1,12000,2691,2620,2400
3,1,12000,2620,2620,2400
4,1,12000,2691,2620,2400
5,1,12000,2691,2620,2400
6,1,12000,2691,2556,2400
7,1,12000,2691,2620,2400
8,1,12000,2691,2620,2400
9,1,12000,2691,2556,2400
10,1,12000,2691,2556,2400
11,1,12000,2635,2620,2400
12,1,12000,2676,2620,2400
1,2,12000,3570,3570,2400
2,2,12000,3570,3570,2400
3,2,12000,3570,3570,2400
4,2,12000,3570,3570,2400
5,2,12000,3570,3570,2400
6,2,12000,3570,3570,2400
7,2,12000,3570,3570,2400
8,2,12000,3570,3570,2400
9,2,12000,3570,3570,2400
10,2,12000,3570,3570,2400
11,2,12000,3520,3570,2400
12,2,12000,3570,3570,2400
1,3,750,162,201,161
2,3,750,212,161,161
3,3,750,201,201,161
4,3,750,212,201,161
5,3,750,212,201,161
6,3,750,212,201,161
7,3,750,201,201,161
8,3,750,212,201,161
9,3,750,212,162,161
10,3,750,212,201,161
11,3,750,201,201,161
12,3,750,212,201,161
1,4,12000,6300,6380,2400
2,4,12000,6380,6380,2400
3,4,12000,6300,6380,2400
4,4,12000,6380,6380,2400
5,4,12000,6380,6380,2400
6,4,12000,6380,6380,2400
7,4,12000,5180,6380,2400
8,4,12000,6380,6380,2400
9,4,12000,6380,6380,2400
10,4,12000,6380,6380,2400
11,4,12000,6300,6380,2400
12,4,12000,5180,6380,2400
1,5,30000,9505,9500,6000
2,5,30000,9505,9500,6000
3,5,30000,9505,9500,6000
4,5,30000,9505,9500,6000
5,5,30000,9505,9500,6000
6,5,30000,9505,9500,6000
7,5,30000,9505,9500,6000
8,5,30000,9505,9500,6000
9,5,30000,9505,9500,6000
10,5,30000,9505,9500,6000
11,5,30000,9505,9500,6000
12,5,30000,9505,9500,6000
1,6,18000,6200,3600,3600
2,6,18000,6350,5300,3600
3,6,18000,6350,5300,3600
4,6,18000,6350,3600,3600
5,6,18000,6350,5300,3600
6,6,18000,6350,3600,3600
7,6,18000,5650,5300,3600
8,6,18000,6350,3600,3600
9,6,18000,6350,3600,3600
10,6,18000,6350,5300,3600
11,6,18000,6350,5300,3600
12,6,18000,6350,3600,3600
1,7,5500,1275,1185,1100
2,7,5500,1357,1185,1100
3,7,5500,1357,1185,1100
4,7,5500,1357,1185,1100
5,7,5500,1357,1185,1100
6,7,5500,1357,1185,1100
7,7,5500,1357,1185,1100
8,7,5500,1357,1185,1100
9,7,5500,1285,1185,1100
10,7,5500,1357,1185,1100
11,7,5500,1257,1185,1100
12,7,5500,1357,1185,1100
1,8,25000,7600,7250,5350
2,8,25000,7950,6600,5350
3,8,25000,7950,7250,5350
4,8,25000,7950,7250,5350
5,8,25000,7950,7250,5350
6,8,25000,7950,7250,5350
7,8,25000,7950,7250,5350
8,8,25000,7950,7250,5350
9,8,25000,7950,7250,5350
10,8,25000,7950,7250,5350
11,8,25000,7950,7250,5350
12,8,25000,7950,7250,5350
1,9,12000,2400,2476,2400
2,9,12000,4476,2476,2400
3,9,12000,4472,2476,2400
4,9,12000,4472,2476,2400
5,9,12000,4476,2476,2400
6,9,12000,4472,2400,2400
7,9,12000,4472,2476,2400
