,,,,,Gecode,Gurobi,Gecode,Gurobi,Preferred,OGSA
,,,,,Initial,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,,
1,1,input_order,indomain_min,obj,310032.0,281668.0,951084.0,951084.0,147432.0,951084.0
1,1,input_order,indomain_min,time,100.0,240.0,150.0,150.0,,0.00020128100004512817
1,2,input_order,indomain_min,obj,1698770.0,1698770.0,1987070.0,1987070.0,4024070.0,1987070.0
1,2,input_order,indomain_min,time,110.0,180.0,160.0,160.0,,0.00020656899869209155
1,3,input_order,indomain_min,obj,1774256.0,1774256.0,1785278.0,1785278.0,1434878.0,1785278.0
1,3,input_order,indomain_min,time,120.0,210.0,90.0,230.0,,0.0002182200005336199
1,4,input_order,indomain_min,obj,2716874.0,2716874.0,2755700.0,2755700.0,3696004.0,2755700.0
1,4,input_order,indomain_min,time,100.0,230.0,90.0,140.0,,0.00023134699949878268
1,5,input_order,indomain_min,obj,1439724.0,1439724.0,1479452.0,1479452.0,5801264.0,1479452.0
1,5,input_order,indomain_min,time,110.0,180.0,90.0,140.0,,0.0002976889991259668
2,1,input_order,indomain_min,obj,307776.0,273948.0,952764.0,952764.0,146376.0,952764.0
2,1,input_order,indomain_min,time,140.0,200.0,90.0,150.0,,0.00021943200044916011
2,2,input_order,indomain_min,obj,1584150.0,1584150.0,1620750.0,1620750.0,1580850.0,1620750.0
2,2,input_order,indomain_min,time,120.0,260.0,150.0,150.0,,0.00023111600057745818
2,3,input_order,indomain_min,obj,1730053.0,1730053.0,1748923.0,1748923.0,1402273.0,1748923.0
2,3,input_order,indomain_min,time,100.0,220.0,110.0,170.0,,0.00024690899954293855
2,4,input_order,indomain_min,obj,2544592.0,2544592.0,2589682.0,2589682.0,3734242.0,2589682.0
2,4,input_order,indomain_min,time,110.0,180.0,90.0,140.0,,0.00023137000061979052
2,5,input_order,indomain_min,obj,1312792.0,1312792.0,1312792.0,1312792.0,1309192.0,1312792.0
2,5,input_order,indomain_min,time,100.0,170.0,90.0,120.0,,0.00023276200045074802
3,1,input_order,indomain_min,obj,297604.0,260132.0,933720.0,933720.0,133604.0,933720.0
3,1,input_order,indomain_min,time,120.0,230.0,120.0,150.0,,0.0002597309994598618
3,2,input_order,indomain_min,obj,1484230.0,1484230.0,1495830.0,1495830.0,1454830.0,1495830.0
3,2,input_order,indomain_min,time,120.0,210.0,120.0,230.0,,0.00046342099994944874
3,3,input_order,indomain_min,obj,1624205.0,1624205.0,1624205.0,1624205.0,1292405.0,1624205.0
3,3,input_order,indomain_min,time,120.0,220.0,120.0,140.0,,0.00022893100140208844
3,4,input_order,indomain_min,obj,2418162.0,2418162.0,2462532.0,2462532.0,2732532.0,2462532.0
3,4,input_order,indomain_min,time,100.0,190.0,80.0,150.0,,0.00028991199906158727
3,5,input_order,indomain_min,obj,1231596.0,1231596.0,1231596.0,1231596.0,1251484.0,1231596.0
3,5,input_order,indomain_min,time,110.0,190.0,80.0,130.0,,0.0002119370001310017
4,1,input_order,indomain_min,obj,295176.0,254020.0,936692.0,936692.0,133576.0,936692.0
4,1,input_order,indomain_min,time,100.0,250.0,90.0,150.0,,0.00032785300027171616
4,2,input_order,indomain_min,obj,1511050.0,1511050.0,1560250.0,1560250.0,1640350.0,1560250.0
4,2,input_order,indomain_min,time,110.0,190.0,120.0,160.0,,0.00022032600099919364
4,3,input_order,indomain_min,obj,1606521.0,1606521.0,1632617.0,1632617.0,1388417.0,1632617.0
4,3,input_order,indomain_min,time,170.0,210.0,90.0,150.0,,0.0002711729994189227
4,4,input_order,indomain_min,obj,2271744.0,2268360.0,2310840.0,2310840.0,2812024.0,2310840.0
4,4,input_order,indomain_min,time,100.0,190.0,80.0,150.0,,0.00023027399947750382
4,5,input_order,indomain_min,obj,1269108.0,1269108.0,1269108.0,1269108.0,1352496.0,1269108.0
4,5,input_order,indomain_min,time,110.0,190.0,90.0,120.0,,0.00020650199985539075
