,,,,,optimistic,Gecode
,,,,,,Initial
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,,474125.0
1,1,first_fail,indomain_split_random,time,,240.0
1,2,first_fail,indomain_split_random,obj,,3808644.0
1,2,first_fail,indomain_split_random,time,,170.0
1,3,first_fail,indomain_split_random,obj,,105570.0
1,3,first_fail,indomain_split_random,time,,110.0
1,4,first_fail,indomain_split_random,obj,,1134795.0
1,4,first_fail,indomain_split_random,time,,200.0
1,5,first_fail,indomain_split_random,obj,,1111800.0
1,5,first_fail,indomain_split_random,time,,110.0
2,1,first_fail,indomain_split_random,obj,,466185.0
2,1,first_fail,indomain_split_random,time,,130.0
2,2,first_fail,indomain_split_random,obj,,3528992.0
2,2,first_fail,indomain_split_random,time,,210.0
2,3,first_fail,indomain_split_random,obj,,60555.0
2,3,first_fail,indomain_split_random,time,,100.0
2,4,first_fail,indomain_split_random,obj,,1125375.0
2,4,first_fail,indomain_split_random,time,,140.0
2,5,first_fail,indomain_split_random,obj,,1063900.0
2,5,first_fail,indomain_split_random,time,,180.0
3,1,first_fail,indomain_split_random,obj,,443550.0
3,1,first_fail,indomain_split_random,time,,130.0
3,2,first_fail,indomain_split_random,obj,,3375312.0
3,2,first_fail,indomain_split_random,time,,110.0
3,3,first_fail,indomain_split_random,obj,,43225.0
3,3,first_fail,indomain_split_random,time,,140.0
3,4,first_fail,indomain_split_random,obj,,1040040.0
3,4,first_fail,indomain_split_random,time,,110.0
3,5,,,obj,1045900.0,
3,5,,,time,0.011452776001533493,
3,5,first_fail,indomain_split_random,obj,,1005400.0
3,5,first_fail,indomain_split_random,time,,150.0
