,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,36,first_fail,indomain_split_random,obj,3175860.0,2306660.0
1,36,first_fail,indomain_split_random,time,80.0,0.00042363999818917364
1,37,first_fail,indomain_split_random,obj,1559400.0,1090650.0
1,37,first_fail,indomain_split_random,time,100.0,0.00027677699108608067
1,38,first_fail,indomain_split_random,obj,1926991.0,1919773.0
1,38,first_fail,indomain_split_random,time,90.0,0.0002700909972190857
1,39,first_fail,indomain_split_random,obj,482360.0,478680.0
1,39,first_fail,indomain_split_random,time,90.0,0.00035788600507657975
1,40,first_fail,indomain_split_random,obj,1001040.0,379650.0
1,40,first_fail,indomain_split_random,time,100.0,0.0002584169997135177
1,41,first_fail,indomain_split_random,obj,1161800.0,650600.0
1,41,first_fail,indomain_split_random,time,80.0,0.0003152010031044483
1,42,first_fail,indomain_split_random,obj,360946.0,198877.0
1,42,first_fail,indomain_split_random,time,80.0,0.0002829000004567206
1,43,first_fail,indomain_split_random,obj,1126136.0,747746.0
1,43,first_fail,indomain_split_random,time,90.0,0.0002593340032035485
1,44,first_fail,indomain_split_random,obj,1961834.0,1873640.0
1,44,first_fail,indomain_split_random,time,90.0,0.0002432409964967519
1,45,first_fail,indomain_split_random,obj,480870.0,408850.0
1,45,first_fail,indomain_split_random,time,100.0,0.00030685600358992815
1,46,first_fail,indomain_split_random,obj,3780540.0,3780540.0
1,46,first_fail,indomain_split_random,time,100.0,0.00023599399719387293
1,47,first_fail,indomain_split_random,obj,1333300.0,1155900.0
1,47,first_fail,indomain_split_random,time,90.0,0.00028095000016037375
1,48,first_fail,indomain_split_random,obj,1220236.0,603108.0
1,48,first_fail,indomain_split_random,time,100.0,0.0003161130007356405
1,49,first_fail,indomain_split_random,obj,1141780.0,1141780.0
1,49,first_fail,indomain_split_random,time,90.0,0.00024039199342951179
1,50,first_fail,indomain_split_random,obj,1389690.0,1167640.0
1,50,first_fail,indomain_split_random,time,90.0,0.0002504279982531443
1,51,first_fail,indomain_split_random,obj,664090.0,654590.0
1,51,first_fail,indomain_split_random,time,80.0,0.0002688230015337467
1,52,first_fail,indomain_split_random,obj,1584894.0,1496484.0
1,52,first_fail,indomain_split_random,time,100.0,0.0004319319996284321
1,53,first_fail,indomain_split_random,obj,964370.0,865644.0
1,53,first_fail,indomain_split_random,time,100.0,0.00024721499357838184
1,54,first_fail,indomain_split_random,obj,3650580.0,3650580.0
1,54,first_fail,indomain_split_random,time,90.0,0.0002465229918016121
1,55,first_fail,indomain_split_random,obj,3990732.0,3586372.0
1,55,first_fail,indomain_split_random,time,90.0,0.0002863249974325299
1,56,first_fail,indomain_split_random,obj,2766016.0,2187600.0
1,56,first_fail,indomain_split_random,time,90.0,0.0002745280071394518
1,57,first_fail,indomain_split_random,obj,3882300.0,3640300.0
1,57,first_fail,indomain_split_random,time,90.0,0.0002753529988694936
1,58,first_fail,indomain_split_random,obj,1106705.0,757000.0
1,58,first_fail,indomain_split_random,time,100.0,0.00030064200109336525
1,59,first_fail,indomain_split_random,obj,712450.0,319870.0
1,59,first_fail,indomain_split_random,time,120.0,0.0002518130058888346
1,60,first_fail,indomain_split_random,obj,1223660.0,1119460.0
1,60,first_fail,indomain_split_random,time,90.0,0.0002494939981261268
1,61,first_fail,indomain_split_random,obj,761850.0,440525.0
1,61,first_fail,indomain_split_random,time,90.0,0.00028875099087599665
1,62,first_fail,indomain_split_random,obj,1119180.0,941222.0
1,62,first_fail,indomain_split_random,time,90.0,0.0002673249982763082
1,63,first_fail,indomain_split_random,obj,1778742.0,1778742.0
1,63,first_fail,indomain_split_random,time,90.0,0.0002993240050273016
1,64,first_fail,indomain_split_random,obj,1755400.0,1452964.0
1,64,first_fail,indomain_split_random,time,90.0,0.00032848300179466605
1,65,first_fail,indomain_split_random,obj,1441992.0,1349242.0
1,65,first_fail,indomain_split_random,time,90.0,0.000292255004751496
1,66,first_fail,indomain_split_random,obj,1235172.0,1196552.0
1,66,first_fail,indomain_split_random,time,100.0,0.0003052079991903156
1,67,first_fail,indomain_split_random,obj,1101980.0,870980.0
1,67,first_fail,indomain_split_random,time,80.0,0.0002564879978308454
1,68,first_fail,indomain_split_random,obj,1791358.0,1103683.0
1,68,first_fail,indomain_split_random,time,100.0,0.0004439429903868586
1,69,first_fail,indomain_split_random,obj,5364800.0,4885000.0
1,69,first_fail,indomain_split_random,time,90.0,0.0004958520003128797
1,70,first_fail,indomain_split_random,obj,1396830.0,1396830.0
1,70,first_fail,indomain_split_random,time,110.0,0.00030539900762960315
1,71,first_fail,indomain_split_random,obj,2078725.0,1785925.0
1,71,first_fail,indomain_split_random,time,100.0,0.00024871800269465894
1,72,first_fail,indomain_split_random,obj,848795.0,848795.0
1,72,first_fail,indomain_split_random,time,100.0,0.0002786130062304437
1,73,first_fail,indomain_split_random,obj,3255410.0,3250010.0
1,73,first_fail,indomain_split_random,time,90.0,0.0005165930051589385
1,74,first_fail,indomain_split_random,obj,1948370.0,1876970.0
1,74,first_fail,indomain_split_random,time,90.0,0.00033913498918991536
1,75,first_fail,indomain_split_random,obj,1696630.0,1467130.0
1,75,first_fail,indomain_split_random,time,100.0,0.0003675720072351396
1,76,first_fail,indomain_split_random,obj,2315240.0,1549980.0
1,76,first_fail,indomain_split_random,time,90.0,0.00026859401259571314
