,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Solver Run Time Ratio,Solver Run Time Ratio,Model Run Time Ratio,Model Run Time Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Initial,Modified,Gurobi,Gecode
Month,House,Variable choices,Constraint variables,Weights,,,,,,,,,
1,1,anti_first_fail,indomain_min,-1,,,,,0.00022927206009626389,,,,
1,1,anti_first_fail,indomain_min,800,70.0,110.0,60.0,100.0,,1.5714285714285714,1.6666666666666667,1.1,1.1666666666666667
1,1,anti_first_fail,indomain_min,1000,70.0,110.0,60.0,90.0,,1.5714285714285714,1.5,1.2222222222222223,1.1666666666666667
1,2,anti_first_fail,indomain_min,-1,,,,,0.0002083522267639637,,,,
1,2,anti_first_fail,indomain_min,800,70.0,110.0,80.0,100.0,,1.5714285714285714,1.25,1.1,0.875
1,2,anti_first_fail,indomain_min,1000,70.0,110.0,70.0,100.0,,1.5714285714285714,1.4285714285714286,1.1,1.0
1,3,anti_first_fail,indomain_min,-1,,,,,0.000202263705432415,,,,
1,3,anti_first_fail,indomain_min,800,70.0,90.0,60.0,70.0,,1.2857142857142858,1.1666666666666667,1.2857142857142858,1.1666666666666667
1,3,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,70.0,,1.4285714285714286,1.0,1.4285714285714286,1.0
2,1,anti_first_fail,indomain_min,-1,,,,,0.0002213600091636181,,,,
2,1,anti_first_fail,indomain_min,800,70.0,110.0,70.0,90.0,,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
2,1,anti_first_fail,indomain_min,1000,70.0,110.0,70.0,90.0,,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
2,2,anti_first_fail,indomain_min,-1,,,,,0.000206860713660717,,,,
2,2,anti_first_fail,indomain_min,800,80.0,120.0,70.0,100.0,,1.5,1.4285714285714286,1.2,1.1428571428571428
2,2,anti_first_fail,indomain_min,1000,70.0,120.0,70.0,100.0,,1.7142857142857142,1.4285714285714286,1.2,1.0
2,3,anti_first_fail,indomain_min,-1,,,,,0.0001923050731420517,,,,
2,3,anti_first_fail,indomain_min,800,70.0,90.0,70.0,70.0,,1.2857142857142858,1.0,1.2857142857142858,1.0
2,3,anti_first_fail,indomain_min,1000,70.0,90.0,70.0,70.0,,1.2857142857142858,1.0,1.2857142857142858,1.0
