,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,,,,,,,
1,1,anti_first_fail,indomain_min,1261744,1261744,1261744,1261744,1261744,1267144,1.0
1,2,anti_first_fail,indomain_min,1624150,1624150,1624150,1624150,1624150,2137250,1.0
1,3,anti_first_fail,indomain_min,2684490,2684490,2684490,2684490,2684490,14750154,1.0
2,1,anti_first_fail,indomain_min,1105484,1105484,1105484,1105484,1105484,1160184,1.0
2,2,anti_first_fail,indomain_min,1525474,1525474,1525474,1525474,1525474,2080474,1.0
2,3,anti_first_fail,indomain_min,2351472,2351472,2351472,2351472,2351472,7854540,1.0
