,,,Gecode,Gurobi
,,,Initial,Initial
Month,House,Result,,
1,1,time,140.0,220.0
1,2,time,130.0,250.0
1,3,time,100.0,190.0
1,4,time,180.0,200.0
1,5,time,150.0,250.0
1,6,time,310.0,450.0
1,7,time,90.0,240.0
1,8,time,200.0,190.0
1,9,time,80.0,160.0
1,10,time,130.0,220.0
1,11,time,80.0,270.0
1,12,time,160.0,650.0
1,13,time,190.0,300.0
1,14,time,110.0,210.0
1,15,time,150.0,330.0
1,16,time,120.0,220.0
1,17,time,90.0,340.0
1,18,time,150.0,270.0
1,19,time,110.0,210.0
1,20,time,140.0,250.0
1,21,time,110.0,350.0
1,22,time,230.0,200.0
1,23,time,160.0,320.0
1,24,time,90.0,200.0
1,25,time,100.0,580.0
1,26,time,320.0,220.0
1,27,time,100.0,230.0
1,28,time,180.0,440.0
1,29,time,700.0,330.0
1,30,time,100.0,200.0
1,31,time,90.0,420.0
1,32,time,100.0,230.0
1,33,time,610.0,240.0
1,34,time,130.0,250.0
1,35,time,110.0,260.0
1,36,time,100.0,360.0
1,37,time,130.0,240.0
1,38,time,260.0,300.0
1,39,time,90.0,180.0
1,40,time,240.0,190.0
1,41,time,100.0,180.0
1,42,time,140.0,300.0
1,43,time,220.0,200.0
1,44,time,139.999,190.0
1,45,time,80.0,170.0
1,46,time,80.0,180.0
1,47,time,140.0,220.0
1,48,time,80.0,280.0
1,49,time,80.0,200.0
1,50,time,120.0,220.0
1,51,time,100.0,170.0
1,52,time,150.0,180.0
1,53,time,130.0,210.0
1,54,time,80.0,170.0
1,55,time,900.0,190.0
1,56,time,110.0,260.0
1,57,time,160.0,170.0
1,58,time,80.0,220.0
1,59,time,90.0,190.0
1,60,time,110.0,210.0
1,61,time,120.0,220.0
1,62,time,90.0,180.0
1,63,time,240.0,220.0
1,64,time,230.0,190.0
1,65,time,120.0,270.0
1,66,time,110.0,210.0
1,67,time,840.0,290.0
1,68,time,110.0,200.0
1,69,time,80.0,190.0
1,70,time,90.0,200.0
1,71,time,170.0,280.0
1,72,time,100.0,180.0
1,73,time,90.0,220.0
1,74,time,70.0,200.0
1,75,time,100.0,190.0
1,76,time,110.0,220.0
1,77,time,110.0,180.0
1,78,time,300.0,200.0
1,79,time,110.0,180.0
1,80,time,100.0,170.0
1,81,time,490.0,290.0
1,82,time,190.0,180.0
1,83,time,100.0,220.0
1,84,time,430.0,200.0
1,85,time,610.0,200.0
1,86,time,120.0,280.0
1,87,time,100.0,210.0
1,88,time,100.0,210.0
1,89,time,100.0,190.0
1,90,time,170.0,210.0
1,91,time,320.0,200.0
1,92,time,80.0,190.0
1,93,time,80.0,220.0
1,94,time,90.0,170.0
1,95,time,90.0,370.0
1,96,time,130.0,190.0
1,97,time,90.0,210.0
1,98,time,100.0,200.0
1,99,time,120.0,180.0
1,100,time,300.0,210.0
