,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,,,
1,1,anti_first_fail,indomain_min,0,202345,202345,202345,202345,202585,254841,1.0011860930588845
1,1,anti_first_fail,indomain_min,1000,254841,254841,254841,254841,254841,254841,1.0
1,2,anti_first_fail,indomain_min,0,420290,420290,420290,420290,420290,964739,1.0
1,2,anti_first_fail,indomain_min,1000,664739,664739,664739,664739,664739,964739,1.0
1,3,anti_first_fail,indomain_min,0,1893420,1893420,1893420,1893420,1930820,2491404,1.0197526169576745
1,3,anti_first_fail,indomain_min,1000,2131204,2131204,2131204,2131204,2131204,2491404,1.0
2,1,anti_first_fail,indomain_min,0,163304,163304,163304,163304,163304,242310,1.0
2,1,anti_first_fail,indomain_min,1000,209710,209710,209710,209710,209710,242310,1.0
2,2,anti_first_fail,indomain_min,0,337362,337362,337362,337362,338664,1055520,1.0038593558254931
2,2,anti_first_fail,indomain_min,1000,624320,624320,624320,624320,624320,1055520,1.0
2,3,anti_first_fail,indomain_min,0,1636946,1636946,1636946,1636946,1636946,2401160,1.0
2,3,anti_first_fail,indomain_min,1000,1852660,1852660,1852660,1852660,1852660,2401160,1.0
