day_num,household_num,result_type,model_type,"mip, gurobi","cp, gecode"
1,1,time,initial,130000,60000
1,1,time,preprocessing,120000,50000
1,2,time,initial,100000,70000
1,2,time,preprocessing,70000,60000
1,3,time,initial,110000,60000
1,3,time,preprocessing,90000,60000
1,4,time,initial,110000,60000
1,4,time,preprocessing,90000,60000
1,5,time,initial,110000,70000
1,5,time,preprocessing,100000,60000
2,1,time,initial,130000,60000
2,1,time,preprocessing,110000,60000
2,2,time,initial,90000,60000
2,2,time,preprocessing,60000,60000
2,3,time,initial,110000,70000
2,3,time,preprocessing,90000,60000
2,4,time,initial,110000,60000
2,4,time,preprocessing,100000,50000
2,5,time,initial,120000,60000
2,5,time,preprocessing,100000,50000
