,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,,,
1,1,anti_first_fail,indomain_min,0,102375,102375,102375,102375,102855,165390,1.0046886446886447
1,1,anti_first_fail,indomain_min,5,106840,106840,106840,106840,106840,165390,1.0
1,1,anti_first_fail,indomain_min,50,112755,112755,112755,112755,112755,165390,1.0
1,1,anti_first_fail,indomain_min,500,122190,122190,122190,122190,122190,165390,1.0
1,1,anti_first_fail,indomain_min,1000,122190,122190,122190,122190,122190,165390,1.0
1,2,anti_first_fail,indomain_min,0,1261000,1261000,1261000,1261000,1317800,1722200,1.0450436161776369
1,2,anti_first_fail,indomain_min,5,1272415,1272415,1272415,1272415,1328835,1722200,1.0443408793514695
1,2,anti_first_fail,indomain_min,50,1375150,1375150,1375150,1375150,1428150,1722200,1.0385412500454496
1,2,anti_first_fail,indomain_min,500,1774300,1774300,1774300,1774300,2208700,1722200,1.2448289466268387
1,2,anti_first_fail,indomain_min,1000,1927100,1927100,1927100,1927100,2348000,1722200,1.2184110840122464
1,3,anti_first_fail,indomain_min,0,1549080,1549080,1549080,1549080,1569824,2117586,1.0133911741162496
1,3,anti_first_fail,indomain_min,5,1558270,1558270,1558270,1558270,1579789,2117586,1.0138095452007676
1,3,anti_first_fail,indomain_min,50,1640670,1640670,1640670,1640670,1679970,2117586,1.02395362870047
1,3,anti_first_fail,indomain_min,500,1957116,1957116,1957116,1957116,2069500,2117586,1.057423269749979
1,3,anti_first_fail,indomain_min,1000,1975579,1975579,1975579,1975579,2452963,2117586,1.2416425766825827
2,1,anti_first_fail,indomain_min,0,82110,82110,82110,82110,82110,152700,1.0
2,1,anti_first_fail,indomain_min,5,87950,87950,87950,87950,88440,152700,1.0055713473564525
2,1,anti_first_fail,indomain_min,50,93990,93990,93990,93990,93990,152700,1.0
2,1,anti_first_fail,indomain_min,500,107100,107100,107100,107100,107100,152700,1.0
2,1,anti_first_fail,indomain_min,1000,107100,107100,107100,107100,107100,152700,1.0
2,2,anti_first_fail,indomain_min,0,1062800,1062800,1062800,1062800,1065500,1710900,1.002540459164471
2,2,anti_first_fail,indomain_min,5,1076045,1076045,1076045,1076045,1123145,1710900,1.0437714036123025
2,2,anti_first_fail,indomain_min,50,1195250,1195250,1195250,1195250,1236950,1710900,1.0348880987241162
2,2,anti_first_fail,indomain_min,500,1740200,1740200,1740200,1740200,1929300,1710900,1.1086656706125733
2,2,anti_first_fail,indomain_min,1000,1919000,1919000,1919000,1919000,2077000,1710900,1.082334549244398
2,3,anti_first_fail,indomain_min,0,1303781,1303781,1303781,1303781,1398871,2020362,1.0729340280307813
2,3,anti_first_fail,indomain_min,5,1314271,1314271,1314271,1314271,1409022,2020362,1.0720939593128054
2,3,anti_first_fail,indomain_min,50,1404767,1404767,1404767,1404767,1496433,2020362,1.0652535260295835
2,3,anti_first_fail,indomain_min,500,1850628,1850628,1850628,1850628,1911444,2020362,1.0328623580752048
2,3,anti_first_fail,indomain_min,1000,1899372,1899372,1899372,1899372,2315444,2020362,1.2190576674816729
