,,,,,Gecode,Gurobi,Preferred,OGSA
,,,,,Initial,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,,
1,1,input_order,indomain_min,obj,2880060.0,2880060.0,3806960.0,2937060.0
1,1,input_order,indomain_min,time,180.0,270.0,,0.0005124119998072274
1,2,input_order,indomain_min,obj,1866234.0,1866234.0,12120534.0,1896234.0
1,2,input_order,indomain_min,time,120.0,210.0,,0.00036564599940902553
1,3,input_order,indomain_min,obj,1428454.0,1428454.0,2314083.0,1460187.0
1,3,input_order,indomain_min,time,120.0,230.0,,0.0002246449985250365
1,4,input_order,indomain_min,obj,479625.0,479625.0,630675.0,479625.0
1,4,input_order,indomain_min,time,130.0,170.0,,0.000337314000717015
1,5,input_order,indomain_min,obj,289702.0,141693.0,43387.0,290573.0
1,5,input_order,indomain_min,time,100.0,220.0,,0.00019927100038330536
1,6,input_order,indomain_min,obj,2424010.0,2253010.0,2159586.0,103256345.0
1,6,input_order,indomain_min,time,110.0,200.0,,0.00032536300022911746
1,7,input_order,indomain_min,obj,3872160.0,3872160.0,8355005.0,3982860.0
1,7,input_order,indomain_min,time,150.0,240.0,,0.0002357459998165723
1,8,input_order,indomain_min,obj,1210140.0,1210140.0,4934800.0,1290130.0
1,8,input_order,indomain_min,time,110.0,210.0,,0.00030040100136830006
1,9,input_order,indomain_min,obj,463802.0,463802.0,463802.0,463802.0
1,9,input_order,indomain_min,time,100.0,150.0,,0.00016837700059113558
1,10,input_order,indomain_min,obj,2137665.0,2137665.0,2140590.0,2577165.0
1,10,input_order,indomain_min,time,100.0,190.0,,0.0002174179990106495
1,11,input_order,indomain_min,obj,645474.0,357924.0,758146.0,645474.0
1,11,input_order,indomain_min,time,110.0,170.0,,0.0001929240006575128
1,12,input_order,indomain_min,obj,150845.0,150845.0,207845.0,150845.0
1,12,input_order,indomain_min,time,140.0,160.0,,0.0001727880007820204
1,13,input_order,indomain_min,obj,1561484.0,1561484.0,2584384.0,1561484.0
1,13,input_order,indomain_min,time,100.0,160.0,,0.00013338699864107184
1,14,input_order,indomain_min,obj,2078305.0,2078305.0,2348825.0,7115115.0
1,14,input_order,indomain_min,time,100.0,270.0,,0.0003316790007374948
1,15,input_order,indomain_min,obj,872673.0,872673.0,774609.0,1793404.0
1,15,input_order,indomain_min,time,120.0,200.0,,0.00028118499903939664
