,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,990756.0,308664.0
1,1,first_fail,indomain_split_random,time,110.0,0.000666262989398092
1,2,first_fail,indomain_split_random,obj,215382.0,117112.0
1,2,first_fail,indomain_split_random,time,90.0,0.00020707299700006843
1,3,first_fail,indomain_split_random,obj,1603990.0,1560565.0
1,3,first_fail,indomain_split_random,time,150.0,0.00020249299996066839
2,1,first_fail,indomain_split_random,obj,975204.0,284152.0
2,1,first_fail,indomain_split_random,time,80.0,0.00026596100360620767
2,2,first_fail,indomain_split_random,obj,197767.0,103409.0
2,2,first_fail,indomain_split_random,time,190.0,0.0002345079992664978
2,3,first_fail,indomain_split_random,obj,1406175.0,1362525.0
2,3,first_fail,indomain_split_random,time,90.0,0.0002378639910602942
