,,,,,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,,,
1,1,anti_first_fail,indomain_min,obj,2076025.0,2075800.0,2720589.0,0.9998916198022664
1,1,anti_first_fail,indomain_min,time,60.0,0.0003402198199182749,,5.670330331971248e-06
1,2,anti_first_fail,indomain_min,obj,189020.0,189020.0,260801.0,1.0
1,2,anti_first_fail,indomain_min,time,60.0,0.0003481418825685978,,5.80236470947663e-06
1,3,anti_first_fail,indomain_min,obj,383560.0,383500.0,2271335.0,0.9998435707581604
1,3,anti_first_fail,indomain_min,time,60.0,0.0002823921386152506,,4.70653564358751e-06
1,4,anti_first_fail,indomain_min,obj,602160.0,602160.0,846561.0,1.0
1,4,anti_first_fail,indomain_min,time,60.0,0.000161302974447608,,2.688382907460133e-06
1,5,anti_first_fail,indomain_min,obj,512005.0,512005.0,4235724.0,1.0
1,5,anti_first_fail,indomain_min,time,60.0,0.0003764259163290262,,6.273765272150437e-06
2,1,anti_first_fail,indomain_min,obj,1855606.0,1835331.0,2554515.0,0.9890736503330987
2,1,anti_first_fail,indomain_min,time,60.0,0.0003616360481828451,,6.0272674697140855e-06
2,2,anti_first_fail,indomain_min,obj,151867.0,151216.0,265383.0,0.9957133544483001
2,2,anti_first_fail,indomain_min,time,50.0,0.0003689378499984741,,7.3787569999694825e-06
2,3,anti_first_fail,indomain_min,obj,310495.0,308655.0,556855.0,0.9940739786469992
2,3,anti_first_fail,indomain_min,time,60.0,0.0003065748605877161,,5.1095810097952684e-06
2,4,anti_first_fail,indomain_min,obj,491772.0,491772.0,838482.0,1.0
2,4,anti_first_fail,indomain_min,time,60.0,0.0001765289343893528,,2.942148906489213e-06
2,5,anti_first_fail,indomain_min,obj,430982.0,424371.0,1583200.0,0.9846606122761508
2,5,anti_first_fail,indomain_min,time,60.0,0.0003935769200325012,,6.55961533387502e-06
