,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Solver Run Time Ratio,Solver Run Time Ratio,Model Run Time Ratio,Model Run Time Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Initial,Modified,Gurobi,Gecode
Month,House,Variable choices,Constraint variables,Weight,,,,,,,,,
1,1,anti_first_fail,indomain_min,0,80.0,110.0,60.0,100.0,0.00019899476319551468,1.375,1.6666666666666667,1.1,1.3333333333333333
1,1,anti_first_fail,indomain_min,5,80.0,110.0,80.0,90.0,0.000284658744931221,1.375,1.125,1.2222222222222223,1.0
1,1,anti_first_fail,indomain_min,50,80.0,110.0,70.0,90.0,0.00021482259035110474,1.375,1.2857142857142858,1.2222222222222223,1.1428571428571428
1,1,anti_first_fail,indomain_min,500,80.0,110.0,70.0,90.0,0.0002147243358194828,1.375,1.2857142857142858,1.2222222222222223,1.1428571428571428
1,1,anti_first_fail,indomain_min,1000,80.0,120.0,70.0,90.0,0.0002119508571922779,1.5,1.2857142857142858,1.3333333333333333,1.1428571428571428
1,2,anti_first_fail,indomain_min,0,70.0,110.0,70.0,90.0,0.00017754314467310905,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
1,2,anti_first_fail,indomain_min,5,70.0,100.0,70.0,80.0,0.00020303623750805855,1.4285714285714286,1.1428571428571428,1.25,1.0
1,2,anti_first_fail,indomain_min,50,70.0,110.0,70.0,90.0,0.00019814306870102882,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
1,2,anti_first_fail,indomain_min,500,70.0,100.0,70.0,90.0,0.00019644200801849365,1.4285714285714286,1.2857142857142858,1.1111111111111112,1.0
1,2,anti_first_fail,indomain_min,1000,70.0,110.0,70.0,80.0,0.00020570168271660805,1.5714285714285714,1.1428571428571428,1.375,1.0
1,3,anti_first_fail,indomain_min,0,70.0,100.0,70.0,90.0,0.0001873290166258812,1.4285714285714286,1.2857142857142858,1.1111111111111112,1.0
1,3,anti_first_fail,indomain_min,5,70.0,110.0,70.0,90.0,0.000218201894313097,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
1,3,anti_first_fail,indomain_min,50,70.0,100.0,60.0,90.0,0.00020744185894727707,1.4285714285714286,1.5,1.1111111111111112,1.1666666666666667
1,3,anti_first_fail,indomain_min,500,80.0,120.0,70.0,90.0,0.00020594196394085884,1.5,1.2857142857142858,1.3333333333333333,1.1428571428571428
1,3,anti_first_fail,indomain_min,1000,80.0,140.0,70.0,120.0,0.00020748935639858246,1.75,1.7142857142857142,1.1666666666666667,1.1428571428571428
2,1,anti_first_fail,indomain_min,0,70.0,110.0,80.0,80.0,0.00021398207172751427,1.5714285714285714,1.0,1.375,0.875
2,1,anti_first_fail,indomain_min,5,80.0,120.0,60.0,80.0,0.00021459907293319702,1.5,1.3333333333333333,1.5,1.3333333333333333
2,1,anti_first_fail,indomain_min,50,90.0,120.0,70.0,80.0,0.00021491525694727898,1.3333333333333333,1.1428571428571428,1.5,1.2857142857142858
2,1,anti_first_fail,indomain_min,500,80.0,110.0,70.0,80.0,0.00021352386102080345,1.375,1.1428571428571428,1.375,1.1428571428571428
2,1,anti_first_fail,indomain_min,1000,80.0,110.0,70.0,80.0,0.00021752528846263885,1.375,1.1428571428571428,1.375,1.1428571428571428
2,2,anti_first_fail,indomain_min,0,70.0,110.0,70.0,90.0,0.00019818590953946114,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
2,2,anti_first_fail,indomain_min,5,70.0,110.0,70.0,90.0,0.00020167790353298187,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
2,2,anti_first_fail,indomain_min,50,70.0,120.0,60.0,90.0,0.0001974860206246376,1.7142857142857142,1.5,1.3333333333333333,1.1666666666666667
2,2,anti_first_fail,indomain_min,500,70.0,110.0,70.0,80.0,0.00019896076992154121,1.5714285714285714,1.1428571428571428,1.375,1.0
2,2,anti_first_fail,indomain_min,1000,70.0,110.0,70.0,80.0,0.0001970292069017887,1.5714285714285714,1.1428571428571428,1.375,1.0
2,3,anti_first_fail,indomain_min,0,70.0,110.0,70.0,100.0,0.00020729098469018936,1.5714285714285714,1.4285714285714286,1.1,1.0
2,3,anti_first_fail,indomain_min,5,70.0,110.0,60.0,90.0,0.0002039121463894844,1.5714285714285714,1.5,1.2222222222222223,1.1666666666666667
2,3,anti_first_fail,indomain_min,50,90.0,110.0,80.0,100.0,0.00020976178348064423,1.2222222222222223,1.25,1.1,1.125
2,3,anti_first_fail,indomain_min,500,70.0,130.0,70.0,90.0,0.00020520202815532684,1.8571428571428572,1.2857142857142858,1.4444444444444444,1.0
2,3,anti_first_fail,indomain_min,1000,80.0,110.0,70.0,90.0,0.000370608177036047,1.375,1.2857142857142858,1.2222222222222223,1.1428571428571428
