,,,Gecode,Gurobi
,,,Initial,Initial
Month,House,Result,,
1,1,time,90.0,260.0
1,2,time,90.0,510.0
1,3,time,170.0,310.0
2,1,time,90.0,240.0
2,2,time,90.0,540.0
2,3,time,100.0,240.0
