,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio,,
,,,,,Modified,Modified,Modified,Modified,Modified,,
Month,House,Variable choices,Constraint variables,Result,,,,,,,
1,12,anti_first_fail,indomain_min,time,70,100,0.000175889,,2.51E-06,,
1,13,anti_first_fail,indomain_min,obj,1885925,1885925,2100915,4335825,1.11399711,,52%
1,13,anti_first_fail,indomain_min,time,60,80,0.000204011,,3.40E-06,,
1,14,anti_first_fail,indomain_min,obj,309190,309190,309190,1427710,1,,78%
1,14,anti_first_fail,indomain_min,time,60,100,0.000182027,,3.03E-06,,
1,15,anti_first_fail,indomain_min,obj,2054550,2054550,2054550,2336150,1,,12%
1,15,anti_first_fail,indomain_min,time,50,90,0.000193135,,3.86E-06,,
1,16,anti_first_fail,indomain_min,obj,1468740,1468740,1485840,1729948,1.011642632,,14%
1,16,anti_first_fail,indomain_min,time,50,90,0.000178866,,3.58E-06,,
1,17,anti_first_fail,indomain_min,obj,4263300,4263300,4263300,4404300,1,,3%
1,17,anti_first_fail,indomain_min,time,60,70,0.000170254,,2.84E-06,,
1,18,anti_first_fail,indomain_min,obj,1081761,1081761,1081761,2729175,1,,60%
1,18,anti_first_fail,indomain_min,time,70,100,0.000194853,,2.78E-06,,
1,19,anti_first_fail,indomain_min,obj,1316479,1316479,1316479,1408606,1,,7%
1,19,anti_first_fail,indomain_min,time,60,60,0.000181999,,3.03E-06,,
1,20,anti_first_fail,indomain_min,obj,328737,328737,328737,354637,1,,7%
1,20,anti_first_fail,indomain_min,time,60,80,0.000187694,,3.13E-06,,
1,21,anti_first_fail,indomain_min,obj,676104,676104,676104,1665764,1,,59%
1,21,anti_first_fail,indomain_min,time,60,80,0.000186093,,3.10E-06,,
1,22,anti_first_fail,indomain_min,obj,329206,329206,329206,329206,1,,0%
1,22,anti_first_fail,indomain_min,time,60,80,0.000184737,,3.08E-06,,
1,23,anti_first_fail,indomain_min,obj,1842850,1842850,1842850,2549150,1,,28%
1,23,anti_first_fail,indomain_min,time,50,80,0.000199855,,4.00E-06,,
1,24,anti_first_fail,indomain_min,obj,753200,753200,753200,1677600,1,,55%
1,24,anti_first_fail,indomain_min,time,60,90,0.000175335,,2.92E-06,,
1,25,anti_first_fail,indomain_min,obj,561785,561785,561785,576695,1,,3%
1,25,anti_first_fail,indomain_min,time,60,100,0.000217263,,3.62E-06,,
1,26,anti_first_fail,indomain_min,obj,724362,724362,730334,732334,1.008244497,,0%
1,26,anti_first_fail,indomain_min,time,50,90,0.000204434,,4.09E-06,,
1,27,anti_first_fail,indomain_min,obj,78928,78928,78928,78928,1,,0%
1,27,anti_first_fail,indomain_min,time,60,80,0.000182699,,3.04E-06,,
1,28,anti_first_fail,indomain_min,obj,678350,678350,719450,1110650,1.060588192,,35%
1,28,anti_first_fail,indomain_min,time,60,110,0.000203346,,3.39E-06,,
1,29,anti_first_fail,indomain_min,obj,1579091,1579091,1579091,1887691,1,,16%
1,29,anti_first_fail,indomain_min,time,60,70,0.000175489,,2.92E-06,,
1,30,anti_first_fail,indomain_min,obj,1518100,1518100,1518100,2142900,1,,29%
1,30,anti_first_fail,indomain_min,time,50,70,0.000171006,,3.42E-06,,
1,31,anti_first_fail,indomain_min,obj,1777721,1777721,1777721,4043616,1,,56%
1,31,anti_first_fail,indomain_min,time,60,80,0.00020568,,3.43E-06,,
1,32,anti_first_fail,indomain_min,obj,3054874,3054874,3245199,13449599,1.062302079,,76%
1,32,anti_first_fail,indomain_min,time,60,90,0.00019314,,3.22E-06,,
1,33,anti_first_fail,indomain_min,obj,1168480,1168480,1168780,1847080,1.000256744,,37%
1,33,anti_first_fail,indomain_min,time,60,80,0.000189053,,3.15E-06,,
1,34,anti_first_fail,indomain_min,obj,952060,952060,1209395,2587995,1.270292839,,53%
1,34,anti_first_fail,indomain_min,time,60,90,0.00023491,,3.92E-06,,
1,35,anti_first_fail,indomain_min,obj,3364990,3364990,3364990,3916742,1,,14%
1,35,anti_first_fail,indomain_min,time,60,80,0.000183522,,3.06E-06,,
1,36,anti_first_fail,indomain_min,obj,728542,728542,728542,878542,1,,17%
1,36,anti_first_fail,indomain_min,time,70,80,0.000213254,,3.05E-06,,
1,37,anti_first_fail,indomain_min,obj,2198218,2198218,2198218,2314918,1,,5%
1,37,anti_first_fail,indomain_min,time,60,90,0.000191017,,3.18E-06,,
1,38,anti_first_fail,indomain_min,obj,1731430,1731430,1731430,2197930,1,,21%
1,38,anti_first_fail,indomain_min,time,60,80,0.000167796,,2.80E-06,,
1,39,anti_first_fail,indomain_min,obj,1311698,1311698,1311698,1524798,1,,14%
1,39,anti_first_fail,indomain_min,time,60,80,0.00019321,,3.22E-06,,
1,40,anti_first_fail,indomain_min,obj,1061480,1061480,1061480,1637380,1,,35%
1,40,anti_first_fail,indomain_min,time,60,80,0.000195742,,3.26E-06,,
1,41,anti_first_fail,indomain_min,obj,712224,712224,913924,498524,1.283197421,,-83%
1,41,anti_first_fail,indomain_min,time,70,90,0.000188403,,2.69E-06,,
1,42,anti_first_fail,indomain_min,obj,516904,516904,639954,518404,1.23805194,,-23%
1,42,anti_first_fail,indomain_min,time,50,80,0.000183826,,3.68E-06,,
1,43,anti_first_fail,indomain_min,obj,2063112,2063112,2063112,2786312,1,,26%
1,43,anti_first_fail,indomain_min,time,50,70,0.000181634,,3.63E-06,,
1,44,anti_first_fail,indomain_min,obj,999263,999263,1017425,2006023,1.018175395,,49%
1,44,anti_first_fail,indomain_min,time,50,80,0.00018222,,3.64E-06,,
1,45,anti_first_fail,indomain_min,obj,1015810,1015810,1017310,969320,1.001476654,,-5%
1,45,anti_first_fail,indomain_min,time,60,100,0.000226285,,3.77E-06,,
1,46,anti_first_fail,indomain_min,obj,2044600,2044600,2096000,2890700,1.025139392,,27%
1,46,anti_first_fail,indomain_min,time,50,90,0.000193488,,3.87E-06,,
1,47,anti_first_fail,indomain_min,obj,54440,54440,94188,80020,1.730124908,,-18%
1,47,anti_first_fail,indomain_min,time,60,80,0.00018932,,3.16E-06,,
1,48,anti_first_fail,indomain_min,obj,201062,201062,201062,215062,1,,7%
1,48,anti_first_fail,indomain_min,time,50,60,0.000170082,,3.40E-06,,
1,49,anti_first_fail,indomain_min,obj,2014276,2014276,2014276,2637166,1,,24%
1,49,anti_first_fail,indomain_min,time,60,90,0.000227874,,3.80E-06,,
1,50,anti_first_fail,indomain_min,obj,198720,198720,355140,231900,1.787137681,,-53%
1,50,anti_first_fail,indomain_min,time,50,80,0.000190985,,3.82E-06,,
1,51,anti_first_fail,indomain_min,obj,289460,289460,289460,317060,1,,9%
1,51,anti_first_fail,indomain_min,time,80,100,0.00017564,,2.20E-06,,
1,52,anti_first_fail,indomain_min,obj,1023048,1023048,1023048,1038908,1,,2%
1,52,anti_first_fail,indomain_min,time,60,70,0.000167471,,2.79E-06,,
1,53,anti_first_fail,indomain_min,obj,1316870,1316870,1316870,5239878,1,,75%
1,53,anti_first_fail,indomain_min,time,50,100,0.000204618,,4.09E-06,,
1,54,anti_first_fail,indomain_min,obj,1908400,1908400,1908400,2653600,1,,28%
1,54,anti_first_fail,indomain_min,time,60,70,0.000253115,,4.22E-06,,
1,55,anti_first_fail,indomain_min,obj,607563,607563,607563,1019163,1,,40%
1,55,anti_first_fail,indomain_min,time,60,100,0.000186178,,3.10E-06,,
1,56,anti_first_fail,indomain_min,obj,1141698,1141698,1141698,1205018,1,,5%
1,56,anti_first_fail,indomain_min,time,60,70,0.00017513,,2.92E-06,,
1,57,anti_first_fail,indomain_min,obj,1917900,1917900,1917900,3757650,1,,49%
1,57,anti_first_fail,indomain_min,time,60,70,0.000195643,,3.26E-06,,
1,58,anti_first_fail,indomain_min,obj,2745700,2745700,2745700,3731800,1,,26%
1,58,anti_first_fail,indomain_min,time,50,60,0.000173931,,3.48E-06,,
1,59,anti_first_fail,indomain_min,obj,284363,284363,284363,623863,1,,54%
1,59,anti_first_fail,indomain_min,time,60,90,0.000206266,,3.44E-06,,
1,60,anti_first_fail,indomain_min,obj,2178900,2178900,2185500,5304000,1.003029051,,59%
1,60,anti_first_fail,indomain_min,time,70,90,0.000192243,,2.75E-06,,
1,61,anti_first_fail,indomain_min,obj,618720,618720,618720,1774820,1,,65%
1,61,anti_first_fail,indomain_min,time,60,80,0.000186808,,3.11E-06,,
1,62,anti_first_fail,indomain_min,obj,1591150,1591150,1594150,1607550,1.001885429,,1%
1,62,anti_first_fail,indomain_min,time,60,80,0.00018689,,3.11E-06,,
1,63,anti_first_fail,indomain_min,obj,350636,350636,350636,447106,1,,22%
1,63,anti_first_fail,indomain_min,time,60,80,0.000185883,,3.10E-06,,
1,64,anti_first_fail,indomain_min,obj,472620,472620,472620,881220,1,,46%
1,64,anti_first_fail,indomain_min,time,50,80,0.000198555,,3.97E-06,,
1,65,anti_first_fail,indomain_min,obj,3095160,3095160,3095160,4177260,1,,26%
1,65,anti_first_fail,indomain_min,time,90,120,0.000186456,,2.07E-06,,
1,66,anti_first_fail,indomain_min,obj,902356,902356,914256,1236302,1.0131877,,26%
1,66,anti_first_fail,indomain_min,time,60,80,0.000176878,,2.95E-06,,
1,67,anti_first_fail,indomain_min,obj,1001960,1001960,1001960,1877660,1,,47%
1,67,anti_first_fail,indomain_min,time,60,80,0.000176739,,2.95E-06,,
1,68,anti_first_fail,indomain_min,obj,495910,495910,495910,547710,1,,9%
1,68,anti_first_fail,indomain_min,time,60,110,0.000196105,,3.27E-06,,
1,69,anti_first_fail,indomain_min,obj,2050282,2050282,2050282,2756382,1,,26%
1,69,anti_first_fail,indomain_min,time,60,80,0.000180374,,3.01E-06,,
1,70,anti_first_fail,indomain_min,obj,344792,344792,344792,346592,1,,1%
1,70,anti_first_fail,indomain_min,time,60,80,0.000188657,,3.14E-06,,
