,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Solver Run Time Ratio,Solver Run Time Ratio,Model Run Time Ratio,Model Run Time Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Initial,Modified,Gurobi,Gecode
Month,House,Variable choices,Constraint variables,Weights,,,,,,,,,
1,1,anti_first_fail,indomain_min,800,70.0,100.0,70.0,70.0,0.00016685295850038528,1.4285714285714286,1.0,1.4285714285714286,1.0
1,1,anti_first_fail,indomain_min,1000,70.0,90.0,70.0,70.0,0.00018923403695225716,1.2857142857142858,1.0,1.2857142857142858,1.0
1,2,anti_first_fail,indomain_min,800,70.0,100.0,70.0,80.0,0.0001848028041422367,1.4285714285714286,1.1428571428571428,1.25,1.0
1,2,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,80.0,0.00021041510626673698,1.4285714285714286,1.1428571428571428,1.25,1.0
1,3,anti_first_fail,indomain_min,800,70.0,100.0,70.0,80.0,0.00018259231001138687,1.4285714285714286,1.1428571428571428,1.25,1.0
1,3,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,80.0,0.00020573288202285767,1.4285714285714286,1.1428571428571428,1.25,1.0
2,1,anti_first_fail,indomain_min,800,70.0,100.0,70.0,70.0,0.00019543105736374855,1.4285714285714286,1.0,1.4285714285714286,1.0
2,1,anti_first_fail,indomain_min,1000,90.0,100.0,60.0,70.0,0.0001922212541103363,1.1111111111111112,1.1666666666666667,1.4285714285714286,1.5
2,2,anti_first_fail,indomain_min,800,70.0,100.0,70.0,80.0,0.00020368210971355438,1.4285714285714286,1.1428571428571428,1.25,1.0
2,2,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,80.0,0.00020386697724461555,1.4285714285714286,1.1428571428571428,1.25,1.0
2,3,anti_first_fail,indomain_min,800,70.0,100.0,70.0,80.0,0.00020650308579206467,1.4285714285714286,1.1428571428571428,1.25,1.0
2,3,anti_first_fail,indomain_min,1000,70.0,110.0,70.0,80.0,0.0002191099338233471,1.5714285714285714,1.1428571428571428,1.375,1.0
