,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,
1,1,anti_first_fail,indomain_min,obj,851608.0,851608.0,656402.0,652862.0,0.7707795135790175
1,1,anti_first_fail,indomain_min,time,60.0,80.0,0.00021172501146793365,,3.5287501911322276e-06
1,2,anti_first_fail,indomain_min,obj,2724300.0,2724300.0,2724300.0,3067600.0,1.0
1,2,anti_first_fail,indomain_min,time,50.0,80.0,0.00021305587142705917,,4.261117428541184e-06
1,3,anti_first_fail,indomain_min,obj,1112059.0,1112059.0,1100039.0,1130999.0,0.989191220969391
1,3,anti_first_fail,indomain_min,time,60.0,80.0,0.00021632900461554527,,3.6054834102590877e-06
1,4,anti_first_fail,indomain_min,obj,636205.0,636205.0,636205.0,907675.0,1.0
1,4,anti_first_fail,indomain_min,time,60.0,70.0,0.0001698629930615425,,2.831049884359042e-06
1,5,anti_first_fail,indomain_min,obj,2732200.0,2732200.0,2732200.0,5808200.0,1.0
1,5,anti_first_fail,indomain_min,time,50.0,70.0,0.00017589982599020004,,3.517996519804001e-06
1,6,anti_first_fail,indomain_min,obj,1208728.0,1208728.0,1010572.0,1108972.0,0.8360623730069958
1,6,anti_first_fail,indomain_min,time,60.0,80.0,0.00020840088836848736,,3.473348139474789e-06
1,7,anti_first_fail,indomain_min,obj,114264.0,114264.0,92714.0,92714.0,0.8114016663166002
1,7,anti_first_fail,indomain_min,time,60.0,90.0,0.0002716879826039076,,4.52813304339846e-06
1,8,anti_first_fail,indomain_min,obj,964110.0,964110.0,959310.0,966635.0,0.9950213149951769
1,8,anti_first_fail,indomain_min,time,60.0,90.0,0.00031944713555276394,,5.324118925879399e-06
1,9,anti_first_fail,indomain_min,obj,1991700.0,1991700.0,1991700.0,7253700.0,1.0
1,9,anti_first_fail,indomain_min,time,60.0,80.0,0.0001959390938282013,,3.265651563803355e-06
1,10,anti_first_fail,indomain_min,obj,540579.0,540579.0,540579.0,592579.0,1.0
