,,,,,optimistic,Gecode
,,,,,,Initial
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,,2781520.0
1,1,first_fail,indomain_split_random,time,,120.0
1,2,first_fail,indomain_split_random,obj,,591053.0
1,2,first_fail,indomain_split_random,time,,110.0
1,3,first_fail,indomain_split_random,obj,,598288.0
1,3,first_fail,indomain_split_random,time,,100.0
1,4,first_fail,indomain_split_random,obj,,253890.0
1,4,first_fail,indomain_split_random,time,,100.0
1,5,first_fail,indomain_split_random,obj,,571329.0
1,5,first_fail,indomain_split_random,time,,110.0
2,1,first_fail,indomain_split_random,obj,,2484325.0
2,1,first_fail,indomain_split_random,time,,100.0
2,2,first_fail,indomain_split_random,obj,,551623.0
2,2,first_fail,indomain_split_random,time,,110.0
2,3,first_fail,indomain_split_random,obj,,584004.0
2,3,first_fail,indomain_split_random,time,,100.0
2,4,first_fail,indomain_split_random,obj,,215841.0
2,4,first_fail,indomain_split_random,time,,100.0
2,5,first_fail,indomain_split_random,obj,,514536.0
2,5,first_fail,indomain_split_random,time,,110.0
3,1,first_fail,indomain_split_random,obj,,2456835.0
3,1,first_fail,indomain_split_random,time,,100.0
3,2,first_fail,indomain_split_random,obj,,524697.0
3,2,first_fail,indomain_split_random,time,,110.0
3,3,first_fail,indomain_split_random,obj,,477974.0
3,3,first_fail,indomain_split_random,time,,100.0
3,4,first_fail,indomain_split_random,obj,,184050.0
3,4,first_fail,indomain_split_random,time,,100.0
3,5,,,obj,492863.0,
3,5,,,time,0.0001992390025407076,
3,5,first_fail,indomain_split_random,obj,,492863.0
3,5,first_fail,indomain_split_random,time,,110.0
