,,,,,optimistic,Gecode
,,,,,,Initial
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,,1041980.0
1,1,first_fail,indomain_split_random,time,,260.0
1,2,first_fail,indomain_split_random,obj,,465664.0
1,2,first_fail,indomain_split_random,time,,160.0
1,3,first_fail,indomain_split_random,obj,,2594140.0
1,3,first_fail,indomain_split_random,time,,130.0
1,4,first_fail,indomain_split_random,obj,,908793.0
1,4,first_fail,indomain_split_random,time,,140.0
1,5,first_fail,indomain_split_random,obj,,2676285.0
1,5,first_fail,indomain_split_random,time,,180.0
2,1,first_fail,indomain_split_random,obj,,1032520.0
2,1,first_fail,indomain_split_random,time,,130.0
2,2,first_fail,indomain_split_random,obj,,387698.0
2,2,first_fail,indomain_split_random,time,,130.0
2,3,first_fail,indomain_split_random,obj,,2430660.0
2,3,first_fail,indomain_split_random,time,,120.0
2,4,first_fail,indomain_split_random,obj,,888148.0
2,4,first_fail,indomain_split_random,time,,130.0
2,5,first_fail,indomain_split_random,obj,,2529315.0
2,5,first_fail,indomain_split_random,time,,120.0
3,1,first_fail,indomain_split_random,obj,,970694.0
3,1,first_fail,indomain_split_random,time,,160.0
3,2,first_fail,indomain_split_random,obj,,400310.0
3,2,first_fail,indomain_split_random,time,,160.0
3,3,first_fail,indomain_split_random,obj,,2286920.0
3,3,first_fail,indomain_split_random,time,,180.0
3,4,first_fail,indomain_split_random,obj,,828306.0
3,4,first_fail,indomain_split_random,time,,180.0
3,5,,,obj,2782665.0,
3,5,,,time,0.0049503039990668185,
3,5,first_fail,indomain_split_random,obj,,2428230.0
3,5,first_fail,indomain_split_random,time,,110.0
