day_num,household_num,result_type,model_type,"mip, gurobi","cp, gecode"
1,1,time,initial,100000,70000
1,1,time,preprocessing,70000,60000
1,2,time,initial,110000,60000
1,2,time,preprocessing,90000,60000
1,3,time,initial,140000,70000
1,3,time,preprocessing,110000,60000
1,4,time,initial,170000,70000
1,4,time,preprocessing,120000,60000
1,5,time,initial,130000,70000
1,5,time,preprocessing,80000,60000
1,6,time,initial,120000,70000
1,6,time,preprocessing,90000,60000
1,7,time,initial,120000,70000
1,7,time,preprocessing,100000,70000
1,8,time,initial,110000,80000
1,8,time,preprocessing,90000,80000
1,9,time,initial,110000,70000
1,9,time,preprocessing,90000,60000
1,10,time,initial,140000,70000
1,10,time,preprocessing,110000,60000
1,11,time,initial,150000,70000
1,11,time,preprocessing,110000,60000
1,12,time,initial,110000,60000
1,12,time,preprocessing,90000,60000
1,13,time,initial,120000,70000
1,13,time,preprocessing,110000,60000
1,14,time,initial,110000,70000
1,14,time,preprocessing,90000,60000
1,15,time,initial,110000,70000
1,15,time,preprocessing,100000,60000
1,16,time,initial,110000,60000
1,16,time,preprocessing,100000,60000
1,17,time,initial,140000,70000
1,17,time,preprocessing,110000,60000
1,18,time,initial,100000,80000
1,18,time,preprocessing,70000,60000
1,19,time,initial,140000,60000
1,19,time,preprocessing,110000,60000
1,20,time,initial,110000,70000
1,20,time,preprocessing,90000,60000
1,21,time,initial,130000,60000
1,21,time,preprocessing,100000,60000
1,22,time,initial,150000,70000
1,22,time,preprocessing,120000,70000
1,23,time,initial,140000,70000
1,23,time,preprocessing,100000,70000
1,24,time,initial,130000,60000
1,24,time,preprocessing,90000,60000
1,25,time,initial,150000,80000
1,25,time,preprocessing,110000,70000
1,26,time,initial,120000,70000
1,26,time,preprocessing,90000,60000
1,27,time,initial,110000,60000
1,27,time,preprocessing,90000,60000
1,28,time,initial,120000,70000
1,28,time,preprocessing,100000,60000
1,29,time,initial,150000,70000
1,29,time,preprocessing,110000,70000
1,30,time,initial,140000,70000
1,30,time,preprocessing,110000,60000
1,31,time,initial,120000,70000
1,31,time,preprocessing,90000,60000
1,32,time,initial,130000,70000
1,32,time,preprocessing,110000,60000
1,33,time,initial,120000,70000
1,33,time,preprocessing,100000,60000
1,34,time,initial,150000,70000
1,34,time,preprocessing,90000,60000
1,35,time,initial,120000,80000
1,35,time,preprocessing,110000,70000
1,36,time,initial,120000,70000
1,36,time,preprocessing,90000,60000
1,37,time,initial,130000,70000
1,37,time,preprocessing,100000,60000
1,38,time,initial,110000,80000
1,38,time,preprocessing,90000,60000
1,39,time,initial,160000,80000
1,39,time,preprocessing,120000,70000
1,40,time,initial,130000,70000
1,40,time,preprocessing,100000,60000
1,41,time,initial,160000,70000
1,41,time,preprocessing,150000,60000
1,42,time,initial,120000,70000
1,42,time,preprocessing,100000,60000
1,43,time,initial,160000,70000
1,43,time,preprocessing,120000,60000
1,44,time,initial,140000,60000
1,44,time,preprocessing,110000,60000
1,45,time,initial,110000,70000
1,45,time,preprocessing,90000,60000
1,46,time,initial,120000,80000
1,46,time,preprocessing,100000,60000
1,47,time,initial,180000,70000
1,47,time,preprocessing,120000,60000
1,48,time,initial,110000,60000
1,48,time,preprocessing,80000,60000
