,,,,,Gecode,Gecode,OGSA,Model Run Time Ratio
,,,,,Initial,Modified,Modified,Gecode
Month,House,Variable choices,Constraint variables,Weight,,,,
1,1,anti_first_fail,indomain_max,800,70.0,70.0,,1.0
1,1,anti_first_fail,indomain_median,800,70.0,60.0,,1.1666666666666667
1,1,anti_first_fail,indomain_min,800,70.0,60.0,,1.1666666666666667
1,1,anti_first_fail,indomain_random,800,70.0,60.0,,1.1666666666666667
1,1,first_fail,indomain_max,800,70.0,70.0,,1.0
1,1,first_fail,indomain_median,800,70.0,60.0,,1.1666666666666667
1,1,first_fail,indomain_min,800,100.0,60.0,,1.6666666666666667
1,1,first_fail,indomain_random,800,70.0,60.0,,1.1666666666666667
1,1,input_order,indomain_max,800,70.0,70.0,,1.0
1,1,input_order,indomain_median,800,70.0,60.0,,1.1666666666666667
1,1,input_order,indomain_min,800,70.0,60.0,,1.1666666666666667
1,1,input_order,indomain_random,800,70.0,60.0,,1.1666666666666667
1,1,largest,indomain_max,800,70.0,70.0,,1.0
1,1,largest,indomain_median,800,70.0,60.0,,1.1666666666666667
1,1,largest,indomain_min,800,70.0,60.0,,1.1666666666666667
1,1,largest,indomain_random,800,70.0,60.0,0.0001652417704463005,1.1666666666666667
1,1,smallest,indomain_max,800,80.0,70.0,,1.1428571428571428
1,1,smallest,indomain_median,800,70.0,60.0,,1.1666666666666667
1,1,smallest,indomain_min,800,70.0,60.0,,1.1666666666666667
1,1,smallest,indomain_random,800,70.0,60.0,,1.1666666666666667
1,2,anti_first_fail,indomain_max,800,70.0,70.0,,1.0
1,2,anti_first_fail,indomain_median,800,70.0,60.0,,1.1666666666666667
1,2,anti_first_fail,indomain_min,800,70.0,60.0,,1.1666666666666667
1,2,anti_first_fail,indomain_random,800,70.0,60.0,,1.1666666666666667
1,2,first_fail,indomain_max,800,70.0,70.0,,1.0
1,2,first_fail,indomain_median,800,70.0,60.0,,1.1666666666666667
1,2,first_fail,indomain_min,800,70.0,70.0,,1.0
1,2,first_fail,indomain_random,800,70.0,60.0,,1.1666666666666667
1,2,input_order,indomain_max,800,70.0,70.0,,1.0
1,2,input_order,indomain_median,800,70.0,60.0,,1.1666666666666667
1,2,input_order,indomain_min,800,70.0,70.0,,1.0
1,2,input_order,indomain_random,800,70.0,60.0,,1.1666666666666667
1,2,largest,indomain_max,800,70.0,70.0,,1.0
1,2,largest,indomain_median,800,70.0,60.0,,1.1666666666666667
1,2,largest,indomain_min,800,70.0,70.0,,1.0
1,2,largest,indomain_random,800,70.0,60.0,0.00016117887571454048,1.1666666666666667
1,2,smallest,indomain_max,800,70.0,70.0,,1.0
1,2,smallest,indomain_median,800,70.0,60.0,,1.1666666666666667
1,2,smallest,indomain_min,800,70.0,60.0,,1.1666666666666667
1,2,smallest,indomain_random,800,70.0,60.0,,1.1666666666666667
1,3,anti_first_fail,indomain_max,800,70.0,70.0,,1.0
1,3,anti_first_fail,indomain_median,800,70.0,70.0,,1.0
1,3,anti_first_fail,indomain_min,800,70.0,70.0,,1.0
1,3,anti_first_fail,indomain_random,800,70.0,60.0,,1.1666666666666667
1,3,first_fail,indomain_max,800,80.0,70.0,,1.1428571428571428
1,3,first_fail,indomain_median,800,70.0,60.0,,1.1666666666666667
1,3,first_fail,indomain_min,800,70.0,70.0,,1.0
1,3,first_fail,indomain_random,800,70.0,70.0,,1.0
1,3,input_order,indomain_max,800,70.0,70.0,,1.0
1,3,input_order,indomain_median,800,70.0,60.0,,1.1666666666666667
1,3,input_order,indomain_min,800,70.0,70.0,,1.0
1,3,input_order,indomain_random,800,70.0,70.0,,1.0
1,3,largest,indomain_max,800,70.0,70.0,,1.0
1,3,largest,indomain_median,800,70.0,70.0,,1.0
1,3,largest,indomain_min,800,70.0,70.0,,1.0
1,3,largest,indomain_random,800,70.0,70.0,0.0001642480492591858,1.0
1,3,smallest,indomain_max,800,70.0,70.0,,1.0
1,3,smallest,indomain_median,800,70.0,60.0,,1.1666666666666667
1,3,smallest,indomain_min,800,70.0,70.0,,1.0
1,3,smallest,indomain_random,800,70.0,70.0,,1.0
1,4,anti_first_fail,indomain_max,800,70.0,70.0,,1.0
1,4,anti_first_fail,indomain_median,800,70.0,70.0,,1.0
1,4,anti_first_fail,indomain_min,800,70.0,80.0,,0.875
1,4,anti_first_fail,indomain_random,800,70.0,70.0,,1.0
1,4,first_fail,indomain_max,800,80.0,70.0,,1.1428571428571428
1,4,first_fail,indomain_median,800,70.0,70.0,,1.0
1,4,first_fail,indomain_min,800,80.0,70.0,,1.1428571428571428
1,4,first_fail,indomain_random,800,70.0,70.0,,1.0
1,4,input_order,indomain_max,800,80.0,70.0,,1.1428571428571428
1,4,input_order,indomain_median,800,70.0,70.0,,1.0
1,4,input_order,indomain_min,800,70.0,70.0,,1.0
1,4,input_order,indomain_random,800,70.0,70.0,,1.0
1,4,largest,indomain_max,800,70.0,70.0,,1.0
1,4,largest,indomain_median,800,70.0,60.0,,1.1666666666666667
1,4,largest,indomain_min,800,80.0,70.0,,1.1428571428571428
1,4,largest,indomain_random,800,70.0,70.0,0.0002079070545732975,1.0
1,4,smallest,indomain_max,800,80.0,80.0,,1.0
1,4,smallest,indomain_median,800,70.0,70.0,,1.0
1,4,smallest,indomain_min,800,70.0,70.0,,1.0
1,4,smallest,indomain_random,800,70.0,70.0,,1.0
1,5,anti_first_fail,indomain_max,800,70.0,70.0,,1.0
1,5,anti_first_fail,indomain_median,800,70.0,70.0,,1.0
1,5,anti_first_fail,indomain_min,800,70.0,70.0,,1.0
1,5,anti_first_fail,indomain_random,800,70.0,60.0,,1.1666666666666667
1,5,first_fail,indomain_max,800,70.0,80.0,,0.875
1,5,first_fail,indomain_median,800,70.0,70.0,,1.0
1,5,first_fail,indomain_min,800,70.0,70.0,,1.0
1,5,first_fail,indomain_random,800,70.0,70.0,,1.0
1,5,input_order,indomain_max,800,70.0,80.0,,0.875
1,5,input_order,indomain_median,800,70.0,70.0,,1.0
1,5,input_order,indomain_min,800,70.0,70.0,,1.0
1,5,input_order,indomain_random,800,70.0,60.0,,1.1666666666666667
1,5,largest,indomain_max,800,70.0,70.0,,1.0
1,5,largest,indomain_median,800,70.0,70.0,,1.0
1,5,largest,indomain_min,800,70.0,70.0,,1.0
1,5,largest,indomain_random,800,70.0,70.0,0.0001665349118411541,1.0
1,5,smallest,indomain_max,800,80.0,70.0,,1.1428571428571428
1,5,smallest,indomain_median,800,70.0,60.0,,1.1666666666666667
1,5,smallest,indomain_min,800,70.0,70.0,,1.0
1,5,smallest,indomain_random,800,70.0,70.0,,1.0
1,6,anti_first_fail,indomain_max,800,70.0,70.0,,1.0
1,6,anti_first_fail,indomain_median,800,70.0,60.0,,1.1666666666666667
1,6,anti_first_fail,indomain_min,800,70.0,70.0,,1.0
1,6,anti_first_fail,indomain_random,800,70.0,70.0,,1.0
1,6,first_fail,indomain_max,800,80.0,70.0,,1.1428571428571428
1,6,first_fail,indomain_median,800,70.0,70.0,,1.0
1,6,first_fail,indomain_min,800,70.0,70.0,,1.0
1,6,first_fail,indomain_random,800,70.0,70.0,,1.0
1,6,input_order,indomain_max,800,70.0,70.0,,1.0
1,6,input_order,indomain_median,800,70.0,60.0,,1.1666666666666667
1,6,input_order,indomain_min,800,70.0,70.0,,1.0
1,6,input_order,indomain_random,800,70.0,60.0,,1.1666666666666667
1,6,largest,indomain_max,800,70.0,70.0,,1.0
1,6,largest,indomain_median,800,70.0,70.0,,1.0
1,6,largest,indomain_min,800,70.0,70.0,,1.0
1,6,largest,indomain_random,800,70.0,70.0,0.0002809688448905945,1.0
1,6,smallest,indomain_max,800,70.0,70.0,,1.0
1,6,smallest,indomain_median,800,70.0,60.0,,1.1666666666666667
1,6,smallest,indomain_min,800,70.0,70.0,,1.0
1,6,smallest,indomain_random,800,70.0,60.0,,1.1666666666666667
1,7,anti_first_fail,indomain_max,800,70.0,70.0,,1.0
1,7,anti_first_fail,indomain_median,800,70.0,70.0,,1.0
1,7,anti_first_fail,indomain_min,800,90.0,80.0,,1.125
1,7,anti_first_fail,indomain_random,800,70.0,70.0,,1.0
1,7,first_fail,indomain_max,800,80.0,70.0,,1.1428571428571428
1,7,first_fail,indomain_median,800,70.0,70.0,,1.0
1,7,first_fail,indomain_min,800,80.0,70.0,,1.1428571428571428
1,7,first_fail,indomain_random,800,70.0,70.0,,1.0
1,7,input_order,indomain_max,800,70.0,80.0,,0.875
1,7,input_order,indomain_median,800,80.0,70.0,,1.1428571428571428
1,7,input_order,indomain_min,800,80.0,80.0,,1.0
1,7,input_order,indomain_random,800,70.0,70.0,,1.0
1,7,largest,indomain_max,800,80.0,80.0,,1.0
1,7,largest,indomain_median,800,80.0,80.0,,1.0
1,7,largest,indomain_min,800,100.0,80.0,,1.25
1,7,largest,indomain_random,800,80.0,70.0,0.0001672692596912384,1.1428571428571428
1,7,smallest,indomain_max,800,70.0,70.0,,1.0
1,7,smallest,indomain_median,800,70.0,70.0,,1.0
1,7,smallest,indomain_min,800,70.0,70.0,,1.0
1,7,smallest,indomain_random,800,70.0,70.0,,1.0
1,8,anti_first_fail,indomain_max,800,70.0,80.0,,0.875
1,8,anti_first_fail,indomain_median,800,70.0,60.0,,1.1666666666666667
1,8,anti_first_fail,indomain_min,800,70.0,70.0,,1.0
1,8,anti_first_fail,indomain_random,800,70.0,70.0,,1.0
1,8,first_fail,indomain_max,800,90.0,100.0,,0.9
1,8,first_fail,indomain_median,800,70.0,70.0,,1.0
1,8,first_fail,indomain_min,800,80.0,70.0,,1.1428571428571428
1,8,first_fail,indomain_random,800,70.0,70.0,,1.0
1,8,input_order,indomain_max,800,90.0,100.0,,0.9
1,8,input_order,indomain_median,800,70.0,70.0,,1.0
1,8,input_order,indomain_min,800,70.0,70.0,,1.0
1,8,input_order,indomain_random,800,70.0,70.0,,1.0
1,8,largest,indomain_max,800,80.0,80.0,,1.0
1,8,largest,indomain_median,800,70.0,70.0,,1.0
1,8,largest,indomain_min,800,70.0,70.0,,1.0
1,8,largest,indomain_random,800,70.0,70.0,0.00019653979688882828,1.0
1,8,smallest,indomain_max,800,80.0,90.0,,0.8888888888888888
1,8,smallest,indomain_median,800,70.0,70.0,,1.0
1,8,smallest,indomain_min,800,70.0,70.0,,1.0
