,,,,,Gecode,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,
1,1,anti_first_fail,indomain_max,800,3261680,3261680,,,
1,1,anti_first_fail,indomain_median,800,3261680,3261680,,,
1,1,anti_first_fail,indomain_min,800,3261680,3261680,,,
1,1,anti_first_fail,indomain_random,800,3261680,3261680,,,
1,1,first_fail,indomain_max,800,3261680,3261680,,,
1,1,first_fail,indomain_median,800,3261680,3261680,,,
1,1,first_fail,indomain_min,800,3261680,3261680,,,
1,1,first_fail,indomain_random,800,3261680,3261680,,,
1,1,input_order,indomain_max,800,3261680,3261680,,,
1,1,input_order,indomain_median,800,3261680,3261680,,,
1,1,input_order,indomain_min,800,3261680,3261680,,,
1,1,input_order,indomain_random,800,3261680,3261680,,,
1,1,largest,indomain_max,800,3261680,3261680,,,
1,1,largest,indomain_median,800,3261680,3261680,,,
1,1,largest,indomain_min,800,3261680,3261680,,,
1,1,largest,indomain_random,800,3261680,3261680,3261680.0,6756480.0,1.0
1,1,smallest,indomain_max,800,3261680,3261680,,,
1,1,smallest,indomain_median,800,3261680,3261680,,,
1,1,smallest,indomain_min,800,3261680,3261680,,,
1,1,smallest,indomain_random,800,3261680,3261680,,,
1,2,anti_first_fail,indomain_max,800,468431,468431,,,
1,2,anti_first_fail,indomain_median,800,468431,468431,,,
1,2,anti_first_fail,indomain_min,800,468431,468431,,,
1,2,anti_first_fail,indomain_random,800,468431,468431,,,
1,2,first_fail,indomain_max,800,468431,468431,,,
1,2,first_fail,indomain_median,800,468431,468431,,,
1,2,first_fail,indomain_min,800,468431,468431,,,
1,2,first_fail,indomain_random,800,468431,468431,,,
1,2,input_order,indomain_max,800,468431,468431,,,
1,2,input_order,indomain_median,800,468431,468431,,,
1,2,input_order,indomain_min,800,468431,468431,,,
1,2,input_order,indomain_random,800,468431,468431,,,
1,2,largest,indomain_max,800,468431,468431,,,
1,2,largest,indomain_median,800,468431,468431,,,
1,2,largest,indomain_min,800,468431,468431,,,
1,2,largest,indomain_random,800,468431,468431,468431.0,482031.0,1.0
1,2,smallest,indomain_max,800,468431,468431,,,
1,2,smallest,indomain_median,800,468431,468431,,,
1,2,smallest,indomain_min,800,468431,468431,,,
1,2,smallest,indomain_random,800,468431,468431,,,
1,3,anti_first_fail,indomain_max,800,1012222,1012222,,,
1,3,anti_first_fail,indomain_median,800,1012222,1012222,,,
1,3,anti_first_fail,indomain_min,800,1012222,1012222,,,
1,3,anti_first_fail,indomain_random,800,1012222,1012222,,,
1,3,first_fail,indomain_max,800,1012222,1012222,,,
1,3,first_fail,indomain_median,800,1012222,1012222,,,
1,3,first_fail,indomain_min,800,1012222,1012222,,,
1,3,first_fail,indomain_random,800,1012222,1012222,,,
1,3,input_order,indomain_max,800,1012222,1012222,,,
1,3,input_order,indomain_median,800,1012222,1012222,,,
1,3,input_order,indomain_min,800,1012222,1012222,,,
1,3,input_order,indomain_random,800,1012222,1012222,,,
1,3,largest,indomain_max,800,1012222,1012222,,,
1,3,largest,indomain_median,800,1012222,1012222,,,
1,3,largest,indomain_min,800,1012222,1012222,,,
1,3,largest,indomain_random,800,1012222,1012222,1012222.0,3799422.0,1.0
1,3,smallest,indomain_max,800,1012222,1012222,,,
1,3,smallest,indomain_median,800,1012222,1012222,,,
1,3,smallest,indomain_min,800,1012222,1012222,,,
1,3,smallest,indomain_random,800,1012222,1012222,,,
1,4,anti_first_fail,indomain_max,800,798087,798087,,,
1,4,anti_first_fail,indomain_median,800,798087,798087,,,
1,4,anti_first_fail,indomain_min,800,798087,798087,,,
1,4,anti_first_fail,indomain_random,800,798087,798087,,,
1,4,first_fail,indomain_max,800,798087,798087,,,
1,4,first_fail,indomain_median,800,798087,798087,,,
1,4,first_fail,indomain_min,800,798087,798087,,,
1,4,first_fail,indomain_random,800,798087,798087,,,
1,4,input_order,indomain_max,800,798087,798087,,,
1,4,input_order,indomain_median,800,798087,798087,,,
1,4,input_order,indomain_min,800,798087,798087,,,
1,4,input_order,indomain_random,800,798087,798087,,,
1,4,largest,indomain_max,800,798087,798087,,,
1,4,largest,indomain_median,800,798087,798087,,,
1,4,largest,indomain_min,800,798087,798087,,,
1,4,largest,indomain_random,800,798087,798087,897864.0,2662919.0,1.125020204564164
1,4,smallest,indomain_max,800,798087,798087,,,
1,4,smallest,indomain_median,800,798087,798087,,,
1,4,smallest,indomain_min,800,798087,798087,,,
1,4,smallest,indomain_random,800,798087,798087,,,
1,5,anti_first_fail,indomain_max,800,3408150,3408150,,,
1,5,anti_first_fail,indomain_median,800,3408150,3408150,,,
1,5,anti_first_fail,indomain_min,800,3408150,3408150,,,
1,5,anti_first_fail,indomain_random,800,3408150,3408150,,,
1,5,first_fail,indomain_max,800,3408150,3408150,,,
1,5,first_fail,indomain_median,800,3408150,3408150,,,
1,5,first_fail,indomain_min,800,3408150,3408150,,,
1,5,first_fail,indomain_random,800,3408150,3408150,,,
1,5,input_order,indomain_max,800,3408150,3408150,,,
1,5,input_order,indomain_median,800,3408150,3408150,,,
1,5,input_order,indomain_min,800,3408150,3408150,,,
1,5,input_order,indomain_random,800,3408150,3408150,,,
1,5,largest,indomain_max,800,3408150,3408150,,,
1,5,largest,indomain_median,800,3408150,3408150,,,
1,5,largest,indomain_min,800,3408150,3408150,,,
1,5,largest,indomain_random,800,3408150,3408150,3408150.0,4568550.0,1.0
1,5,smallest,indomain_max,800,3408150,3408150,,,
1,5,smallest,indomain_median,800,3408150,3408150,,,
1,5,smallest,indomain_min,800,3408150,3408150,,,
1,5,smallest,indomain_random,800,3408150,3408150,,,
1,6,anti_first_fail,indomain_max,800,1339770,1339770,,,
1,6,anti_first_fail,indomain_median,800,1339770,1339770,,,
1,6,anti_first_fail,indomain_min,800,1339770,1339770,,,
1,6,anti_first_fail,indomain_random,800,1339770,1339770,,,
1,6,first_fail,indomain_max,800,1339770,1339770,,,
1,6,first_fail,indomain_median,800,1339770,1339770,,,
1,6,first_fail,indomain_min,800,1339770,1339770,,,
1,6,first_fail,indomain_random,800,1339770,1339770,,,
1,6,input_order,indomain_max,800,1339770,1339770,,,
1,6,input_order,indomain_median,800,1339770,1339770,,,
1,6,input_order,indomain_min,800,1339770,1339770,,,
1,6,input_order,indomain_random,800,1339770,1339770,,,
1,6,largest,indomain_max,800,1339770,1339770,,,
1,6,largest,indomain_median,800,1339770,1339770,,,
1,6,largest,indomain_min,800,1339770,1339770,,,
1,6,largest,indomain_random,800,1339770,1339770,1339770.0,3596170.0,1.0
1,6,smallest,indomain_max,800,1339770,1339770,,,
1,6,smallest,indomain_median,800,1339770,1339770,,,
1,6,smallest,indomain_min,800,1339770,1339770,,,
1,6,smallest,indomain_random,800,1339770,1339770,,,
1,7,anti_first_fail,indomain_max,800,1296968,1296968,,,
1,7,anti_first_fail,indomain_median,800,1296968,1296968,,,
1,7,anti_first_fail,indomain_min,800,1296968,1296968,,,
1,7,anti_first_fail,indomain_random,800,1296968,1296968,,,
1,7,first_fail,indomain_max,800,1296968,1296968,,,
1,7,first_fail,indomain_median,800,1296968,1296968,,,
1,7,first_fail,indomain_min,800,1296968,1296968,,,
1,7,first_fail,indomain_random,800,1296968,1296968,,,
1,7,input_order,indomain_max,800,1296968,1296968,,,
1,7,input_order,indomain_median,800,1296968,1296968,,,
1,7,input_order,indomain_min,800,1296968,1296968,,,
1,7,input_order,indomain_random,800,1296968,1296968,,,
1,7,largest,indomain_max,800,1296968,1296968,,,
1,7,largest,indomain_median,800,1296968,1296968,,,
1,7,largest,indomain_min,800,1296968,1296968,,,
1,7,largest,indomain_random,800,1296968,1296968,1314768.0,1387568.0,1.0137243170224708
