,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,1771584.0,1176284.0
1,1,first_fail,indomain_split_random,time,160.0,0.00026339900796301663
1,2,first_fail,indomain_split_random,obj,187255.0,119705.0
1,2,first_fail,indomain_split_random,time,110.0,0.0003022379969479516
1,3,first_fail,indomain_split_random,obj,928370.0,853550.0
1,3,first_fail,indomain_split_random,time,90.0,0.0003470800002105534
1,4,first_fail,indomain_split_random,obj,1850060.0,1652140.0
1,4,first_fail,indomain_split_random,time,100.0,0.0003928889927919954
1,5,first_fail,indomain_split_random,obj,1713117.0,987132.0
1,5,first_fail,indomain_split_random,time,100.0,0.00029855700267944485
1,6,first_fail,indomain_split_random,obj,474545.0,463745.0
1,6,first_fail,indomain_split_random,time,110.0,0.0003234289906686172
1,7,first_fail,indomain_split_random,obj,2604110.0,2397410.0
1,7,first_fail,indomain_split_random,time,110.0,0.0002476130030117929
1,8,first_fail,indomain_split_random,obj,2599630.0,957995.0
1,8,first_fail,indomain_split_random,time,90.0,0.00028721299895551056
1,9,first_fail,indomain_split_random,obj,2410401.0,1895901.0
1,9,first_fail,indomain_split_random,time,90.0,0.0003181169886374846
1,10,first_fail,indomain_split_random,obj,1341136.0,955288.0
1,10,first_fail,indomain_split_random,time,90.0,0.00024723599199205637
2,1,first_fail,indomain_split_random,obj,1708124.0,1075304.0
2,1,first_fail,indomain_split_random,time,90.0,0.00025128599372692406
2,2,first_fail,indomain_split_random,obj,150930.0,81530.0
2,2,first_fail,indomain_split_random,time,100.0,0.0002486570010660216
2,3,first_fail,indomain_split_random,obj,873440.0,780185.0
2,3,first_fail,indomain_split_random,time,90.0,0.0002748850092757493
2,4,first_fail,indomain_split_random,obj,1724767.0,1526872.0
2,4,first_fail,indomain_split_random,time,100.0,0.00026247599453199655
2,5,first_fail,indomain_split_random,obj,1640053.0,876598.0
2,5,first_fail,indomain_split_random,time,100.0,0.0002964169980259612
2,6,first_fail,indomain_split_random,obj,448465.0,429525.0
2,6,first_fail,indomain_split_random,time,160.0,0.00025733999791555107
2,7,first_fail,indomain_split_random,obj,2390390.0,2148590.0
2,7,first_fail,indomain_split_random,time,90.0,0.00026104701100848615
2,8,first_fail,indomain_split_random,obj,2535255.0,972465.0
2,8,first_fail,indomain_split_random,time,90.0,0.0002845490089384839
2,9,first_fail,indomain_split_random,obj,2405334.0,1861134.0
2,9,first_fail,indomain_split_random,time,100.0,0.00029757400625385344
2,10,first_fail,indomain_split_random,obj,1268128.0,881740.0
2,10,first_fail,indomain_split_random,time,100.0,0.00029383000219240785
3,1,first_fail,indomain_split_random,obj,1653876.0,1026576.0
3,1,first_fail,indomain_split_random,time,90.0,0.0002539349952712655
3,2,first_fail,indomain_split_random,obj,139680.0,71230.0
3,2,first_fail,indomain_split_random,time,100.0,0.00029521399119403213
3,3,first_fail,indomain_split_random,obj,837325.0,737935.0
3,3,first_fail,indomain_split_random,time,100.0,0.0005708200042136014
3,4,first_fail,indomain_split_random,obj,1640592.0,1442697.0
3,4,first_fail,indomain_split_random,time,190.0,0.0005607630009762943
3,5,first_fail,indomain_split_random,obj,1529688.0,862743.0
3,5,first_fail,indomain_split_random,time,100.0,0.0002826490090228617
3,6,first_fail,indomain_split_random,obj,432615.0,421675.0
3,6,first_fail,indomain_split_random,time,100.0,0.00024734500038903207
3,7,first_fail,indomain_split_random,obj,2319550.0,2099650.0
3,7,first_fail,indomain_split_random,time,90.0,0.00027905000024475157
3,8,first_fail,indomain_split_random,obj,2387610.0,822080.0
3,8,first_fail,indomain_split_random,time,140.0,0.0002840630040736869
3,9,first_fail,indomain_split_random,obj,2221010.0,1632110.0
3,9,first_fail,indomain_split_random,time,100.0,0.0002579910069471225
3,10,first_fail,indomain_split_random,obj,1160894.0,848850.0
3,10,first_fail,indomain_split_random,time,100.0,0.00028272099734749645
4,1,first_fail,indomain_split_random,obj,1587240.0,967940.0
4,1,first_fail,indomain_split_random,time,80.0,0.0002927030000137165
4,2,first_fail,indomain_split_random,obj,136600.0,68600.0
4,2,first_fail,indomain_split_random,time,100.0,0.0002496249944670126
4,3,first_fail,indomain_split_random,obj,771410.0,677915.0
4,3,first_fail,indomain_split_random,time,90.0,0.00029973800701554865
4,4,first_fail,indomain_split_random,obj,1540176.0,1342306.0
4,4,first_fail,indomain_split_random,time,150.0,0.00046882499009370804
4,5,first_fail,indomain_split_random,obj,1519006.0,832816.0
4,5,first_fail,indomain_split_random,time,150.0,0.0002730069973040372
